erp_amplitude_relative_preservation,erp_latency_relative_preservation,method,motion_coherence_reduction,nonartifact_observation_preservation,output_input_RMS_ratio,participant,protocol,record_rows,reference_free_covariance_distortion,reference_free_psd_distortion,ssvep_phase_relative_preservation,ssvep_snr_relative_preservation
0.9903438664406329,1.0,ASR-LIKE,-0.00020726118236780167,0.8855948094278574,0.9853116422891617,sub-02,S0_STATIC_XSESSION,4,0.09880914912194398,0.09190149940372873,0.9998864629765325,0.9998731899770527
0.9635037298904476,1.0,DET-MATCH,0.029564465396106243,0.8345222994685173,0.9502077996730804,sub-02,S0_STATIC_XSESSION,4,0.1589488023160186,0.13550176425788302,0.9956999096691432,0.9959944913154062
0.9699370475035884,1.0,DET-NULL,0.03254091087728739,0.8253336809575558,0.9484655857086182,sub-02,S0_STATIC_XSESSION,4,0.16685802077886336,0.14041124121364823,0.995523071276015,0.9942103942941953
0.9556291534952137,1.0,DET-WRONG-1,0.021080337464809418,0.769571153447032,0.9570156186819077,sub-02,S0_STATIC_XSESSION,4,0.21656944758734922,0.17708772341587592,0.9988729742249769,0.9762979302045105
0.9575750627819923,1.0,DET-WRONG-2,0.027594013139605522,0.8411000594496727,0.9526017010211945,sub-02,S0_STATIC_XSESSION,4,0.14775244595604436,0.13066737551016117,0.9946190186054181,0.9951529681233523
0.9073101871125315,1.0,DET-WRONG-3,0.024716016836464405,0.8230265974998474,0.9507036656141281,sub-02,S0_STATIC_XSESSION,4,0.17753981090638443,0.1445254595572988,0.9949225177881017,0.9950994424765254
0.9245036069108022,1.0,ORACLE-QUERY-IMU,0.10990100796334445,0.6375490352511406,0.912792518734932,sub-02,S0_STATIC_XSESSION,4,0.2094985337166157,0.27129483638280644,0.9825562021479446,0.9957600594759468
1.0,1.0,RAW,0.0,1.0,1.0,sub-02,S0_STATIC_XSESSION,4,0.0,0.0,1.0,1.0
0.9171210444584634,1.0,STRONG-POP,0.03953662887215614,0.7664408273994923,0.9381861239671707,sub-02,S0_STATIC_XSESSION,4,0.22098267623084705,0.1829030498518887,0.9878852393337069,0.9745951545862024
0.9706977015650989,1.0,TEMPORAL-SHUFFLED,0.021471447311341763,0.8473795242607594,0.9545652568340302,sub-02,S0_STATIC_XSESSION,4,0.1485653033134232,0.12434513999164752,0.996609022916237,0.9978590231926632
