ci95_high,ci95_low,estimand,mean_utility,median_utility,participant_effects_json,participants,positive_count,protocol
0.0001090025691761756,-0.0047827861996969055,MATCH_minus_NULL,-0.002304924487058694,-0.0030437642708420753,"{""sub-02"": -0.0029764454811811447, ""sub-03"": -0.0033533144742250443, ""sub-05"": 0.0013931915163993835, ""sub-06"": 0.0038852589204907417, ""sub-07"": -0.0034825745970010757, ""sub-09"": -0.008318523876369, ""sub-11"": -0.003111083060503006, ""sub-12"": -0.0074009622136751805, ""sub-14"": -0.005857188254594803, ""sub-15"": 0.0024932529777288437, ""sub-17"": -0.01298421248793602, ""sub-18"": 0.0012849010527133942, ""sub-19"": -0.000725877471268177, ""sub-21"": 0.007853806018829346, ""sub-23"": -0.0038664299063384533, ""sub-24"": -0.0017125904560089111}",16,5,S0_STATIC_XSESSION
-0.009123955197962164,-0.02024569981234284,MATCH_minus_STRONG_POP,-0.014389356273265244,-0.013003287371248007,"{""sub-02"": -0.0099721634760499, ""sub-03"": -0.021704943850636482, ""sub-05"": -0.024887612089514732, ""sub-06"": -0.0033274153247475624, ""sub-07"": -0.013388257473707199, ""sub-09"": -0.04468462988734245, ""sub-11"": -0.012761852703988552, ""sub-12"": -0.01214169959227244, ""sub-14"": -0.019753649830818176, ""sub-15"": -0.005990789737552404, ""sub-17"": -0.026097643189132214, ""sub-18"": -0.0005665048956871033, ""sub-19"": -0.017779912566766143, ""sub-21"": -0.013244722038507462, ""sub-23"": -0.0075429328717291355, ""sub-24"": 0.0036150291562080383}",16,1,S0_STATIC_XSESSION
0.0033736240242433243,-0.0020614789973478764,MATCH_minus_TEMPORAL_SHUFFLED,0.0006863890739623457,0.0006230287253856659,"{""sub-02"": 0.00809301808476448, ""sub-03"": -0.0025277044624090195, ""sub-05"": -0.0021582208573818207, ""sub-06"": 0.004818360321223736, ""sub-07"": -0.007224362343549728, ""sub-09"": -0.008198421448469162, ""sub-11"": 0.0035021984949707985, ""sub-12"": 0.007127314805984497, ""sub-14"": -0.001462094485759735, ""sub-15"": 0.003346111625432968, ""sub-17"": -0.005639113485813141, ""sub-18"": 0.004489187151193619, ""sub-19"": -0.003753364086151123, ""sub-21"": 0.010899104177951813, ""sub-23"": -0.0030379402451217175, ""sub-24"": 0.002708151936531067}",16,8,S0_STATIC_XSESSION
0.0027872320727005398,-0.0019701542966585194,MATCH_minus_mean_WRONG,0.000517669418412778,0.0015336954966187477,"{""sub-02"": 0.005101009582479794, ""sub-03"": 0.0043206003805001565, ""sub-05"": -0.005048998941977819, ""sub-06"": 0.001509958878159523, ""sub-07"": -0.0075262992953260745, ""sub-09"": -0.003298356818656128, ""sub-11"": 0.005262231454253197, ""sub-12"": 0.006260895066791111, ""sub-14"": 0.004255007952451706, ""sub-15"": 0.000300647070010502, ""sub-17"": -0.009619170489410557, ""sub-18"": 0.0016233976930379868, ""sub-19"": 0.0015574321150779724, ""sub-21"": 0.007203579569856327, ""sub-23"": 0.0002067042514681816, ""sub-24"": -0.0038259277741114297}",16,11,S0_STATIC_XSESSION
0.000899341798503881,-0.005700051759292062,MATCH_minus_NULL,-0.0025097142982607092,-0.003377997626860937,"{""sub-02"": 0.00029504671692848206, ""sub-03"": 0.005777232348918915, ""sub-05"": 0.01489420731862386, ""sub-06"": -0.0026772059500217438, ""sub-07"": -0.014137107878923416, ""sub-09"": -0.005299491807818413, ""sub-11"": -0.0036285842458407096, ""sub-12"": -0.01104092225432396, ""sub-14"": -0.003933697938919067, ""sub-15"": -0.0031274110078811646, ""sub-17"": 0.001889738254249096, ""sub-18"": -0.00846153125166893, ""sub-19"": -0.0007155975326895714, ""sub-21"": -0.005523044615983963, ""sub-23"": -0.008369430899620056, ""sub-24"": 0.003902371972799301}",16,5,S1_MOTION_WITHIN_SESSION
-0.009650976868579166,-0.022380128851121603,MATCH_minus_STRONG_POP,-0.015474300996478025,-0.014418664388358593,"{""sub-02"": -0.006383280269801617, ""sub-03"": -0.014496184885501862, ""sub-05"": -0.01388724148273468, ""sub-06"": -0.010792499408125877, ""sub-07"": -0.014341143891215324, ""sub-09"": -0.05517922155559063, ""sub-11"": -0.011357638984918598, ""sub-12"": -0.024572022259235382, ""sub-14"": -0.028454139828681946, ""sub-15"": -0.01201562335093816, ""sub-17"": -0.0018395520746707916, ""sub-18"": -0.014954719692468643, ""sub-19"": -0.015755807515233755, ""sub-21"": -0.01772543229162693, ""sub-23"": -0.0145651800557971, ""sub-24"": 0.008730871602892876}",16,1,S1_MOTION_WITHIN_SESSION
0.0011745751355192607,-0.001366881346621085,MATCH_minus_TEMPORAL_SHUFFLED,-5.39482765210173e-05,0.0001424737274646759,"{""sub-02"": 0.002317100763320923, ""sub-03"": -0.0004925206303596497, ""sub-05"": 0.003346771001815796, ""sub-06"": -0.0003907643258571625, ""sub-07"": -0.004887811839580536, ""sub-09"": -0.005145268514752388, ""sub-11"": 0.0016463498274485247, ""sub-12"": -0.003706078976392746, ""sub-14"": 0.0015006065368652344, ""sub-15"": 4.642456769943237e-05, ""sub-17"": 0.004033152014017105, ""sub-18"": -0.001366306096315384, ""sub-19"": 0.0009253723546862602, ""sub-21"": 0.0014301687479019165, ""sub-23"": 0.00023852288722991943, ""sub-24"": -0.00035889074206352234}",16,9,S1_MOTION_WITHIN_SESSION
0.0017408702333341353,-0.0007603794247390599,MATCH_minus_mean_WRONG,0.00048821761609158583,0.0005748548234502486,"{""sub-02"": 0.00046317465603351593, ""sub-03"": 0.005853305260340373, ""sub-05"": 0.0015936791896820068, ""sub-06"": 0.001161365459362667, ""sub-07"": -0.004310881098111471, ""sub-09"": -0.0008180054525534323, ""sub-11"": 0.004487358033657072, ""sub-12"": -0.001586838314930598, ""sub-14"": -0.00035387774308522546, ""sub-15"": -0.0003950566881232784, ""sub-17"": 0.003223484382033348, ""sub-18"": 0.0012931513289610556, ""sub-19"": 0.0016460812961061784, ""sub-21"": 0.0006865349908669813, ""sub-23"": -0.001989840219418209, ""sub-24"": -0.003142153223355611}",16,9,S1_MOTION_WITHIN_SESSION
0.0016099498694529737,-0.005568088294239715,MATCH_minus_NULL,-0.001920847105793655,-0.002583637833595276,"{""sub-02"": -0.005675405263900757, ""sub-03"": -0.00463060662150383, ""sub-05"": -0.00026679039001464844, ""sub-06"": -0.004078119993209839, ""sub-07"": -0.003149084746837616, ""sub-09"": 0.0070254988968372345, ""sub-11"": -0.005294354632496834, ""sub-12"": -0.01684798300266266, ""sub-14"": -0.011871472001075745, ""sub-15"": -0.002018190920352936, ""sub-17"": 0.00832919031381607, ""sub-18"": 0.005252324044704437, ""sub-19"": 0.0028969980776309967, ""sub-21"": 0.006312336772680283, ""sub-23"": -0.012592438608407974, ""sub-24"": 0.005874544382095337}",16,6,S2_MOTION_XSPEED
-0.005599315586732729,-0.020481785616721027,MATCH_minus_STRONG_POP,-0.013437367742881179,-0.012218578718602657,"{""sub-02"": -0.01145154982805252, ""sub-03"": -0.010770928114652634, ""sub-05"": -0.030475854873657227, ""sub-06"": -0.012477189302444458, ""sub-07"": -0.02250649407505989, ""sub-09"": -0.03730763494968414, ""sub-11"": -0.0074072834104299545, ""sub-12"": -0.026341840624809265, ""sub-14"": -0.030572183430194855, ""sub-15"": -0.010463222861289978, ""sub-17"": -0.016073301434516907, ""sub-18"": 0.010107725858688354, ""sub-19"": -0.016354437917470932, ""sub-21"": -0.008017566055059433, ""sub-23"": -0.011959968134760857, ""sub-24"": 0.027073845267295837}",16,2,S2_MOTION_XSPEED
0.001974969627917744,-0.0007367675221757962,MATCH_minus_TEMPORAL_SHUFFLED,0.0006643204251304269,0.0009054914116859436,"{""sub-02"": 0.0021665915846824646, ""sub-03"": -0.0035820268094539642, ""sub-05"": -0.0014790445566177368, ""sub-06"": 8.117407560348511e-05, ""sub-07"": 0.0005484335124492645, ""sub-09"": 0.003823626786470413, ""sub-11"": 0.0051895081996917725, ""sub-12"": -0.004754573106765747, ""sub-14"": 0.003715991973876953, ""sub-15"": 0.0013723764568567276, ""sub-17"": 0.002425476908683777, ""sub-18"": 0.0005650557577610016, ""sub-19"": 0.002617228776216507, ""sub-21"": 0.001137375831604004, ""sub-23"": -0.003871675580739975, ""sub-24"": 0.0006736069917678833}",16,12,S2_MOTION_XSPEED
0.001880333145769933,-0.0007031387183815236,MATCH_minus_mean_WRONG,0.0005746094199518366,0.0007071730991204585,"{""sub-02"": -0.0027679676810900347, ""sub-03"": 0.0014252799252669028, ""sub-05"": 0.0010702436168988552, ""sub-06"": 0.0008484746019045523, ""sub-07"": -0.0009114369750022888, ""sub-09"": 0.0005658715963363647, ""sub-11"": 0.003603864461183548, ""sub-12"": 0.002325206995010376, ""sub-14"": -0.0028892507155736293, ""sub-15"": -0.0004895968983570746, ""sub-17"": 0.0013481751084327698, ""sub-18"": 3.9680550495784644e-05, ""sub-19"": 0.003944783161083858, ""sub-21"": 0.00623043564458688, ""sub-23"": -0.004506019254525503, ""sub-24"": -0.0006439934174219761}",16,10,S2_MOTION_XSPEED
