kind,restoration_validation_mse,step,training_loss
deterministic,0.13948705503717065,500,0.11046592146158218
deterministic,0.13676945436745883,1000,0.060631126165390015
deterministic,0.1348687056452036,1500,0.10086176544427872
deterministic,0.13476437982171774,2000,0.058672480285167694
deterministic,0.13430591681972145,2500,0.055031903088092804
deterministic,0.1339528452605009,3000,0.07085876911878586
deterministic,0.13634687382727861,3500,0.06031087413430214
deterministic,0.13624236779287457,4000,0.044184062629938126
deterministic,0.13661890886723996,4500,0.055242035537958145
deterministic,0.13914851443842052,5000,0.06350502371788025
deterministic,0.13341457759961486,5500,0.05675274878740311
deterministic,0.13434663992375134,6000,0.038499027490615845
deterministic,0.13787851184606553,6500,0.05295836552977562
deterministic,0.13747333255596458,7000,0.03943030908703804
deterministic,0.1392754190135747,7500,0.04397553578019142
deterministic,0.13912711171433328,8000,0.030932459980249405
deterministic,0.1434366217814386,8500,0.043868061155080795
deterministic,0.14135727332904935,9000,0.03467097133398056
deterministic,0.13680440355092288,9500,0.10113741457462311
