participant,protocol,available_seconds,d30,d60,d120,full_fair
1,same_01,215.556,1,1,1,0
1,same_02,15.592,0,0,0,0
1,same_03,212.396,1,1,1,0
2,same_01,224.996,1,1,1,0
2,same_02,215.556,1,1,1,0
2,same_03,212.396,1,1,1,0
3,same_01,206.396,1,1,1,0
3,same_02,215.556,1,1,1,0
3,same_03,212.396,1,1,1,0
4,same_01,243.268,1,1,1,0
4,same_02,215.556,1,1,1,0
4,same_03,212.396,1,1,1,0
5,same_01,215.556,1,1,1,0
5,same_02,215.556,1,1,1,0
5,same_03,212.396,1,1,1,0
6,same_01,215.556,1,1,1,0
6,same_02,215.556,1,1,1,0
6,same_03,212.396,1,1,1,0
7,same_01,215.556,1,1,1,0
7,same_02,243.268,1,1,1,0
7,same_03,212.396,1,1,1,0
8,same_01,215.556,1,1,1,0
8,same_02,215.556,1,1,1,0
8,same_03,212.396,1,1,1,0
9,same_01,215.556,1,1,1,0
9,same_02,215.556,1,1,1,0
9,same_03,212.396,1,1,1,0
