artifact_correlation,artifact_rrmse,coefficient_rmse,correlation,method,participant,rrmse_spectral,rrmse_temporal,seed,snr_improvement
0.48556795564316513,nan,nan,0.8904452962247101,V22_FIX_MATCH,sub-03,0.6079096940622942,0.43319816717003296,20260808,2.1444758464631652
0.4927673204924519,nan,nan,0.889716231313191,V22_FIX_MATCH,sub-05,0.6032326528679972,0.4525887161634225,20260808,2.060780139167414
0.3619576224501736,nan,nan,0.7877178059636869,V22_FIX_MATCH,sub-02,0.8135649895993993,1.818114686692063,20260808,1.5656349787640458
0.46535002411110327,nan,nan,0.89815600196252,V22_FIX_POP,sub-03,0.5978478838098109,0.4200748757166612,20260808,2.440573957872182
0.4926921894331922,nan,nan,0.9078835700393507,V22_FIX_POP,sub-05,0.5723727080652392,0.41004474522349865,20260808,2.999054339351305
0.38883268569241575,nan,nan,0.7967369320491949,V22_FIX_POP,sub-02,0.7923626219430431,1.8100270274321013,20260808,1.8419557727676201
0.45528476105726046,nan,nan,0.8904294919323277,V22_FIX_WRONG,sub-03,0.6157138741361229,0.44328678402628097,20260808,2.0908880376514527
0.4974313876484398,nan,nan,0.8975577365214887,V22_FIX_WRONG,sub-05,0.5961139341081051,0.4195003063528259,20260808,2.356473824340005
0.37266963981109613,nan,nan,0.7831076072373738,V22_FIX_WRONG,sub-02,0.8063426696550751,1.8249247018627075,20260808,1.389098731725678
0.5840041843821874,nan,3.6398640064572967,0.9051291840906078,OF_DET_MATCH,sub-03,0.6121253629995359,0.4089418608393218,20260808,2.0653809476079363
0.592965644747509,nan,2.2908176127821207,0.9128001609719113,OF_DET_MATCH,sub-05,0.5913859121991616,0.3911409279037463,20260808,2.7778905321050575
0.4803582282532289,nan,8.180000781335615,0.7919745268899891,OF_DET_MATCH,sub-02,0.8702230737403487,1.656027935388865,20260808,0.7672521929342707
0.47284136517476794,nan,4.406627924055667,0.876595473269353,OF_DET_POP_SWAP,sub-03,0.6907191196003476,0.5085528515077926,20260808,0.13549566043145728
0.48673808271383967,nan,2.9055885750996437,0.8839925318760308,OF_DET_POP_SWAP,sub-05,0.6813968360718143,0.5040064775262421,20260808,0.6091551455082717
0.3835916014345871,nan,7.583718168013023,0.7766073265282268,OF_DET_POP_SWAP,sub-02,0.8938323791054162,1.9058084628318972,20260808,-0.04552610255699573
0.5361398440861219,nan,4.38086377134597,0.8901484661005639,OF_DET_WRONG_SWAP,sub-03,0.6490159388631582,0.45461327695552056,20260808,1.4179340963195446
0.5527455399891263,nan,3.1726090447290947,0.8971111421032172,OF_DET_WRONG_SWAP,sub-05,0.6284406819920006,0.4391989840660244,20260808,2.1293899682936845
0.42534835915042396,nan,11.253122976896437,0.787683101836592,OF_DET_WRONG_SWAP,sub-02,0.8620139998807148,1.870051188182763,20260808,0.8784096451679698
0.5663420585663738,nan,1.1444171362027928,0.8981965232539821,POP_MARGINAL_DET,sub-03,0.6071738607778743,0.4198831018576449,20260808,2.706467238000848
0.5715041966912778,nan,1.0066347671182532,0.9043406200056013,POP_MARGINAL_DET,sub-05,0.6038259608965171,0.42239953263197094,20260808,2.967627277777151
0.47906509542548464,nan,5.4273773494995,0.7959842213260179,POP_MARGINAL_DET,sub-02,0.807425250807269,1.8097473467015803,20260808,2.0907108180084024
0.5486119140090572,nan,3.7343102860692383,0.9012497953466467,OF_SCAD_K1_MATCH,sub-03,0.6659137232078088,0.42784657963627093,20260808,1.3485565737002727
0.5563604526511259,nan,2.531029585944979,0.9060854749067834,OF_SCAD_K1_MATCH,sub-05,0.6504058947688655,0.4146206941161501,20260808,1.7648575682606962
0.4502858002436397,nan,8.64766132854151,0.7845508210064674,OF_SCAD_K1_MATCH,sub-02,0.9193315837870945,1.7119559927871733,20260808,-0.017578061701369888
