OF_DET_MATCH_POP_SWAP,OF_DET_MATCH_WRONG_SWAP,OF_SCAD_vs_DET,OF_subject_vs_population,participant
0.24978052744303225,0.2140232527938981,-0.055928057398308306,0.15371941131271538,sub-02
0.09961099066847079,0.04567141611619874,-0.018904718796949105,0.010941241018323056,sub-03
0.11286554962249573,0.048058056162278096,-0.023479766212403774,0.031258604728224615,sub-05
0.2576560048619285,0.23652376186510082,0.0074323646404081956,0.055976296087465016,sub-06
0.09264285246531173,0.03402146692698199,-0.031585633251816014,-0.023788125915452818,sub-07
-0.7574484344184782,-0.744450967946368,0.18041287522230842,-0.7391319718369127,sub-09
-0.005060016726181948,-0.04585551293184087,-0.019946031144832954,-0.10652351097605661,sub-11
0.31886357597273896,0.2808671570154,0.04176670612126099,0.16328833209633165,sub-12
0.135284192008307,0.09685236524517937,-0.05950080548844683,0.012249043489601874,sub-14
0.07331328380352531,0.04341476808177003,-0.005228040600890549,-0.06468571741620432,sub-15
0.06349970008082251,0.012527066315798252,-0.023157640469863128,-0.09663875516613618,sub-17
0.058686427713837475,0.031155895470874384,-0.011771904435590841,-0.08773284283961402,sub-18
-0.1568703585388984,-0.17150927047160525,0.3285893083860476,-0.24403710063603334,sub-19
0.11239019770930703,0.009524702257313944,-0.10181895872721314,-0.055435745195335784,sub-21
0.13496532053894295,0.030513476758341096,-0.06456456020189699,-0.028514399709310523,sub-23
