effect,estimand,exact_cell,unit_id
0.0023435704589880313,H1_DIFF_MATCH_minus_ONE_STEP_MATCH_clean_RRMSE_utility,19ch_native_linked_mastoid_256hz,sim37
0.004669222998328226,H1_DIFF_MATCH_minus_ONE_STEP_MATCH_clean_RRMSE_utility,19ch_native_linked_mastoid_256hz,sim38
0.006188686034232116,H1_DIFF_MATCH_minus_ONE_STEP_MATCH_clean_RRMSE_utility,19ch_native_linked_mastoid_256hz,sim39
0.00404438395962009,H1_DIFF_MATCH_minus_ONE_STEP_MATCH_clean_RRMSE_utility,19ch_native_linked_mastoid_256hz,sim40
0.004300878129334329,H1_DIFF_MATCH_minus_ONE_STEP_MATCH_clean_RRMSE_utility,19ch_native_linked_mastoid_256hz,sim41
0.007776943283309468,H1_DIFF_MATCH_minus_ONE_STEP_MATCH_clean_RRMSE_utility,19ch_native_linked_mastoid_256hz,sim42
0.0034318060601857825,H1_DIFF_MATCH_minus_ONE_STEP_MATCH_clean_RRMSE_utility,19ch_native_linked_mastoid_256hz,sim43
0.0034447390281598933,H1_DIFF_MATCH_minus_ONE_STEP_MATCH_clean_RRMSE_utility,19ch_native_linked_mastoid_256hz,sim46
-0.0025400996543218923,H1_DIFF_MATCH_minus_ONE_STEP_MATCH_clean_RRMSE_utility,19ch_native_linked_mastoid_256hz,sim47
0.004834818237197835,H1_DIFF_MATCH_minus_ONE_STEP_MATCH_clean_RRMSE_utility,19ch_native_linked_mastoid_256hz,sim48
0.0029482863349967747,H1_DIFF_MATCH_minus_ONE_STEP_MATCH_clean_RRMSE_utility,19ch_native_linked_mastoid_256hz,sim49
0.005741911661439003,H1_DIFF_MATCH_minus_ONE_STEP_MATCH_clean_RRMSE_utility,19ch_native_linked_mastoid_256hz,sim50
-0.0012146421002283692,H1_DIFF_MATCH_minus_ONE_STEP_MATCH_clean_RRMSE_utility,19ch_native_linked_mastoid_256hz,sim51
0.0036263386675164933,H1_DIFF_MATCH_minus_ONE_STEP_MATCH_clean_RRMSE_utility,19ch_native_linked_mastoid_256hz,sim52
0.016812039117495736,H1_DIFF_MATCH_minus_ONE_STEP_MATCH_clean_RRMSE_utility,19ch_native_linked_mastoid_256hz,sim53
0.005704697530672487,H1_DIFF_MATCH_minus_ONE_STEP_MATCH_clean_RRMSE_utility,19ch_native_linked_mastoid_256hz,sim54
-9.826363844278596e-07,H2_DIFF_MATCH_minus_DIFF_POP_EOG_coherence_utility,study01|layout_01|200,study01/study01_p01
-2.828917404593123e-06,H2_DIFF_MATCH_minus_DIFF_POP_EOG_coherence_utility,study01|layout_01|200,study01/study01_p02
3.9440313889804735e-07,H2_DIFF_MATCH_minus_DIFF_POP_EOG_coherence_utility,study01|layout_01|200,study01/study01_p03
1.4444469416674544e-06,H2_DIFF_MATCH_minus_DIFF_POP_EOG_coherence_utility,study01|layout_01|200,study01/study01_p04
-7.498350062251635e-07,H2_DIFF_MATCH_minus_DIFF_POP_EOG_coherence_utility,study01|layout_01|200,study01/study01_p05
