artifact_reconstruction_relative_error,artifact_sample_fraction,clean_waveform_RRMSE,clean_waveform_correlation,clipping_fraction,dataset,delta_SNR_db,eog_coherence_output,eog_coherence_raw,eog_coherence_reduction,function_evaluations_per_window,latency_seconds_per_window,matching_projector_attenuation_db,method,nonartifact_observation_preservation,observation_change_ratio,output_input_RMS_ratio,peak_memory_mb,population_projector_attenuation_db,reference_free_covariance_distortion,reference_free_psd_distortion,rest_sample_fraction,seed_count,training_seed
1.0000000002513123,,1.2948074647702101,0.6301623066247016,0.0,klados,-2.1828712433107425e-09,,,,0.0,0.0,,RAW,,2.5468778188987017e-08,1.0000000001519855,0.0,,,,,3,20260812.0
0.3112194958648448,,0.39902236887445036,0.9204316570457254,0.0,klados,10.402481453677911,,,,1.0,0.009947515566189622,,POP,,0.7459616619524084,0.6501073860242668,40.833770751953125,,,,,3,20260812.0
0.31444107055235804,,0.4029639711955034,0.919295544821227,0.001787503777601766,klados,10.326425130581754,,,,2.0,0.014212976184906818,,ONE-STEP-MATCH,,0.7398327994892399,0.6516924902207138,40.833770751953125,,,,,3,20260812.0
0.31051736039628786,,0.3984652190243325,0.9205824395386382,0.0004910015049972571,klados,10.4331700009704,,,,401.0,0.990315807490471,,DIFF-POP,,0.7415569023746644,0.6504537846091043,40.833770751953125,,,,,3,20260812.0
0.3105027093245172,,0.39845687246132055,0.9205846728145314,0.0004945470197223283,klados,10.433423420830305,,,,401.0,0.97960829845598,,DIFF-MATCH,,0.7415330821984942,0.6504326493272677,40.833770751953125,,,,,3,20260812.0
0.3106133153860796,,0.39860172319277076,0.9205347520928164,0.00048720614540798124,klados,10.430398000513375,,,,401.0,0.9813606071028496,,DIFF-SHUFFLED,,0.7414454924832558,0.6504869993315775,40.833770751953125,,,,,3,20260812.0
,0.3422574804697466,,,0.0,sgeyesub,,0.46441210343868417,0.46441210343868417,0.0,0.0,0.0,0.0,RAW,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.355333078876917,3,20260812.0
,0.3422574804697466,,,0.0,sgeyesub,,0.1413331657966921,0.46441210343868417,0.3230789376419921,1.0,0.0017297525000808868,5.632884255541134,POP,0.7762047409554995,0.650924956280771,0.7725100380250777,69.31856984105603,5.626200119610501,0.09381335111395367,0.484431845778602,0.355333078876917,3,20260812.0
,0.3422574804697466,,,0.0021572752793518777,sgeyesub,,0.1387417701063866,0.46441210343868417,0.32567033333229756,2.0,0.003275450197937953,5.624741541212219,ONE-STEP-MATCH,0.7732143882996323,0.6514355925032805,0.7731092736638824,69.31856984105603,5.618365411063924,0.09179434666272072,0.4734114081253005,0.355333078876917,3,20260812.0
,0.3422574804697466,,,0.3687135233003982,sgeyesub,,0.13528556394541952,0.46441210343868417,0.3291265394932647,401.0,0.5992773084430351,5.611357575614869,DIFF-POP,0.678043423334246,0.6739075675997945,0.7912900112141138,69.31856984105603,5.605123556362833,0.09337359124981906,0.7104592004056475,0.355333078876917,3,20260812.0
,0.3422574804697466,,,0.3686807236790689,sgeyesub,,0.13528550166594908,0.46441210343868417,0.3291266017727352,401.0,0.5989626595067014,5.611355160742076,DIFF-MATCH,0.678037981449678,0.6739119497543907,0.7912912481817705,69.31856984105603,5.60512591855046,0.09337456460689948,0.7105317165280793,0.355333078876917,3,20260812.0
,0.3422574804697466,,,0.36886647022000474,sgeyesub,,0.13528656317696414,0.46441210343868417,0.32912554026172003,401.0,0.5986014121353542,5.611368069939432,DIFF-SHUFFLED,0.6780114329713989,0.6739208277545298,0.7912983212662839,69.31856984105603,5.605131195703607,0.09337544117448113,0.7118908299086174,0.355333078876917,3,20260812.0
