partition,study,participant_stem,recording_key,release_layout_id,p0_layout_id,sampling_rate_hz,support_block,query_block,population_source_count,method_id,status,operator_source,gamma,fallback_used,uses_query_external_eog,matching_projector_attenuation_db,population_projector_attenuation_db,nonartifact_observation_preservation,artifact_sample_fraction,rest_sample_fraction,eog_coherence_raw,eog_coherence_output,eog_coherence_reduction,reference_free_psd_distortion,reference_free_covariance_distortion,heldout_eog_prediction_remaining_ratio,condition_erp_observation_relative_preservation,condition_erp_proxy_status,observation_change_ratio,clean_waveform_metric
development,study01,study01_p03,study01/study01_p03,layout_01,p0_layout_01,200.0,1,2,4,raw,success,raw,,False,False,0.0,0.0,1.0,0.36786057692307694,0.31802884615384613,0.44933971812084617,0.44933971812084617,0.0,0.0,0.0,1.0,1.0,success_observation_relative_four_condition_ERP,0.0,N/A_no_clean_target
development,study01,study01_p03,study01/study01_p03,layout_01,p0_layout_01,200.0,1,2,4,pop_Qy,success,Pi0,,False,False,31.48486711041106,309.0488734329475,0.30815972455398466,0.36786057692307694,0.31802884615384613,0.44933971812084617,0.1936656315654321,0.25567408655541407,0.6368667430638095,0.8855861982233176,0.36959032387077945,0.030364219128223624,success_observation_relative_four_condition_ERP,0.9254378892817471,N/A_no_clean_target
development,study01,study01_p03,study01/study01_p03,layout_01,p0_layout_01,200.0,1,2,4,POP_fallback,success,Pi0,,True,False,31.48486711041106,309.0488734329475,0.30815972455398466,0.36786057692307694,0.31802884615384613,0.44933971812084617,0.1936656315654321,0.25567408655541407,0.6368667430638095,0.8855861982233176,0.36959032387077945,0.030364219128223624,success_observation_relative_four_condition_ERP,0.9254378892817471,N/A_no_clean_target
development,study01,study01_p03,study01/study01_p03,layout_01,p0_layout_01,200.0,1,2,4,matching_Qy,success,matching_block1_P0,,False,False,316.1264856598525,32.65516203254493,0.3207680757894146,0.36786057692307694,0.31802884615384613,0.44933971812084617,0.02678232038137034,0.4225573977394758,0.6107643802811561,0.8761185393110985,0.34559369856885525,0.02604158017635183,success_observation_relative_four_condition_ERP,0.9277418036989871,N/A_no_clean_target
development,study01,study01_p03,study01/study01_p03,layout_01,p0_layout_01,200.0,1,2,4,wrong_Qy,success,study01_p01,,False,False,28.326919685715218,32.36273162309129,0.34949390306603234,0.36786057692307694,0.31802884615384613,0.44933971812084617,0.2394897950544616,0.20984992306638456,0.5786273571616405,0.8446081227146525,0.36284206173311995,0.03525646408452887,success_observation_relative_four_condition_ERP,0.9155015068903476,N/A_no_clean_target
development,study01,study01_p03,study01/study01_p03,layout_01,p0_layout_01,200.0,1,2,4,shuffled_Qy,fallback_POP,shuffled_P0_ineligible,,True,False,31.48486711041106,309.0488734329475,0.30815972455398466,0.36786057692307694,0.31802884615384613,0.44933971812084617,0.1936656315654321,0.25567408655541407,0.6368667430638095,0.8855861982233176,0.36959032387077945,0.030364219128223624,success_observation_relative_four_condition_ERP,0.9254378892817471,N/A_no_clean_target
development,study01,study01_p03,study01/study01_p03,layout_01,p0_layout_01,200.0,1,2,4,B6_Qy__gamma_0,success,B6_POP_SHRINK,0.0,False,False,31.48486711041106,309.0488734329475,0.30815972455398466,0.36786057692307694,0.31802884615384613,0.44933971812084617,0.1936656315654321,0.25567408655541407,0.6368667430638095,0.8855861982233176,0.36959032387077945,0.030364219128223624,success_observation_relative_four_condition_ERP,0.9254378892817471,N/A_no_clean_target
development,study01,study01_p03,study01/study01_p03,layout_01,p0_layout_01,200.0,1,2,4,B6_soft_proximal__gamma_0,success,B6_POP_SHRINK,0.0,False,False,11.743561181255727,12.041199826559254,0.4811197934154885,0.36786057692307694,0.31802884615384613,0.44933971812084617,0.29752483963170273,0.15181487848914343,0.5237624506477425,0.7495320512999462,0.3920797133219752,0.2727731643461677,success_observation_relative_four_condition_ERP,0.6940784169613107,N/A_no_clean_target
development,study01,study01_p03,study01/study01_p03,layout_01,p0_layout_01,200.0,1,2,4,B6_Qy__gamma_0p25,success,B6_POP_SHRINK,0.25,False,False,34.471985217096496,44.03317990330295,0.311123798044327,0.36786057692307694,0.31802884615384613,0.44933971812084617,0.1559992693151574,0.29334044880568877,0.6309010132801036,0.8832474259421373,0.36074925333343827,0.02821642714740258,success_observation_relative_four_condition_ERP,0.926934894452241,N/A_no_clean_target
development,study01,study01_p03,study01/study01_p03,layout_01,p0_layout_01,200.0,1,2,4,B6_soft_proximal__gamma_0p25,success,B6_POP_SHRINK,0.25,False,False,11.877502932863031,12.087158032950196,0.4833428485332453,0.36786057692307694,0.31802884615384613,0.44933971812084617,0.2866522176214813,0.16268750049936487,0.5190336565714866,0.7470056954120055,0.38501991323144336,0.271162320360552,success_observation_relative_four_condition_ERP,0.6952011708391808,N/A_no_clean_target
