seed,participant,E_cap,E_iter,E_avg,E_P_DIFF,E_P_DET2,DeltaSA2
20260808,1,-0.007395613938570023,0.30807653814554214,0.03150184452533722,-0.023191876709461212,-0.07991329953074455,0.05672142282128334
20260808,2,-0.0038765668869018555,0.2503478775421778,0.013737047712008149,0.013685159385204315,0.008531709512074798,0.0051534498731295175
20260808,3,-0.0008604874213536673,0.14805962145328522,0.014585005740324647,0.01800840844710669,0.014557570219039917,0.0034508382280667715
20260808,4,0.011938631534576416,0.307333250840505,0.030613929033279405,0.005069819589455932,0.006805941462516785,-0.001736121873060853
20260808,5,-0.009773045778274536,0.18883699178695676,0.024230207006136595,-0.003628462553024292,-0.0037674655516942435,0.00013900299866995147
20260808,6,-0.0005794862906138287,0.16135736803213757,0.01278291145960489,0.002935819327831282,0.002097825209299714,0.0008379941185315681
20260808,7,-0.0003653988242149353,0.3684727797905605,0.03930192192395526,-0.0072837521632512225,-0.024158351123332977,0.016874598960081755
20260808,8,-0.0036475261052449637,0.16843599577744803,0.016750757892926516,0.003968355556329101,0.0025322958827018738,0.0014360596736272269
20260808,9,-0.0039507870872815265,0.3750263353188833,0.044727933903535216,0.0014061505595842905,0.00410855064789456,-0.0027024000883102695
20260810,1,-0.0079474076628685,0.26853854209184647,0.020437195897102356,-0.018009737133979797,-0.05592724680900574,0.03791750967502594
20260810,2,-0.002093292772769928,0.24379650751749674,0.01904280235370001,0.017294466495513916,0.01314987987279892,0.004144586622714996
20260810,3,-0.001183976729710906,0.15932347377141315,0.01748165488243103,0.013316325843334198,0.012790759404500321,0.0005255664388338771
20260810,4,0.005452876289685563,0.2836085930466652,0.03546062360207239,-0.003390903274218246,0.0022403349479039464,-0.005631238222122192
20260810,5,0.0031248380740483694,0.20568604270617166,0.015495846668879182,-0.001320958137512207,-0.0007007916768391742,-0.0006201664606730328
20260810,6,-0.005232540269692734,0.1441023126244545,0.017153282960255936,0.0015538061658541408,0.000931568443775177,0.0006222377220789638
20260810,7,-0.012200420101483672,0.38853308061758685,0.05097278455893198,-0.00465056300163269,-0.02526681621869406,0.02061625321706137
20260810,8,-0.0009176433086395264,0.15404194593429565,0.01622222860654196,0.0004386231303215027,0.00015063832203546235,0.00028798480828604034
20260810,9,-0.002803643544514983,0.3589864025513332,0.03683298577864963,0.005292626718680082,0.002573348581790924,0.0027192781368891583
20260811,1,-0.012966375797986984,0.3149674981832504,0.028792880475521088,-0.012153513729572296,-0.05205878987908363,0.03990527614951134
20260811,2,-0.0028401811917622977,0.22566080590089163,0.01896083354949951,0.017198503017425537,0.015782748659451812,0.0014157543579737253
20260811,3,-0.002274754146734892,0.16492404043674466,0.01517399400472641,0.01787925759951274,0.0193610539038976,-0.001481796304384858
20260811,4,0.0069504554073015895,0.29787080486615497,0.026156698664029435,0.02134503920873007,0.01839503645896913,0.002950002749760941
20260811,5,0.002319922049840273,0.2134428968032201,0.021247426668802888,0.0020376344521840506,7.329384485879609e-05,0.0019643406073252545
20260811,6,0.003038763999938965,0.14249808092912036,0.026318907737731934,0.0008095875382423401,0.0010515948136647496,-0.00024200727542240952
20260811,7,-0.00795546422402063,0.3757034738858541,0.04220680644114813,-0.004743136465549469,-0.02339698870976767,0.0186538522442182
20260811,8,-0.0020624349514643536,0.151078370710214,0.014044061303138733,0.0009280666708946228,0.001726048688093812,-0.0007979820171991892
20260811,9,0.0008354907234509601,0.39595730106035876,0.042146784563859285,0.00729126731554669,0.018007000287373842,-0.010715732971827152
