participant,E_cap,E_iter,E_avg,E_P_DIFF,E_P_DET2,DeltaSA2
1,-0.009436465799808502,0.2971941928068797,0.02691064029932022,-0.01778504252433777,-0.06263311207294464,0.04484806954860687
2,-0.0029366802838113604,0.23993506365352205,0.017246894538402557,0.016059376299381256,0.012488112681441843,0.003571263617939413
3,-0.0014397394325998218,0.15743571188714767,0.01574688487582736,0.016401330629984542,0.015569794509145946,0.0008315361208385968
4,0.008113987743854523,0.2962708829177751,0.030743750433127076,0.007674651841322586,0.00914710428979662,-0.0014724524484740348
5,-0.0014427618847952979,0.20265531043211618,0.020324493447939556,-0.0009705954127841495,-0.0014649877945582073,0.0004943923817740578
6,-0.000924420853455866,0.14931925386190414,0.018751700719197587,0.001766404343975921,0.0013603294889132135,0.00040607485506270746
7,-0.006840427716573079,0.3775697780980005,0.04416050430801179,-0.005559150543477794,-0.024274052017264902,0.01871490147378711
8,-0.002209201455116281,0.15785210414065257,0.015672349267535735,0.0017783484525150754,0.0014696609642770493,0.000308687488238026
9,-0.0019729799694485164,0.3766566796435251,0.041235901415348046,0.004663348197937021,0.00822963317235311,-0.0035662849744160876
