method,parameters_second_stage,successful_updates,NFE_second_stage,mean_seconds_per_last_natural_unit,mean_peak_gpu_memory_mb
DET2-POP8,1113827,8000,1,0.01565131365443962,138.43843900240384
DIFF-POP8-DDIM1-K1,1113827,8000,1,0.015577034838199139,138.43843900240384
DIFF-POP8-DDIM25-K1,1113827,8000,25,0.17488292516179335,138.43843900240384
DIFF-POP8-DDIM25-K8,1113827,8000,200,1.2585089111824532,138.43843900240384
