package,seed,participant,protocol,method,eog_attenuation,preservation,mi_band_distortion,covariance,mi_kappa,erd_preservation
CAPACITY,20260808,1,same_01,DET1-POP8,-0.016935233849909748,0.733038067817688,0.06077099987144649,0.13825946076078488,0.43333333333333335,0.9670019715242886
CAPACITY,20260808,1,same_01,DET2-POP8,-0.0226817549493582,0.7325177490711212,0.06072608363258066,0.12712493382355633,0.33333333333333337,0.9694695330554197
CAPACITY,20260808,1,same_01,DIFF1-K1-POP8,-0.0005824884874595371,0.47810471057891846,0.08644730038332665,0.16813900108910584,0.5333333333333333,0.9442424989569941
CAPACITY,20260808,1,same_01,DIFF25-K1-POP8,-0.027524679961910187,0.7020221948623657,0.06383768775124442,0.13179738951593817,0.30000000000000004,0.9685714452452193
CAPACITY,20260808,1,same_01,DIFF25-K8-POP8,-0.027690701305618848,0.7241281867027283,0.06278622158724702,0.13565086459076042,0.4666666666666667,0.967269072634438
CAPACITY,20260808,1,same_01,DET1-SHRINK-MATCH,0.05672237418950857,0.8355663120746613,0.04101533206378942,0.13462665195009088,0.3666666666666667,0.9630013176299574
CAPACITY,20260808,1,same_01,DET2-SHRINK-MATCH,0.05961753945778549,0.8388042002916336,0.04156473177203708,0.1255297722676633,0.33333333333333337,0.9630050141643934
CAPACITY,20260808,1,same_01,DIFF1-K1-SHRINK-MATCH,0.06440316731129349,0.5215035974979401,0.08143917375488703,0.16129776225937045,0.4,0.9479586660215484
CAPACITY,20260808,1,same_01,DIFF25-K1-SHRINK-MATCH,0.049766123592430475,0.770784541964531,0.04773447326208518,0.12638231995483373,0.1333333333333333,0.9648484379401432
CAPACITY,20260808,1,same_01,DIFF25-K8-SHRINK-MATCH,0.04986320167841364,0.8003283590078354,0.047851504777392584,0.13030463242279172,0.19999999999999996,0.9634697862474793
CAPACITY,20260808,1,same_03,DET1-POP8,0.040290114179141606,0.6453362107276917,0.07298320916513329,0.1355288886627325,0.6,0.9537486361178888
CAPACITY,20260808,1,same_03,DET2-POP8,0.04201968951352278,0.6499004662036896,0.07237018410290548,0.13058626163304068,0.6,0.9545031592640182
CAPACITY,20260808,1,same_03,DIFF1-K1-POP8,0.05677808222299821,0.38319164514541626,0.11177691822941603,0.2026301501844244,0.575,0.9254276735178327
CAPACITY,20260808,1,same_03,DIFF25-K1-POP8,0.03997341751166661,0.6267667412757874,0.07523246632055443,0.13460189408281611,0.575,0.9544208450679168
