method,participant,eog_attenuation,preservation,mi_band_distortion,covariance,mi_kappa,erd_preservation
DET1-POP8,1,0.01909004326728203,0.6932702486713728,0.062397344523682306,0.15394352448576945,0.5111111111111112,0.9637753075946831
DET1-POP8,2,0.09722610563812735,0.8217026210493512,0.0819424106294098,0.13364103014664624,0.15740740740740738,0.9358668010234718
DET1-POP8,3,0.12273339465891965,0.8141777747207217,0.0846425299928436,0.14401729481010123,-0.006481481481481483,0.9274234684127273
DET1-POP8,4,0.11182973465443372,0.7898507846726311,0.07512119951315575,0.12839065464163002,0.7649148176538944,0.9358464771074781
DET1-POP8,5,0.10883635017537169,0.7818523678514693,0.10269444973050433,0.15176020767627507,0.5518911605187673,0.9096044462834576
DET1-POP8,6,0.10243995475523711,0.8350256217850579,0.059116911960130566,0.15542769699365408,0.35555555555555557,0.9531469962219236
DET1-POP8,7,0.10840745764203161,0.701375898387697,0.09377993285557597,0.18684251537036986,0.23333333333333328,0.9246598178617391
DET1-POP8,8,0.10682456932933354,0.816272195842531,0.0826056783918952,0.11092311008667484,0.3990740740740741,0.9315279928800427
DET1-POP8,9,0.04603720328440789,0.6946142945024703,0.07631753936105469,0.12866420898659048,0.4046296296296297,0.9426592260194836
DET1-SHRINK-MATCH,1,0.058708136252628274,0.7564505413174629,0.053195188053690314,0.1605723778698501,0.5152777777777777,0.957604287942071
DET1-SHRINK-MATCH,2,0.10906850337170469,0.810417878958914,0.08494483334901644,0.13697460175231668,0.15555555555555556,0.9312320111865586
DET1-SHRINK-MATCH,3,0.11900678922774739,0.8117472247944938,0.08214850641895861,0.1448787183669908,-0.019444444444444473,0.9208037373159708
DET1-SHRINK-MATCH,4,0.11415047220497408,0.7958191119962268,0.07110038383606618,0.12535116869183216,0.759502095092945,0.9377807275529779
DET1-SHRINK-MATCH,5,0.11728309034939371,0.7660743246475855,0.11143299489478418,0.15535491458102255,0.5451265457418042,0.9042619480825829
DET1-SHRINK-MATCH,6,0.10663423025436398,0.8295224408308665,0.06192923764660564,0.15958669629401787,0.35555555555555557,0.9499585415814279
DET1-SHRINK-MATCH,7,0.11683324074932365,0.7423448181814618,0.08282763823708457,0.20483137162969098,0.20277777777777775,0.928139595899547
DET1-SHRINK-MATCH,8,0.1078187804291772,0.8125739263163673,0.08383107157784393,0.1115168014501538,0.38055555555555554,0.930335899104214
DET1-SHRINK-MATCH,9,0.08289795317836507,0.7415534141990874,0.07232873980987023,0.14238175287769284,0.3879629629629629,0.9381634020207303
DET2-POP8,1,0.016593607613147352,0.6946449627478918,0.06569623536983388,0.1483967236273814,0.5,0.9620117450164866
DET2-POP8,2,0.10065208685891926,0.8027031636900372,0.08836546984080912,0.13334843424374745,0.1648148148148148,0.9330185612932806
DET2-POP8,3,0.12293187702417804,0.8130607604980469,0.08798959914122098,0.14632288204890617,0.010185185185185174,0.9245835923853823
DET2-POP8,4,0.11189864226271255,0.7865195771058401,0.07061984916665409,0.11483503096508857,0.7455713627703451,0.9425809233168201
DET2-POP8,5,0.1086510079018182,0.7851191858450571,0.10354122757672533,0.14915651985088518,0.5550732773495056,0.9087988369780837
DET2-POP8,6,0.10080418405189556,0.8424510724014707,0.05581161509007623,0.13843861460148735,0.35000000000000003,0.9583496892454524
DET2-POP8,7,0.11024440457193284,0.7125888963540395,0.0930557087396287,0.16972611853276057,0.2361111111111111,0.9274404070918548
DET2-POP8,8,0.10562522166818021,0.8216836121347215,0.07654579731487426,0.09826362696476491,0.3925925925925926,0.9359214315513896
DET2-POP8,9,0.04522111900921039,0.7013319184382757,0.07417513175275409,0.11696415084963149,0.4055555555555556,0.9472824834656781
DET2-SHRINK-MATCH,1,0.0583891766611521,0.7578107664982477,0.0584365160487586,0.155429836605236,0.49444444444444446,0.9544736191964835
DET2-SHRINK-MATCH,2,0.11042607143770701,0.7922127909130521,0.09070019649240692,0.13593721276473728,0.13981481481481478,0.9290878668296458
DET2-SHRINK-MATCH,3,0.11890521720042616,0.8106908053159714,0.08543418664565024,0.14668077383717026,-0.006481481481481471,0.9182998803558298
DET2-SHRINK-MATCH,4,0.1141092976970673,0.7922737631532881,0.06697440457462639,0.11192104217555778,0.7575074102464868,0.9444681078079762
DET2-SHRINK-MATCH,5,0.11689901921673813,0.7695695492956374,0.11197364691602764,0.15257842781368303,0.5474535558005615,0.9037434962904415
DET2-SHRINK-MATCH,6,0.10468632249698546,0.8373002807299296,0.05848721618631891,0.14233133795953296,0.3453703703703704,0.9551070764095848
DET2-SHRINK-MATCH,7,0.11572219077837283,0.747332803077168,0.08386112500049417,0.18845712606636086,0.2037037037037037,0.9301183412089689
DET2-SHRINK-MATCH,8,0.1066116736699008,0.8181384238931868,0.07770878526554217,0.0988438439595773,0.3592592592592593,0.9347810857074654
DET2-SHRINK-MATCH,9,0.08148881029074054,0.751051053404808,0.0705914565324206,0.12976676143289947,0.3620370370370371,0.9423851969314894
DIFF1-K1-POP8,1,0.03496265328501115,0.431443711121877,0.10107800545326799,0.194659392884834,0.4930555555555556,0.9321619931139047
DIFF1-K1-POP8,2,0.1071039101981593,0.5762674874729581,0.09138245577867081,0.12995934030717496,0.013888888888888888,0.9409346307279505
DIFF1-K1-POP8,3,0.13201611619830167,0.6784393489360809,0.0793277952077176,0.12820449094139524,0.014814814814814788,0.9517163386277362
DIFF1-K1-POP8,4,0.12106773600661651,0.5286240941948361,0.08067353605721574,0.15568232306928673,0.7800114289033485,0.9729029048498083
DIFF1-K1-POP8,5,0.1200302073052048,0.5901223222414652,0.09486055938845944,0.14833872232172596,0.4642434903575094,0.9662269790037317
DIFF1-K1-POP8,6,0.11028698438791992,0.6985900004704794,0.058184159190057844,0.13895029035229595,0.387962962962963,0.9821618096847398
DIFF1-K1-POP8,7,0.12907473495425748,0.381344262096617,0.20196244301096147,0.2931795739214009,0.22407407407407406,0.8517562364469158
DIFF1-K1-POP8,8,0.11322402150790253,0.6446640888849894,0.06800060407619832,0.11635093337123396,0.30462962962962964,0.9597802131266866
DIFF1-K1-POP8,9,0.06507281754749522,0.3690185613102383,0.1463164747339227,0.2698594400308524,0.4037037037037037,0.9221060256309155
DIFF1-K1-SHRINK-MATCH,1,0.06987821329868815,0.46216299136479694,0.09379041356862021,0.190497527434345,0.48611111111111116,0.9398514131323267
DIFF1-K1-SHRINK-MATCH,2,0.11752785781016338,0.5712956885496775,0.09091954442146216,0.13096757127516312,0.025925925925925908,0.9448141205491578
DIFF1-K1-SHRINK-MATCH,3,0.12892622799232484,0.676807721455892,0.08016505568555046,0.12817574749487742,0.017592592592592566,0.9443010646290504
DIFF1-K1-SHRINK-MATCH,4,0.12307670537625356,0.5313084191746182,0.08023571083908143,0.15410862147639612,0.7865140056812838,0.9717204257625975
DIFF1-K1-SHRINK-MATCH,5,0.12776995434749872,0.5812578598658243,0.10179769088629687,0.15065459733537107,0.43605708605708604,0.9632921674395062
DIFF1-K1-SHRINK-MATCH,6,0.11430340223081416,0.6955878502792783,0.058605304709024336,0.14247740243363605,0.39629629629629637,0.9824888700840925
DIFF1-K1-SHRINK-MATCH,7,0.1354906767386014,0.39969006180763245,0.20047279463693451,0.28831963411796413,0.23796296296296296,0.8470399958099983
DIFF1-K1-SHRINK-MATCH,8,0.11415810212945021,0.6427831285529666,0.0688130882953035,0.11690863202537062,0.32314814814814813,0.9586413193205097
DIFF1-K1-SHRINK-MATCH,9,0.09564787448960435,0.39119216468599105,0.14140734224569596,0.2625632579993933,0.3879629629629629,0.927787230803118
DIFF25-K1-POP8,1,0.014673626445568641,0.6715983947118124,0.06503152381534125,0.1492977150457924,0.4902777777777778,0.9644369987012654
DIFF25-K1-POP8,2,0.10050966224991978,0.7984634853071637,0.08176752404089602,0.13133620506912438,0.11018518518518516,0.9373346272419334
DIFF25-K1-POP8,3,0.12273987737862962,0.807218708925777,0.07588936344374272,0.138775619645831,0.024999999999999974,0.9356552961021557
DIFF25-K1-POP8,4,0.11111130718822565,0.7765312890211741,0.06572989515244886,0.11224242934246728,0.747487629350943,0.9469028795471289
DIFF25-K1-POP8,5,0.10804536180587562,0.7740096963114209,0.09886800982512217,0.14302933000804136,0.5260864603305031,0.9155343620911334
DIFF25-K1-POP8,6,0.10105155977119423,0.8290764590104421,0.05664317378773826,0.14890529726654958,0.3305555555555555,0.957321676392254
DIFF25-K1-POP8,7,0.1118199091927937,0.6807796623971727,0.08898197223261706,0.17519878799697686,0.22314814814814815,0.9333059989118474
DIFF25-K1-POP8,8,0.1055249441269794,0.8073977960480584,0.07931050140111554,0.10692035242882603,0.37962962962962965,0.9357442678597194
DIFF25-K1-POP8,9,0.049595566777632244,0.6769637763500214,0.07284382982461136,0.1212793432904049,0.40648148148148144,0.9477893312119683
DIFF25-K1-SHRINK-MATCH,1,0.04544239374251565,0.7134337201714516,0.05868525353006246,0.15169949400709146,0.45694444444444454,0.9593649300118307
DIFF25-K1-SHRINK-MATCH,2,0.10778691827382242,0.7921895881493887,0.08467718867729676,0.13456483246587825,0.13981481481481475,0.9333462558491904
