seed,fold,parameters_det2,parameters_diffusion,parameter_difference,updates,training_seconds
20260808,0,1113827,1113827,0,8000,292.8898789261002
20260808,1,1113827,1113827,0,8000,285.9098806680413
20260808,2,1113827,1113827,0,8000,291.36018311500084
20260808,3,1113827,1113827,0,8000,283.491859183996
20260808,4,1113827,1113827,0,8000,288.3281862119911
20260808,5,1113827,1113827,0,8000,283.0652852909989
20260808,6,1113827,1113827,0,8000,288.78581629204564
20260808,7,1113827,1113827,0,8000,287.710242970963
20260808,8,1113827,1113827,0,8000,283.01863773702644
20260810,0,1113827,1113827,0,8000,286.3725074339891
20260810,1,1113827,1113827,0,8000,286.33759711298626
20260810,2,1113827,1113827,0,8000,285.33247205999214
20260810,3,1113827,1113827,0,8000,282.9994253660552
20260810,4,1113827,1113827,0,8000,198.67240520298947
20260810,5,1113827,1113827,0,8000,280.19539618998533
20260810,6,1113827,1113827,0,8000,286.9503786789719
20260810,7,1113827,1113827,0,8000,283.00114727101754
20260810,8,1113827,1113827,0,8000,289.0036083130399
20260811,0,1113827,1113827,0,8000,198.08048898202833
20260811,1,1113827,1113827,0,8000,280.9371633940027
20260811,2,1113827,1113827,0,8000,201.4464383579907
20260811,3,1113827,1113827,0,8000,281.88137023802847
20260811,4,1113827,1113827,0,8000,199.8191561170388
20260811,5,1113827,1113827,0,8000,284.33188260300085
20260811,6,1113827,1113827,0,8000,200.9132619399461
20260811,7,1113827,1113827,0,8000,200.36078935401747
20260811,8,1113827,1113827,0,8000,287.62593874300364
