bundled_checkpoint_files,commit,data_loader_candidates,detail,matlab_files,python_files,readme_files,repository,status,train_entry_candidates,url
0,a19a652b3b6346188ae77067e1daf8b90cad005f,2,,0,10,1,EEGDfus,existing_checkout,2,https://github.com/XYH0118/EEGDfus.git
0,5be2b3c72973fea6c879e63cd83067ff66aace13,2,,0,10,1,D4PM,existing_checkout,2,https://github.com/flysnow1024/D4PM.git
1,12c339a25981e84061a22e8ad29af6da7945ee08,0,,0,8,1,DS-DDPM,existing_checkout,0,https://github.com/duanyiqun/DS-DDPM.git
0,f4ee52f5ff77397a4c016c55ddca1a06f641a0ad,0,,0,11,1,Essentia,existing_checkout,2,https://github.com/NKU-EmbeddedSystem/Essentia.git
0,4e67cb9176dcfcba8aa4d8dfdcb4059994d75e8a,0,,0,3,1,EEGOAR-Net,existing_checkout,0,https://github.com/dmarcos97/EEGOAR-Net.git
0,2c95b4f46f37670d25399ac0fdd705ae18248b25,0,,15,0,1,SGEYESUB,existing_checkout,0,https://github.com/rkobler/eyeartifactcorrection.git
0,7dca7dc5116c874500f798eb21f29a0b40b2c385,2,,0,5,1,DeepSeparator,existing_checkout,1,https://github.com/ncclabsustech/DeepSeparator.git
0,587f690ccf45341528ab048264270fe6d8187ecd,0,,0,1,1,EEGANet,existing_checkout,0,https://github.com/IoBT-VISTEC/EEGANet.git
0,c103740ec1793c9ce325e41622a7ae44d1023cbf,0,,5,0,1,MobileBCI_Data,cloned,0,https://github.com/youngeun1209/MobileBCI_Data.git
