development_epsilon_mse_diagnostic_only,epoch,step,train_epsilon_mse
0.17443732216077693,49,250,0.2091442346572876
0.11062478580895592,99,500,0.1456219509243965
0.07803858970017995,149,750,0.10582427233457566
0.05863712004878942,199,1000,0.07177890166640281
0.047094068654319816,249,1250,0.06791400611400604
0.040045826093238944,299,1500,0.0677596390247345
0.03475029876126962,349,1750,0.044160176813602445
0.03609193971051889,399,2000,0.04007954783737659
0.029087215881137288,449,2250,0.04563195668160915
0.025566178538343486,499,2500,0.03589151576161385
0.022603532902019864,549,2750,0.03197625577449799
0.019886454183827427,599,3000,0.03699067085981369
0.01835642207194777,649,3250,0.028900017589330675
0.020880216184784386,699,3500,0.023905351385474206
0.01694679490345366,749,3750,0.02637057304382324
0.01985955046599402,799,4000,0.021619170159101486
0.015924359370461282,849,4250,0.019838431850075722
0.014387910062556757,899,4500,0.02016931362450123
0.01426386770189685,949,4750,0.014795718155801297
0.013737882569651394,999,5000,0.018242468871176244
0.013732541735996218,1049,5250,0.017648469470441342
0.01319003096946022,1099,5500,0.020995215885341166
0.012624637853792486,1149,5750,0.01635776460170746
0.011962048380690463,1199,6000,0.01706416327506304
