dataset,subject,record,channels,kind,status,samples,cov_trace,cov_logdet,cov_condition
physiomotion,sub-1,sub-1_task-artifact_run-01_eeg,59,covariance_only,ok,1252000,0.00010924188235296392,-1151.1241519815185,99512060007505.84
physiomotion,sub-10,sub-10_task-artifact_run-01_eeg,59,covariance_only,ok,1131000,3.3935927657434626e-05,-1185.9831653553065,13787431.872887757
physiomotion,sub-11,sub-11_task-artifact_run-01_eeg,59,covariance_only,ok,1160000,6.661521293559767e-05,-1095.3553732236192,8191954.1859516585
physiomotion,sub-13,sub-13_task-artifact_run-01_eeg,59,covariance_only,ok,1159000,2.3323090070301844e-05,-1125.8490319304144,294649.67926931346
physiomotion,sub-14,sub-14_task-artifact_run-01_eeg,59,covariance_only,ok,1205000,0.001150597742158176,-1030.424445843995,1389317.9478874886
physiomotion,sub-16,sub-16_task-artifact_run-01_eeg,59,covariance_only,ok,1143000,3.8993440746177955e-05,-1199.5491528578739,14586561.54138534
physiomotion,sub-18,sub-18_task-artifact_run-01_eeg,59,covariance_only,ok,1164000,4.1171008847051377e-05,-1186.5809009224251,557279.6209702279
physiomotion,sub-2,sub-2_task-artifact_run-01_eeg,59,covariance_only,ok,1404000,0.00025594798119349675,-1072.2587465909342,3074128.3419546853
physiomotion,sub-20,sub-20_task-artifact_run-01_eeg,59,covariance_only,ok,1153000,3.617854600469553e-05,-1187.543132642397,2196222.05942064
physiomotion,sub-21,sub-21_task-artifact_run-01_eeg,59,covariance_only,ok,1622000,5.621592602886827e-05,-1096.9250992957411,159757.91545393685
physiomotion,sub-22,sub-22_task-artifact_run-01_eeg,59,covariance_only,ok,1205000,2.452018276070325e-05,-1162.9464395944312,395762.43986078503
physiomotion,sub-23,sub-23_task-artifact_run-01_eeg,59,covariance_only,ok,1148000,5.4613823337322094e-05,-1158.037675903721,8039775.097264386
physiomotion,sub-26,sub-26_task-artifact_run-01_eeg,59,covariance_only,ok,1204000,7.849016869936677e-05,-1154.4762474972974,985271.7532399964
physiomotion,sub-27,sub-27_task-artifact_run-01_eeg,59,covariance_only,ok,1218000,7.002649048908759e-05,-1133.9697041827571,2376057.9365178198
physiomotion,sub-29,sub-29_task-artifact_run-01_eeg,59,covariance_only,ok,1161000,0.0001546789300247433,-1098.64486067196,12062577.06965951
physiomotion,sub-30,sub-30_task-artifact_run-01_eeg,59,covariance_only,ok,1170000,9.85579535754195e-05,-1119.2942551682502,1397478.708285477
physiomotion,sub-5,sub-5_task-artifact_run-01_eeg,59,covariance_only,ok,1230000,5.823640972935063e-05,-1210.7026514472832,10153762.781445768
physiomotion,sub-6,sub-6_task-artifact_run-01_eeg,59,covariance_only,ok,1359000,0.018353650920246718,-1155.7103608998075,584753841.900094
physiomotion,sub-8,sub-8_task-artifact_run-01_eeg,59,covariance_only,ok,1152000,0.0001251408494109902,-1103.27959354686,15678258.041330084
physiomotion,sub-9,sub-9_task-artifact_run-01_eeg,59,covariance_only,ok,1168000,4.773181234229733e-05,-1167.4469591703703,389929.9850437497
