dataset,subject,record,channels,kind,status,samples,cov_trace,cov_logdet,cov_condition
shu,sub-001,ses1-3,32,covariance_only,ok,299000,2151.014414464841,18.021361034557792,16683.96909501507
shu,sub-002,ses1-3,32,covariance_only,ok,287000,5565182.077331967,87.1872528631032,10677290.817813542
shu,sub-003,ses1-3,32,covariance_only,ok,284000,1308676.443446523,117.12474681827288,1509183.0235661676
shu,sub-004,ses1-3,32,covariance_only,ok,275000,12100801.516330764,169.37971905370446,10976854.47140329
shu,sub-005,ses1-3,32,covariance_only,ok,287000,11203526.480136892,114.17911767530217,19205704.331651125
shu,sub-006,ses1-3,32,covariance_only,ok,282000,27597.117617976917,94.72392380244024,62570.775055300925
shu,sub-007,ses1-3,32,covariance_only,ok,296000,3151.584107565648,41.878342137696855,54596.172101142176
shu,sub-008,ses1-3,32,covariance_only,ok,283000,62205752.565438196,153.224777485999,77172302.91215141
shu,sub-009,ses1-3,32,covariance_only,ok,298000,2913.494815825346,39.8828320941603,17036.833799927004
shu,sub-010,ses1-3,32,covariance_only,ok,283000,9267.971065310305,50.314022221506264,180802.49172845943
shu,sub-011,ses1-3,32,covariance_only,ok,294000,12017.118378779756,49.63306681037642,211046.13871707913
shu,sub-012,ses1-3,32,covariance_only,ok,288000,291950.0802070362,104.48742021616127,1501114.9903202446
shu,sub-013,ses1-3,32,covariance_only,ok,294000,870.7686715324489,40.121923328890844,2068.916166567064
shu,sub-014,ses1-3,32,covariance_only,ok,287000,905.160415983709,57.70550856574376,443.34135625025243
shu,sub-015,ses1-3,32,covariance_only,ok,280000,4479.8482089956215,80.63267994821413,9245.307645297598
shu,sub-016,ses1-3,32,covariance_only,ok,300000,19738.362890927532,53.9265227759602,77458.19346067727
shu,sub-017,ses1-3,32,covariance_only,ok,298000,1359.461015036043,34.42226522178369,32200.262221491626
shu,sub-018,ses1-3,32,covariance_only,ok,294000,1063.0052809284352,45.78910576211245,18242.494788039858
shu,sub-019,ses1-3,32,covariance_only,ok,284000,2667.182919615447,67.1354053026895,4936.1072274568205
shu,sub-020,ses1-3,32,covariance_only,ok,289000,1551.391246789291,35.43501456482485,6998.551627682055
shu,sub-021,ses1-3,32,covariance_only,ok,286000,528.6390948050024,42.380415692571844,1952.5714605483972
shu,sub-022,ses1-3,32,covariance_only,ok,287000,89.10293875624913,-9.073016457678987,690.6060190911253
shu,sub-023,ses1-3,32,covariance_only,ok,289000,4188.960667572776,73.46350095794564,48192.71399397648
shu,sub-024,ses1-3,32,covariance_only,ok,239000,483.01890542461615,41.215065487435645,741.2727683313316
shu,sub-025,ses1-3,32,covariance_only,ok,274000,635.2897516959797,63.12980059029705,319.59315203501023
