dataset,subject,record,channels,regressors,operator_between_sq,operator_within_sq,operator_norm,episodes,severity_median,severity_p90,kind
mobilebci,sub-02,sub-02|ses-02|ERP,46,2,0.008843481527100511,0.0001562834869380419,1.9714636427632681,4,0.06690982887939514,0.8681676256446647,operator+covariance
mobilebci,sub-02,sub-02|ses-02|SSVEP,46,2,0.009230888331281573,0.0010344695050062576,1.283029984017742,4,0.3427819260972284,11.059668119972102,operator+covariance
mobilebci,sub-02,sub-02|ses-03|ERP,46,2,0.006235913812062115,0.005008366725638035,1.902203694152656,2,0.29022387377688513,0.5145822900365523,operator+covariance
mobilebci,sub-02,sub-02|ses-03|SSVEP,46,2,9.765622858070545,3.572406893721424,30.217821094202545,2,1.1386906613753267,2.0496431904755883,operator+covariance
mobilebci,sub-02,sub-02|ses-04|ERP,46,2,0.04821944202231101,0.00513948909590499,2.4904651135058926,2,0.041468857366414966,0.058024174515078075,operator+covariance
mobilebci,sub-02,sub-02|ses-04|SSVEP,46,2,0.05358261065102584,0.07505105493624367,2.6759144530615933,2,0.07475085574382732,0.13209416244616956,operator+covariance
mobilebci,sub-03,sub-03|ses-02|ERP,46,2,0.01844033397701794,9.891670483608378e-05,0.6561398019426189,4,0.16236109512906496,0.6760914182264124,operator+covariance
mobilebci,sub-03,sub-03|ses-02|SSVEP,46,2,0.023687423334048215,0.00016002133873704158,0.4707029757055961,4,0.11880921193427464,0.48365283804528314,operator+covariance
mobilebci,sub-03,sub-03|ses-03|ERP,46,2,0.004376131749833608,0.0006845336021708766,1.7014319686070525,2,0.053079277424088495,0.0955426993633593,operator+covariance
mobilebci,sub-03,sub-03|ses-03|SSVEP,46,2,0.005956281324798742,0.0005552208990514233,1.5567306740580973,2,0.04147143371398029,0.06562215467180581,operator+covariance
mobilebci,sub-03,sub-03|ses-04|ERP,46,2,0.010097258106935708,0.0007668671591403798,1.5099513890196998,2,1.0487217251824734,1.8623686972543732,operator+covariance
mobilebci,sub-03,sub-03|ses-04|SSVEP,46,2,0.010762934024166337,0.0013609379763983673,1.5100125293033875,2,0.22194890394537165,0.3793434702159514,operator+covariance
mobilebci,sub-05,sub-05|ses-02|ERP,46,2,0.01370787871136371,6.546461177243132e-05,0.9352778764667256,4,0.15073518716348586,0.7232904964766227,operator+covariance
