bootstrap_median_distance,bootstrap_q90_distance,bootstrap_success_rate,calibration_seconds,confirmatory_evidence,failure_reason,guard_seconds,matching_correlation,matching_e_parallel,matching_e_perp,matching_minus_population_correlation,matching_minus_population_e_parallel,matching_minus_population_e_perp,matching_minus_population_rrmse,matching_rrmse,movement_coverage,p0_eligible,partition,population_correlation,population_e_parallel,population_e_perp,population_rrmse,projector_distance,projector_max_angle_degrees,projector_overlap_fraction,query_clean_target_used_for_diagnostic_only,query_seconds,query_start_seconds,records_are_participants,reference_condition,singular_ratio,source_record,status
0.051101413953677434,0.4999375890984385,1.0,5.0,False,,1.0,0.9418273415475225,0.9982689712905435,0.13766580792990488,-0.021497552597105174,0.001752820096139529,0.1112760641929825,0.015400098375183413,0.4913544116477791,0.26015625,True,development,0.9633248941446276,0.996516151194404,0.026389743736922374,0.4759543132725957,0.2145281341247836,17.359348095979207,0.9539776796689388,True,1.0050000000000026,31.0,False,3.30536919749092,0.34696025944871867,31,eligible
0.7001092520338272,0.7068739218539782,1.0,5.0,False,bootstrap_median;bootstrap_q90,1.0,,,,,,,,,0.22734375,False,development,0.9995502535801549,0.70860161213655,0.8741157882841794,0.8736752126132349,,,,True,0.004999999999999005,31.0,False,2.6170929481270337,0.2896199909993322,32,fallback_POP
,,,5.0,False,sim33 cannot support the frozen calibration/guard,1.0,,,,,,,,,,False,development,,,,,,,,True,,,False,,,33,N/A
0.09802572231157251,0.45602318767962624,1.0,5.0,False,,1.0,-0.8162312331356886,4.0188034259939975,4.891438397276951,-1.8067354436751435,3.0432820387525545,4.06205348213186,3.84117760295576,4.706163503439532,0.3953125,True,development,0.9905042105394548,0.9755213872414432,0.8293849151450905,0.8649859004837721,0.7860263632301706,81.04991095276917,0.3821625563071507,True,0.004999999999999005,31.0,False,5.553172133480666,0.3044055925433331,34,eligible
,,,5.0,False,sim35 cannot support the frozen calibration/guard,1.0,,,,,,,,,,False,development,,,,,,,,True,,,False,,,35,N/A
,,,5.0,False,sim36 cannot support the frozen calibration/guard,1.0,,,,,,,,,,False,development,,,,,,,,True,,,False,,,36,N/A
,,,5.0,False,sim44 cannot support the frozen calibration/guard,1.0,,,,,,,,,,False,development,,,,,,,,True,,,False,,,44,N/A
0.05857475291194038,0.8442823440869636,1.0,5.0,False,bootstrap_q90,1.0,,,,,,,,,0.30625,False,development,0.9559083028046343,0.9971549701275719,0.022131667941290453,0.4626819268112419,,,,True,11.005000000000003,31.0,False,7.2063179049493264,0.5005736527038249,45,fallback_POP
0.059348448273968984,0.2785416531280548,1.0,10.0,False,,1.0,0.9504001331575814,1.0089474862776142,0.10043350776360119,-0.012924760987046202,0.01243133508321026,0.07404376402667881,0.013391741085715725,0.4893460543583114,0.282421875,True,development,0.9633248941446276,0.996516151194404,0.026389743736922374,0.4759543132725957,0.18626353898281436,15.021514470413516,0.9653058940455977,True,1.0050000000000026,31.0,False,2.635708916078703,0.3196672467452861,31,eligible
0.2329478587720625,0.5912526267466232,1.0,10.0,False,bootstrap_q90,1.0,,,,,,,,,0.19921875,False,development,0.9995502535801549,0.70860161213655,0.8741157882841794,0.8736752126132349,,,,True,0.004999999999999005,31.0,False,2.2496524582670614,0.4243393823251648,32,fallback_POP
