acquisition_span_seconds,bootstrap_high,bootstrap_low,condition,correct_top1,correct_top3,duration_seconds,effective_samples,effective_seconds,evidence,evidence_status,mean,mean_correct_minus_mean_wrong,mean_correct_rank,mean_risk,median,median_correct_rank,method,metric,panel,participants,participants_seed_rows,rows,sampling_rate_hz,starts,window_count,window_samples
,,,time_shuffled,,,,,,falsification,,,,,0.7531405802572542,,,V26_CALIB_SDEDIT,,,,45,,,,,
0,,,,,,0,0,0.0,exact_duration_v31,V31_exact_duration_contract,0.7618991054991191,,,,0.3075225502252579,,V25_SET_CALIB_DET,paired_risk,paired,,,1080,100,[],0,200
5,,,,,,5,400,4.0,exact_duration_v31,V31_exact_duration_contract,0.7588272760443269,,,,0.3171943128108978,,V25_SET_CALIB_DET,paired_risk,paired,,,1080,100,"[0, 200]",2,200
10,,,,,,10,1000,10.0,exact_duration_v31,V31_exact_duration_contract,0.7529473334951844,,,,0.30697648227214813,,V25_SET_CALIB_DET,paired_risk,paired,,,1080,100,"[0, 200, 400, 600, 800]",5,200
30,,,,,,30,3000,30.0,exact_duration_v31,V31_exact_duration_contract,0.7507301106902391,,,,0.3078151047229767,,V25_SET_CALIB_DET,paired_risk,paired,,,1080,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800]",15,200
120,,,,,,120,12000,120.0,exact_duration_v31,V31_exact_duration_contract,0.7497408374997407,,,,0.3071591556072235,,V25_SET_CALIB_DET,paired_risk,paired,,,1080,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800, 3000, 3200, 3400, 3600, 3800, 4000, 4200, 4400, 4600, 4800, 5000, 5200, 5400, 5600, 5800, 6000, 6200, 6400, 6600, 6800, 7000, 7200, 7400, 7600, 7800, 8000, 8200, 8400, 8600, 8800, 9000, 9200, 9400, 9600, 9800, 10000, 10200, 10400, 10600, 10800, 11000, 11200, 11400, 11600, 11800]",60,200
0,,,,,,0,0,0.0,exact_duration_v31,V31_exact_duration_contract,0.7618991054991191,,,,0.3075225502252579,,V26_CALIB_SDEDIT,paired_risk,paired,,,1080,100,[],0,200
5,,,,,,5,400,4.0,exact_duration_v31,V31_exact_duration_contract,0.7625966376760819,,,,0.32356680929660797,,V26_CALIB_SDEDIT,paired_risk,paired,,,1080,100,"[0, 200]",2,200
10,,,,,,10,1000,10.0,exact_duration_v31,V31_exact_duration_contract,0.7560651851119473,,,,0.3157820701599121,,V26_CALIB_SDEDIT,paired_risk,paired,,,1080,100,"[0, 200, 400, 600, 800]",5,200
30,,,,,,30,3000,30.0,exact_duration_v31,V31_exact_duration_contract,0.7536298019658446,,,,0.3155561834573746,,V26_CALIB_SDEDIT,paired_risk,paired,,,1080,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800]",15,200
120,,,,,,120,12000,120.0,exact_duration_v31,V31_exact_duration_contract,0.7525345845691239,,,,0.3165317624807358,,V26_CALIB_SDEDIT,paired_risk,paired,,,1080,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800, 3000, 3200, 3400, 3600, 3800, 4000, 4200, 4400, 4600, 4800, 5000, 5200, 5400, 5600, 5800, 6000, 6200, 6400, 6600, 6800, 7000, 7200, 7400, 7600, 7800, 8000, 8200, 8400, 8600, 8800, 9000, 9200, 9400, 9600, 9800, 10000, 10200, 10400, 10600, 10800, 11000, 11200, 11400, 11600, 11800]",60,200
0,,,,,,0,0,0.0,exact_duration_v31,V31_exact_duration_contract,0.9316760380904701,,,,0.7622530628106663,,V25_SET_CALIB_DET,natural_remaining_ratio,natural,,,1080,100,[],0,200
5,,,,,,5,400,4.0,exact_duration_v31,V31_exact_duration_contract,0.9188472041944709,,,,0.7348104744613302,,V25_SET_CALIB_DET,natural_remaining_ratio,natural,,,1080,100,"[0, 200]",2,200
10,,,,,,10,1000,10.0,exact_duration_v31,V31_exact_duration_contract,0.9232569624748024,,,,0.744360735744809,,V25_SET_CALIB_DET,natural_remaining_ratio,natural,,,1080,100,"[0, 200, 400, 600, 800]",5,200
30,,,,,,30,3000,30.0,exact_duration_v31,V31_exact_duration_contract,0.9279367332420312,,,,0.7465865642130964,,V25_SET_CALIB_DET,natural_remaining_ratio,natural,,,1080,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800]",15,200
120,,,,,,120,12000,120.0,exact_duration_v31,V31_exact_duration_contract,0.9380852024330676,,,,0.750177582163603,,V25_SET_CALIB_DET,natural_remaining_ratio,natural,,,1080,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800, 3000, 3200, 3400, 3600, 3800, 4000, 4200, 4400, 4600, 4800, 5000, 5200, 5400, 5600, 5800, 6000, 6200, 6400, 6600, 6800, 7000, 7200, 7400, 7600, 7800, 8000, 8200, 8400, 8600, 8800, 9000, 9200, 9400, 9600, 9800, 10000, 10200, 10400, 10600, 10800, 11000, 11200, 11400, 11600, 11800]",60,200
0,,,,,,0,0,0.0,exact_duration_v31,V31_exact_duration_contract,0.9316760380904701,,,,0.7622530628106663,,V26_CALIB_SDEDIT,natural_remaining_ratio,natural,,,1080,100,[],0,200
5,,,,,,5,400,4.0,exact_duration_v31,V31_exact_duration_contract,0.9265399563017093,,,,0.7409105546444676,,V26_CALIB_SDEDIT,natural_remaining_ratio,natural,,,1080,100,"[0, 200]",2,200
10,,,,,,10,1000,10.0,exact_duration_v31,V31_exact_duration_contract,0.9307698521201222,,,,0.749792296693381,,V26_CALIB_SDEDIT,natural_remaining_ratio,natural,,,1080,100,"[0, 200, 400, 600, 800]",5,200
30,,,,,,30,3000,30.0,exact_duration_v31,V31_exact_duration_contract,0.9350789301446161,,,,0.7524299005417546,,V26_CALIB_SDEDIT,natural_remaining_ratio,natural,,,1080,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800]",15,200
120,,,,,,120,12000,120.0,exact_duration_v31,V31_exact_duration_contract,0.9452103825616649,,,,0.7572917510098232,,V26_CALIB_SDEDIT,natural_remaining_ratio,natural,,,1080,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800, 3000, 3200, 3400, 3600, 3800, 4000, 4200, 4400, 4600, 4800, 5000, 5200, 5400, 5600, 5800, 6000, 6200, 6400, 6600, 6800, 7000, 7200, 7400, 7600, 7800, 8000, 8200, 8400, 8600, 8800, 9000, 9200, 9400, 9600, 9800, 10000, 10200, 10400, 10600, 10800, 11000, 11200, 11400, 11600, 11800]",60,200
0,,,,,,0,0,0.0,exact_duration_v31,V31_exact_duration_contract,0.7976408389206461,,,,0.8252009259388389,,V25_SET_CALIB_DET,low_eog_observation_retention,natural,,,1080,100,[],0,200
5,,,,,,5,400,4.0,exact_duration_v31,V31_exact_duration_contract,0.7708060076428974,,,,0.7979512523829465,,V25_SET_CALIB_DET,low_eog_observation_retention,natural,,,1080,100,"[0, 200]",2,200
10,,,,,,10,1000,10.0,exact_duration_v31,V31_exact_duration_contract,0.7776005201774456,,,,0.8102303671896507,,V25_SET_CALIB_DET,low_eog_observation_retention,natural,,,1080,100,"[0, 200, 400, 600, 800]",5,200
30,,,,,,30,3000,30.0,exact_duration_v31,V31_exact_duration_contract,0.7783658867143975,,,,0.8101853376746002,,V25_SET_CALIB_DET,low_eog_observation_retention,natural,,,1080,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800]",15,200
120,,,,,,120,12000,120.0,exact_duration_v31,V31_exact_duration_contract,0.7800690530339647,,,,0.811284072518831,,V25_SET_CALIB_DET,low_eog_observation_retention,natural,,,1080,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800, 3000, 3200, 3400, 3600, 3800, 4000, 4200, 4400, 4600, 4800, 5000, 5200, 5400, 5600, 5800, 6000, 6200, 6400, 6600, 6800, 7000, 7200, 7400, 7600, 7800, 8000, 8200, 8400, 8600, 8800, 9000, 9200, 9400, 9600, 9800, 10000, 10200, 10400, 10600, 10800, 11000, 11200, 11400, 11600, 11800]",60,200
0,,,,,,0,0,0.0,exact_duration_v31,V31_exact_duration_contract,0.7976408389206461,,,,0.8252009259388389,,V26_CALIB_SDEDIT,low_eog_observation_retention,natural,,,1080,100,[],0,200
