K,fold,noise_seed_rule,path,queries,query_auxiliary_reads,sealed_reads,seconds,seed,sha256,slot,target_selected_samples
16,0,37000000+fold*100000+slot*10000+draw*100+chunk_start,/projects/EEG-foundation-model/derived/denoiseNet/taas_waveform_v37t/stochastic/fold_0_slot_0.npz,72,0,0,16.404040813446045,20260828,4fe134ba50f7a6b570dd78d5bdcc4209fe425ab846801365f5f0900af4cb1b61,0,0
16,0,37000000+fold*100000+slot*10000+draw*100+chunk_start,/projects/EEG-foundation-model/derived/denoiseNet/taas_waveform_v37t/stochastic/fold_0_slot_1.npz,72,0,0,14.452209711074829,20260829,c371783badd67d22e1e9402d82658afc577d5ab0f0727e0a45afd14bc2301da2,1,0
16,0,37000000+fold*100000+slot*10000+draw*100+chunk_start,/projects/EEG-foundation-model/derived/denoiseNet/taas_waveform_v37t/stochastic/fold_0_slot_2.npz,72,0,0,16.666271924972534,20260830,40a35d08e46918a538b663df729ba2643017c356c66a112549bdcf6c6ccc9e0b,2,0
16,1,37000000+fold*100000+slot*10000+draw*100+chunk_start,/projects/EEG-foundation-model/derived/denoiseNet/taas_waveform_v37t/stochastic/fold_1_slot_0.npz,72,0,0,16.379427433013916,20260828,723d1bbe443732e88a063f6b83fd3bc48da0894e3e4780e55d5040f98e52a740,0,0
16,1,37000000+fold*100000+slot*10000+draw*100+chunk_start,/projects/EEG-foundation-model/derived/denoiseNet/taas_waveform_v37t/stochastic/fold_1_slot_1.npz,72,0,0,16.154483795166016,20260829,0db7fa437e8ae701b285d316e7eef4cb51c16c2609f813655dacee74fa6af768,1,0
16,1,37000000+fold*100000+slot*10000+draw*100+chunk_start,/projects/EEG-foundation-model/derived/denoiseNet/taas_waveform_v37t/stochastic/fold_1_slot_2.npz,72,0,0,18.322152853012085,20260830,79f2ec3c0a1acb78aba974716558e9a59cb83c94590281ded23431593b627674,2,0
16,2,37000000+fold*100000+slot*10000+draw*100+chunk_start,/projects/EEG-foundation-model/derived/denoiseNet/taas_waveform_v37t/stochastic/fold_2_slot_0.npz,72,0,0,14.54136037826538,20260828,c268d7f98c13082ed409e7e77b053fb50eae76dfdeae0c70fd770bd4cedef5fb,0,0
16,2,37000000+fold*100000+slot*10000+draw*100+chunk_start,/projects/EEG-foundation-model/derived/denoiseNet/taas_waveform_v37t/stochastic/fold_2_slot_1.npz,72,0,0,15.812212228775024,20260829,70c85e673bc9996a7a8dcf74d4ae5b47b68a3df98fc583b5bca99f1845536091,1,0
16,2,37000000+fold*100000+slot*10000+draw*100+chunk_start,/projects/EEG-foundation-model/derived/denoiseNet/taas_waveform_v37t/stochastic/fold_2_slot_2.npz,72,0,0,14.181789875030518,20260830,479b924ee624c68c52399adc496adc26f675b4f515a5971099b4300bcee4e0ff,2,0
16,3,37000000+fold*100000+slot*10000+draw*100+chunk_start,/projects/EEG-foundation-model/derived/denoiseNet/taas_waveform_v37t/stochastic/fold_3_slot_0.npz,72,0,0,13.9048593044281,20260828,d23ba4a4c04881481c0ab2bb906566f5a3accf0d2d4dcf0c06026bbefd0b159d,0,0
16,3,37000000+fold*100000+slot*10000+draw*100+chunk_start,/projects/EEG-foundation-model/derived/denoiseNet/taas_waveform_v37t/stochastic/fold_3_slot_1.npz,72,0,0,16.287909507751465,20260829,b270faa42542bcc63648652776cab8e370f1b339550c26b8ed8b0f67b41a1891,1,0
16,3,37000000+fold*100000+slot*10000+draw*100+chunk_start,/projects/EEG-foundation-model/derived/denoiseNet/taas_waveform_v37t/stochastic/fold_3_slot_2.npz,72,0,0,18.338003158569336,20260830,ebe082bb11efbe15b45175a01c5e8ed4650cf2365cecf91089d6ae20cc279886,2,0
16,4,37000000+fold*100000+slot*10000+draw*100+chunk_start,/projects/EEG-foundation-model/derived/denoiseNet/taas_waveform_v37t/stochastic/fold_4_slot_0.npz,72,0,0,16.539719343185425,20260828,4e8086847995c35e3a07c3d006e90863a064a2f9c91b2b44a0df5f8ca7c1b7cd,0,0
16,4,37000000+fold*100000+slot*10000+draw*100+chunk_start,/projects/EEG-foundation-model/derived/denoiseNet/taas_waveform_v37t/stochastic/fold_4_slot_1.npz,72,0,0,16.295323133468628,20260829,e11bdad25b2accd9ad011bf039bb11782ae0dbd8fdcb9f69d9533894b0194e37,1,0
16,4,37000000+fold*100000+slot*10000+draw*100+chunk_start,/projects/EEG-foundation-model/derived/denoiseNet/taas_waveform_v37t/stochastic/fold_4_slot_2.npz,72,0,0,15.824060916900635,20260830,0c54ffaa34449495e497cef9366281c871e8307f6f605e0add68ec455a52d890,2,0
