correlation,fold,method,participant,rrmse_spectral,rrmse_temporal,slot,summary
0.8025109809305931,0.0,V26_CALIB_SDEDIT_MATCH,sub-02,0.6843140253590213,0.7823760485658163,1.0,single_draw
0.8025124164091216,0.0,V26_CALIB_SDEDIT_MATCH,sub-02,0.6842493944180509,0.7823828850200193,1.0,sample_mean
0.8025126722123886,0.0,V26_CALIB_SDEDIT_MATCH,sub-02,0.6842388005202844,0.7823824462345025,1.0,sample_median
0.8048972137686278,0.0,V26_CALIB_SDEDIT_MATCH,sub-02,0.6786993544083089,0.7759464583812385,1.0,matched_deterministic
0.9116535402006573,0.0,V26_CALIB_SDEDIT_MATCH,sub-03,0.41519491964330274,0.37525602863428914,1.0,single_draw
0.9116470052136315,0.0,V26_CALIB_SDEDIT_MATCH,sub-03,0.4152138647105959,0.37525271844222313,1.0,sample_mean
0.9116472825407982,0.0,V26_CALIB_SDEDIT_MATCH,sub-03,0.41522352676838636,0.3752521639819153,1.0,sample_median
0.9151635575625633,0.0,V26_CALIB_SDEDIT_MATCH,sub-03,0.4074703592341393,0.3601680867529164,1.0,matched_deterministic
0.9196351940433184,0.0,V26_CALIB_SDEDIT_MATCH,sub-05,0.5214316979723259,0.3621009452423702,1.0,single_draw
0.9196279942989349,0.0,V26_CALIB_SDEDIT_MATCH,sub-05,0.5213090371754435,0.36212235293351114,1.0,sample_mean
0.9196273974246449,0.0,V26_CALIB_SDEDIT_MATCH,sub-05,0.5213185644501613,0.3621253818014844,1.0,sample_median
0.9246606197622088,0.0,V26_CALIB_SDEDIT_MATCH,sub-05,0.5197841619762281,0.3481170580489561,1.0,matched_deterministic
0.8039767394463221,0.0,V26_POP_SDEDIT,sub-02,0.677280941253735,0.7853502382317351,1.0,single_draw
0.8039811893055836,0.0,V26_POP_SDEDIT,sub-02,0.6772277048375043,0.7853581004633776,1.0,sample_mean
0.8039807091570563,0.0,V26_POP_SDEDIT,sub-02,0.6772091289361318,0.7853605186553776,1.0,sample_median
0.9092758802904023,0.0,V26_POP_SDEDIT,sub-03,0.41114824285937684,0.3853864519235988,1.0,single_draw
0.9092688270741038,0.0,V26_POP_SDEDIT,sub-03,0.41114126466628576,0.3853993801943337,1.0,sample_mean
0.9092699305878745,0.0,V26_POP_SDEDIT,sub-03,0.41115091254727704,0.38539845042396337,1.0,sample_median
0.9153063106868001,0.0,V26_POP_SDEDIT,sub-05,0.5202394445271542,0.37533724538257546,1.0,single_draw
0.915301779905955,0.0,V26_POP_SDEDIT,sub-05,0.5202236043599745,0.3753603098836417,1.0,sample_mean
0.9153016445537409,0.0,V26_POP_SDEDIT,sub-05,0.5202270254958421,0.37536098247963107,1.0,sample_median
0.8063241510341564,0.0,V27_ENERGY_SDEDIT_L05,sub-02,0.6642191218626169,0.7767453063732117,1.0,single_draw
0.8063239560772976,0.0,V27_ENERGY_SDEDIT_L05,sub-02,0.6641963977987567,0.7767507889754294,1.0,sample_mean
0.8063240572810173,0.0,V27_ENERGY_SDEDIT_L05,sub-02,0.6641922040790733,0.7767508061951958,1.0,sample_median
0.807054415345192,0.0,V27_ENERGY_SDEDIT_L05,sub-02,0.662549633325802,0.7749506735385189,1.0,matched_deterministic
0.9139611687925128,0.0,V27_ENERGY_SDEDIT_L05,sub-03,0.3958668673100571,0.36561007716227323,1.0,single_draw
0.9139580180247625,0.0,V27_ENERGY_SDEDIT_L05,sub-03,0.3958932275418192,0.36561135927008254,1.0,sample_mean
0.9139580701788267,0.0,V27_ENERGY_SDEDIT_L05,sub-03,0.3958980553110855,0.3656111898211141,1.0,sample_median
0.9151393878791066,0.0,V27_ENERGY_SDEDIT_L05,sub-03,0.39316003865355414,0.3598844766642691,1.0,matched_deterministic
0.9217218673891492,0.0,V27_ENERGY_SDEDIT_L05,sub-05,0.5081119894877903,0.35564894540908015,1.0,single_draw
0.9217182613081403,0.0,V27_ENERGY_SDEDIT_L05,sub-05,0.5080769261241787,0.3556599980349549,1.0,sample_mean
0.9217181420988506,0.0,V27_ENERGY_SDEDIT_L05,sub-05,0.5080803903337153,0.35566088477046126,1.0,sample_median
0.9235970849792162,0.0,V27_ENERGY_SDEDIT_L05,sub-05,0.5078293661224759,0.3504351162894939,1.0,matched_deterministic
0.9007099147679076,1.0,V26_CALIB_SDEDIT_MATCH,sub-06,0.39501230511814356,0.45397917843527263,1.0,single_draw
0.9007022972736095,1.0,V26_CALIB_SDEDIT_MATCH,sub-06,0.395044253518184,0.453981966064829,1.0,sample_mean
0.9007011706837349,1.0,V26_CALIB_SDEDIT_MATCH,sub-06,0.3950366367482476,0.4539842899086782,1.0,sample_median
0.9014406950316495,1.0,V26_CALIB_SDEDIT_MATCH,sub-06,0.3888164507225156,0.44933426210708505,1.0,matched_deterministic
0.9368601871861353,1.0,V26_CALIB_SDEDIT_MATCH,sub-07,0.41113071257455486,0.3340183517688678,1.0,single_draw
0.9368589801920785,1.0,V26_CALIB_SDEDIT_MATCH,sub-07,0.41114207460648483,0.3340085417730734,1.0,sample_mean
0.9368593568603197,1.0,V26_CALIB_SDEDIT_MATCH,sub-07,0.41113601593921584,0.33400709335950934,1.0,sample_median
0.9414747224913703,1.0,V26_CALIB_SDEDIT_MATCH,sub-07,0.3923042128121273,0.31672696343674844,1.0,matched_deterministic
0.6093880232785724,1.0,V26_CALIB_SDEDIT_MATCH,sub-09,1.1418275855378142,4.699276658111356,1.0,single_draw
