kind,restoration_validation_mse,step,training_loss
diffusion,0.402864670753479,500,0.06021077185869217
diffusion,0.31481308992952106,1000,0.04385541006922722
diffusion,0.2775176947936416,1500,0.04531935974955559
diffusion,0.26139343846589325,2000,0.025644095614552498
diffusion,0.2536508827470243,2500,0.027609027922153473
diffusion,0.24772550351917744,3000,0.04120011255145073
diffusion,0.24344606464728713,3500,0.029115920886397362
diffusion,0.24216834772378207,4000,0.026981014758348465
diffusion,0.24035109132528304,4500,0.028095385059714317
diffusion,0.23936150753870605,5000,0.03767658770084381
diffusion,0.23935776818543672,5500,0.02902338281273842
diffusion,0.2395048772916198,6000,0.018977053463459015
diffusion,0.23670536493882538,6500,0.029072342440485954
diffusion,0.23750714929774402,7000,0.032492950558662415
diffusion,0.24042377835139633,7500,0.04064737260341644
diffusion,0.23821928072720766,8000,0.03262237459421158
diffusion,0.240333463717252,8500,0.026183299720287323
diffusion,0.23958897367119789,9000,0.0252541471272707
diffusion,0.23874310636892915,9500,0.02258710190653801
diffusion,0.23877039160579444,10000,0.02973531186580658
diffusion,0.23653467735275627,10500,0.029093721881508827
diffusion,0.2405033721588552,11000,0.024836547672748566
diffusion,0.23991195373237134,11500,0.029670480638742447
diffusion,0.23993821935728193,12000,0.02030804567039013
