method,within_H_sample_variance,between_H_variance,conditional_covariance_trace,nearest_training_fiber_distance,duplicate_rate,sample_diversity
Fiber-OneStep,0.0,11.180041631062826,0.0,5.54333082890069,1.0,0.0
Fiber-Stratified-Resample,72.5354495048523,11.058574120203653,72.5354495048523,1.3433521810247554e-07,0.006372170781893004,11.455377740992452
Fiber-SANDiff,52.91367509961128,14.070206562678019,52.91367509961128,6.506387838491606,0.0,9.306925120785207
