attacker,cross_entropy,feature,fold,method,participant,same_different_verification_auroc,seed,subject_recall
linear,1.048602553727586,A_H,0,RAW,1,0.5182643978905832,20260920,0.3715277777777778
linear,1.0517044847938157,A_H,0,RAW,2,0.5355057833103503,20260920,0.4791666666666667
linear,0.9814644296026123,A_H,0,RAW,3,0.5411131598659895,20260920,0.4791666666666667
linear,0.8823916221529932,A_Z,0,RAW,1,0.5698716542767093,20260920,0.7222222222222222
linear,1.3031192432261098,A_Z,0,RAW,2,0.6214209968186639,20260920,0.5833333333333334
linear,1.3070676893100692,A_Z,0,RAW,3,0.5384957448484855,20260920,0.6180555555555556
linear,0.8843549136680674,A_HZ,0,RAW,1,0.5682191433054616,20260920,0.7222222222222222
linear,1.3031374873944672,A_HZ,0,RAW,2,0.6211913509437149,20260920,0.5902777777777778
linear,1.3066937060206896,A_HZ,0,RAW,3,0.5418311321631128,20260920,0.6180555555555556
linear,0.8716603574997013,A_HU,0,RAW,1,0.5703489591083095,20260920,0.7256944444444444
linear,1.3151296754319102,A_HU,0,RAW,2,0.6344125331335168,20260920,0.5763888888888888
linear,1.2897813492259638,A_HU,0,RAW,3,0.5398486090352442,20260920,0.6180555555555556
adaptive_mlp,0.983684778213501,A_H,0,RAW,1,0.5182643978905832,20260920,0.3645833333333333
adaptive_mlp,1.008811593055725,A_H,0,RAW,2,0.5355057833103503,20260920,0.6388888888888888
adaptive_mlp,0.9977043867111206,A_H,0,RAW,3,0.5411131598659895,20260920,0.4548611111111111
adaptive_mlp,0.7182371616363525,A_Z,0,RAW,1,0.5698716542767093,20260920,0.7569444444444444
adaptive_mlp,0.8650281429290771,A_Z,0,RAW,2,0.6214209968186639,20260920,0.6701388888888888
adaptive_mlp,1.1941102743148804,A_Z,0,RAW,3,0.5384957448484855,20260920,0.6076388888888888
adaptive_mlp,0.7423282265663147,A_HZ,0,RAW,1,0.5682191433054616,20260920,0.7534722222222222
adaptive_mlp,0.7813171148300171,A_HZ,0,RAW,2,0.6211913509437149,20260920,0.7013888888888888
adaptive_mlp,1.351266860961914,A_HZ,0,RAW,3,0.5418311321631128,20260920,0.5729166666666666
adaptive_mlp,0.8233149647712708,A_HU,0,RAW,1,0.5703489591083095,20260920,0.7430555555555556
adaptive_mlp,0.6712567210197449,A_HU,0,RAW,2,0.6344125331335168,20260920,0.7673611111111112
adaptive_mlp,1.3310928344726562,A_HU,0,RAW,3,0.5398486090352442,20260920,0.5833333333333334
linear,1.048602553727586,A_H,0,HEAD_ONLY,1,0.5182643978905832,20260920,0.3715277777777778
linear,1.0517044847938157,A_H,0,HEAD_ONLY,2,0.5355057833103503,20260920,0.4791666666666667
linear,0.9814644296026123,A_H,0,HEAD_ONLY,3,0.5411131598659895,20260920,0.4791666666666667
linear,1.0484051517247832,A_Z,0,HEAD_ONLY,1,0.5118742862167118,20260920,0.3715277777777778
linear,1.0516418895352224,A_Z,0,HEAD_ONLY,2,0.5359738411124638,20260920,0.4791666666666667
linear,0.981624710065501,A_Z,0,HEAD_ONLY,3,0.5449877172702589,20260920,0.4791666666666667
linear,1.0483972097903842,A_HZ,0,HEAD_ONLY,1,0.51209017244811,20260920,0.3715277777777778
linear,1.0516760231259201,A_HZ,0,HEAD_ONLY,2,0.5359750757677055,20260920,0.4791666666666667
linear,0.981584191151692,A_HZ,0,HEAD_ONLY,3,0.5449180426185438,20260920,0.4791666666666667
linear,1.4921371238219001,A_HU,0,HEAD_ONLY,1,0.5093407782580885,20260920,0.3611111111111111
linear,1.3513183790753185,A_HU,0,HEAD_ONLY,2,0.501290523391346,20260920,0.3472222222222222
linear,1.2431618665941657,A_HU,0,HEAD_ONLY,3,0.5247880655847202,20260920,0.4409722222222222
adaptive_mlp,0.983684778213501,A_H,0,HEAD_ONLY,1,0.5182643978905832,20260920,0.3645833333333333
adaptive_mlp,1.008811593055725,A_H,0,HEAD_ONLY,2,0.5355057833103503,20260920,0.6388888888888888
adaptive_mlp,0.9977043867111206,A_H,0,HEAD_ONLY,3,0.5411131598659895,20260920,0.4548611111111111
adaptive_mlp,0.9788209199905396,A_Z,0,HEAD_ONLY,1,0.5118742862167118,20260920,0.4236111111111111
adaptive_mlp,1.0328140258789062,A_Z,0,HEAD_ONLY,2,0.5359738411124638,20260920,0.5173611111111112
adaptive_mlp,1.0306800603866577,A_Z,0,HEAD_ONLY,3,0.5449877172702589,20260920,0.3784722222222222
adaptive_mlp,1.0552679300308228,A_HZ,0,HEAD_ONLY,1,0.51209017244811,20260920,0.3194444444444444
adaptive_mlp,1.0176565647125244,A_HZ,0,HEAD_ONLY,2,0.5359750757677055,20260920,0.5972222222222222
adaptive_mlp,0.9101693034172058,A_HZ,0,HEAD_ONLY,3,0.5449180426185438,20260920,0.5277777777777778
adaptive_mlp,1.1519794464111328,A_HU,0,HEAD_ONLY,1,0.5093407782580885,20260920,0.3923611111111111
adaptive_mlp,1.210361123085022,A_HU,0,HEAD_ONLY,2,0.501290523391346,20260920,0.4131944444444444
adaptive_mlp,1.1504673957824707,A_HU,0,HEAD_ONLY,3,0.5247880655847202,20260920,0.3888888888888889
linear,1.048602553727586,A_H,0,LEACE,1,0.5182643978905832,20260920,0.3715277777777778
linear,1.0517044847938157,A_H,0,LEACE,2,0.5355057833103503,20260920,0.4791666666666667
linear,0.9814644296026123,A_H,0,LEACE,3,0.5411131598659895,20260920,0.4791666666666667
linear,0.7984316702209013,A_Z,0,LEACE,1,0.5440758161043038,20260920,0.7118055555555556
linear,1.5825727908030036,A_Z,0,LEACE,2,0.511327282781856,20260920,0.4652777777777778
linear,1.199988973290858,A_Z,0,LEACE,3,0.5341865587307337,20260920,0.6111111111111112
linear,0.7977201950117426,A_HZ,0,LEACE,1,0.5438270185453217,20260920,0.7118055555555556
linear,1.5373265190258634,A_HZ,0,LEACE,2,0.5142006959257736,20260920,0.4930555555555556
linear,1.1459477088291523,A_HZ,0,LEACE,3,0.5377723632113135,20260920,0.625
linear,0.7951937499430158,A_HU,0,LEACE,1,0.5471395285696894,20260920,0.7048611111111112
linear,1.6037825991417956,A_HU,0,LEACE,2,0.5165567885234351,20260920,0.4722222222222222
linear,1.1462977021526242,A_HU,0,LEACE,3,0.535877447873365,20260920,0.6215277777777778
adaptive_mlp,0.983684778213501,A_H,0,LEACE,1,0.5182643978905832,20260920,0.3645833333333333
adaptive_mlp,1.008811593055725,A_H,0,LEACE,2,0.5355057833103503,20260920,0.6388888888888888
adaptive_mlp,0.9977043867111206,A_H,0,LEACE,3,0.5411131598659895,20260920,0.4548611111111111
adaptive_mlp,0.6823096871376038,A_Z,0,LEACE,1,0.5440758161043038,20260920,0.7604166666666666
adaptive_mlp,1.294861912727356,A_Z,0,LEACE,2,0.511327282781856,20260920,0.4895833333333333
adaptive_mlp,1.1034809350967407,A_Z,0,LEACE,3,0.5341865587307337,20260920,0.6111111111111112
adaptive_mlp,0.8133828639984131,A_HZ,0,LEACE,1,0.5438270185453217,20260920,0.7430555555555556
adaptive_mlp,1.7795121669769287,A_HZ,0,LEACE,2,0.5142006959257736,20260920,0.4930555555555556
adaptive_mlp,1.3455506563186646,A_HZ,0,LEACE,3,0.5377723632113135,20260920,0.5902777777777778
adaptive_mlp,0.71894371509552,A_HU,0,LEACE,1,0.5471395285696894,20260920,0.7361111111111112
adaptive_mlp,1.331410527229309,A_HU,0,LEACE,2,0.5165567885234351,20260920,0.5347222222222222
adaptive_mlp,1.1825692653656006,A_HU,0,LEACE,3,0.535877447873365,20260920,0.5798611111111112
linear,1.048602553727586,A_H,0,Fiber-OneStep,1,0.5182643978905832,20260920,0.3715277777777778
linear,1.0517044847938157,A_H,0,Fiber-OneStep,2,0.5355057833103503,20260920,0.4791666666666667
linear,0.9814644296026123,A_H,0,Fiber-OneStep,3,0.5411131598659895,20260920,0.4791666666666667
linear,1.082353938858377,A_Z,0,Fiber-OneStep,1,0.5158509407929444,20260920,0.3055555555555556
linear,0.9638728242562316,A_Z,0,Fiber-OneStep,2,0.5671966671222545,20260920,0.6319444444444444
linear,0.9479209317559429,A_Z,0,Fiber-OneStep,3,0.5533096341522212,20260920,0.5347222222222222
linear,1.082466899105314,A_HZ,0,Fiber-OneStep,1,0.515932585040455,20260920,0.3055555555555556
linear,0.964245144474916,A_HZ,0,Fiber-OneStep,2,0.5667856503923056,20260920,0.6284722222222222
linear,0.9477571335385212,A_HZ,0,Fiber-OneStep,3,0.5529891895515069,20260920,0.5347222222222222
linear,1.0884751934986556,A_HU,0,Fiber-OneStep,1,0.5164641180778722,20260920,0.3263888888888889
