method,attacker,feature,balanced_accuracy,cross_entropy,same_different_verification_auroc
RAW,linear,A_H,0.5472608024691358,0.9092322672495611,0.6058595202857812
RAW,linear,A_Z,0.7417052469135803,0.7965762398139827,0.6308054720431334
RAW,linear,A_HZ,0.7411265432098766,0.7975212378649045,0.6326972971505118
RAW,linear,A_HU,0.738233024691358,0.8088599918504844,0.6343942172772398
RAW,adaptive_mlp,A_H,0.5790895061728394,0.8762688826744847,0.6058595202857812
RAW,adaptive_mlp,A_Z,0.7434413580246914,0.6913638279834696,0.6308054720431334
RAW,adaptive_mlp,A_HZ,0.7393904320987654,0.7292393982220715,0.6326972971505118
RAW,adaptive_mlp,A_HU,0.7366898148148149,0.725365742459852,0.6343942172772398
HEAD_ONLY,linear,A_H,0.5472608024691358,0.9092322672495611,0.6058595202857812
HEAD_ONLY,linear,A_Z,0.5470679012345679,0.9094830334135812,0.599026855953522
HEAD_ONLY,linear,A_HZ,0.5470679012345679,0.9094799360333278,0.5993014079913651
HEAD_ONLY,linear,A_HU,0.48090277777777785,1.2293160640566743,0.5217774557375282
HEAD_ONLY,adaptive_mlp,A_H,0.5790895061728394,0.8762688826744847,0.6058595202857812
HEAD_ONLY,adaptive_mlp,A_Z,0.5574845679012346,0.8932003801742744,0.599026855953522
HEAD_ONLY,adaptive_mlp,A_HZ,0.5576774691358025,0.9108170158838277,0.5993014079913651
HEAD_ONLY,adaptive_mlp,A_HU,0.4791666666666666,1.0760298500330672,0.5217774557375282
LEACE,linear,A_H,0.5472608024691358,0.9092322672495611,0.6058595202857812
LEACE,linear,A_Z,0.6689814814814815,0.940913827463369,0.5779138514256118
LEACE,linear,A_HZ,0.7002314814814814,0.8636255812367128,0.5836783363625988
LEACE,linear,A_HU,0.6884645061728395,0.9095181812278311,0.5751170376571012
LEACE,adaptive_mlp,A_H,0.5790895061728394,0.8762688826744847,0.6058595202857812
LEACE,adaptive_mlp,A_Z,0.6693672839506172,0.8581242876088376,0.5779138514256118
LEACE,adaptive_mlp,A_HZ,0.6830632716049383,0.9290545797880793,0.5836783363625988
LEACE,adaptive_mlp,A_HU,0.6882716049382717,0.9426166860572575,0.5751170376571012
Fiber-OneStep,linear,A_H,0.5472608024691358,0.9092322672495611,0.6058595202857812
Fiber-OneStep,linear,A_Z,0.5570987654320988,0.9070541976725007,0.609673739133008
Fiber-OneStep,linear,A_HZ,0.5570987654320988,0.9069843437547029,0.6099418152804842
Fiber-OneStep,linear,A_HU,0.5576774691358024,0.9157230956289805,0.6125132210250359
Fiber-OneStep,adaptive_mlp,A_H,0.5790895061728394,0.8762688826744847,0.6058595202857812
Fiber-OneStep,adaptive_mlp,A_Z,0.5597993827160493,0.9019559907090753,0.609673739133008
Fiber-OneStep,adaptive_mlp,A_HZ,0.5570987654320988,0.9162187632816123,0.6099418152804842
Fiber-OneStep,adaptive_mlp,A_HU,0.5590277777777778,0.9069441875598105,0.6125132210250359
Fiber-SANDiff,linear,A_H,0.5472608024691358,0.9092322672495611,0.6058595202857812
Fiber-SANDiff,linear,A_Z,0.5262345679012346,0.9884160251703689,0.5792703398647204
Fiber-SANDiff,linear,A_HZ,0.5256558641975309,0.9887114485811335,0.5825204228929869
Fiber-SANDiff,linear,A_HU,0.5237268518518517,0.9913011628237992,0.5706485302540772
Fiber-SANDiff,adaptive_mlp,A_H,0.5790895061728394,0.8762688826744847,0.6058595202857812
Fiber-SANDiff,adaptive_mlp,A_Z,0.5214120370370371,0.9597768134175156,0.5792703398647204
Fiber-SANDiff,adaptive_mlp,A_HZ,0.5353009259259259,0.9598219792714714,0.5825204228929869
Fiber-SANDiff,adaptive_mlp,A_HU,0.51195987654321,0.9793908604778446,0.5706485302540772
Fiber-Stratified-Resample,linear,A_H,0.5472608024691358,0.9092322672495611,0.6058595202857812
Fiber-Stratified-Resample,linear,A_Z,0.4928626543209876,1.1444715924949083,0.5617679859782879
Fiber-Stratified-Resample,linear,A_HZ,0.49382716049382713,1.144951650788507,0.5681021454727949
Fiber-Stratified-Resample,linear,A_HU,0.4928626543209876,1.1439740724825527,0.5391197118955117
Fiber-Stratified-Resample,adaptive_mlp,A_H,0.5790895061728394,0.8762688826744847,0.6058595202857812
Fiber-Stratified-Resample,adaptive_mlp,A_Z,0.49845679012345684,1.1818257463273611,0.5617679859782879
Fiber-Stratified-Resample,adaptive_mlp,A_HZ,0.5036651234567902,1.0338754776063481,0.5681021454727949
Fiber-Stratified-Resample,adaptive_mlp,A_HU,0.47993827160493835,1.1282426560058136,0.5391197118955117
