fold,seed,method,attacker,primary_finite_threat_balanced_accuracy,maximizing_feature,privacy_semantics
0,20260920,RAW,linear,0.6435185185185185,A_HZ,cannot claim below A_H boundary
0,20260920,RAW,adaptive_mlp,0.6782407407407408,A_Z,cannot claim below A_H boundary
0,20260920,HEAD_ONLY,linear,0.44328703703703703,A_H,cannot claim below A_H boundary
0,20260920,HEAD_ONLY,adaptive_mlp,0.4861111111111111,A_H,cannot claim below A_H boundary
0,20260920,LEACE,linear,0.6099537037037037,A_HZ,cannot claim below A_H boundary
0,20260920,LEACE,adaptive_mlp,0.6203703703703703,A_Z,cannot claim below A_H boundary
0,20260920,Fiber-OneStep,linear,0.49074074074074076,A_Z,cannot claim below A_H boundary
0,20260920,Fiber-OneStep,adaptive_mlp,0.49189814814814814,A_HZ,cannot claim below A_H boundary
0,20260920,Fiber-SANDiff,linear,0.44328703703703703,A_H,cannot claim below A_H boundary
0,20260920,Fiber-SANDiff,adaptive_mlp,0.4861111111111111,A_H,cannot claim below A_H boundary
0,20260920,Fiber-Stratified-Resample,linear,0.44328703703703703,A_H,cannot claim below A_H boundary
0,20260920,Fiber-Stratified-Resample,adaptive_mlp,0.4861111111111111,A_H,cannot claim below A_H boundary
0,20260921,RAW,linear,0.7083333333333334,A_Z,cannot claim below A_H boundary
0,20260921,RAW,adaptive_mlp,0.7152777777777778,A_HZ,cannot claim below A_H boundary
0,20260921,HEAD_ONLY,linear,0.4571759259259259,A_H,cannot claim below A_H boundary
0,20260921,HEAD_ONLY,adaptive_mlp,0.5335648148148148,A_H,cannot claim below A_H boundary
0,20260921,LEACE,linear,0.6643518518518517,A_HZ,cannot claim below A_H boundary
0,20260921,LEACE,adaptive_mlp,0.6666666666666666,A_HZ,cannot claim below A_H boundary
0,20260921,Fiber-OneStep,linear,0.47222222222222227,A_Z,cannot claim below A_H boundary
0,20260921,Fiber-OneStep,adaptive_mlp,0.5335648148148148,A_H,cannot claim below A_H boundary
0,20260921,Fiber-SANDiff,linear,0.4571759259259259,A_H,cannot claim below A_H boundary
0,20260921,Fiber-SANDiff,adaptive_mlp,0.5335648148148148,A_H,cannot claim below A_H boundary
0,20260921,Fiber-Stratified-Resample,linear,0.4571759259259259,A_H,cannot claim below A_H boundary
0,20260921,Fiber-Stratified-Resample,adaptive_mlp,0.5335648148148148,A_H,cannot claim below A_H boundary
1,20260920,RAW,linear,0.9074074074074073,A_Z,cannot claim below A_H boundary
1,20260920,RAW,adaptive_mlp,0.8738425925925926,A_Z,cannot claim below A_H boundary
1,20260920,HEAD_ONLY,linear,0.7002314814814815,A_H,cannot claim below A_H boundary
1,20260920,HEAD_ONLY,adaptive_mlp,0.7060185185185185,A_H,cannot claim below A_H boundary
1,20260920,LEACE,linear,0.8761574074074074,A_HZ,cannot claim below A_H boundary
1,20260920,LEACE,adaptive_mlp,0.8356481481481483,A_HZ,cannot claim below A_H boundary
1,20260920,Fiber-OneStep,linear,0.7025462962962963,A_HZ,cannot claim below A_H boundary
1,20260920,Fiber-OneStep,adaptive_mlp,0.7060185185185185,A_H,cannot claim below A_H boundary
1,20260920,Fiber-SANDiff,linear,0.7002314814814815,A_H,cannot claim below A_H boundary
1,20260920,Fiber-SANDiff,adaptive_mlp,0.7060185185185185,A_H,cannot claim below A_H boundary
1,20260920,Fiber-Stratified-Resample,linear,0.7002314814814815,A_H,cannot claim below A_H boundary
1,20260920,Fiber-Stratified-Resample,adaptive_mlp,0.7060185185185185,A_H,cannot claim below A_H boundary
1,20260921,RAW,linear,0.8703703703703703,A_Z,cannot claim below A_H boundary
1,20260921,RAW,adaptive_mlp,0.8807870370370369,A_Z,cannot claim below A_H boundary
1,20260921,HEAD_ONLY,linear,0.7222222222222223,A_H,cannot claim below A_H boundary
1,20260921,HEAD_ONLY,adaptive_mlp,0.7303240740740741,A_H,cannot claim below A_H boundary
1,20260921,LEACE,linear,0.8275462962962963,A_HZ,cannot claim below A_H boundary
1,20260921,LEACE,adaptive_mlp,0.8460648148148149,A_Z,cannot claim below A_H boundary
1,20260921,Fiber-OneStep,linear,0.7222222222222223,A_H,cannot claim below A_H boundary
1,20260921,Fiber-OneStep,adaptive_mlp,0.7303240740740741,A_H,cannot claim below A_H boundary
1,20260921,Fiber-SANDiff,linear,0.7222222222222223,A_H,cannot claim below A_H boundary
1,20260921,Fiber-SANDiff,adaptive_mlp,0.7303240740740741,A_H,cannot claim below A_H boundary
1,20260921,Fiber-Stratified-Resample,linear,0.7222222222222223,A_H,cannot claim below A_H boundary
1,20260921,Fiber-Stratified-Resample,adaptive_mlp,0.7303240740740741,A_H,cannot claim below A_H boundary
2,20260920,RAW,linear,0.7303240740740741,A_Z,cannot claim below A_H boundary
2,20260920,RAW,adaptive_mlp,0.6782407407407408,A_Z,cannot claim below A_H boundary
2,20260920,HEAD_ONLY,linear,0.5115740740740741,A_H,cannot claim below A_H boundary
2,20260920,HEAD_ONLY,adaptive_mlp,0.5543981481481481,A_HZ,cannot claim below A_H boundary
2,20260920,LEACE,linear,0.673611111111111,A_HZ,cannot claim below A_H boundary
2,20260920,LEACE,adaptive_mlp,0.6435185185185185,A_HZ,cannot claim below A_H boundary
2,20260920,Fiber-OneStep,linear,0.5115740740740741,A_H,cannot claim below A_H boundary
2,20260920,Fiber-OneStep,adaptive_mlp,0.5416666666666666,A_H,cannot claim below A_H boundary
2,20260920,Fiber-SANDiff,linear,0.5358796296296297,A_HZ,cannot claim below A_H boundary
2,20260920,Fiber-SANDiff,adaptive_mlp,0.5416666666666666,A_H,cannot claim below A_H boundary
2,20260920,Fiber-Stratified-Resample,linear,0.5115740740740741,A_H,cannot claim below A_H boundary
2,20260920,Fiber-Stratified-Resample,adaptive_mlp,0.5416666666666666,A_H,cannot claim below A_H boundary
2,20260921,RAW,linear,0.5925925925925927,A_Z,cannot claim below A_H boundary
2,20260921,RAW,adaptive_mlp,0.642361111111111,A_Z,cannot claim below A_H boundary
2,20260921,HEAD_ONLY,linear,0.449074074074074,A_H,cannot claim below A_H boundary
2,20260921,HEAD_ONLY,adaptive_mlp,0.47685185185185186,A_H,cannot claim below A_H boundary
2,20260921,LEACE,linear,0.5497685185185185,A_HZ,cannot claim below A_H boundary
2,20260921,LEACE,adaptive_mlp,0.5069444444444445,A_Z,cannot claim below A_H boundary
2,20260921,Fiber-OneStep,linear,0.449074074074074,A_H,cannot claim below A_H boundary
2,20260921,Fiber-OneStep,adaptive_mlp,0.47685185185185186,A_H,cannot claim below A_H boundary
2,20260921,Fiber-SANDiff,linear,0.449074074074074,A_H,cannot claim below A_H boundary
2,20260921,Fiber-SANDiff,adaptive_mlp,0.47685185185185186,A_H,cannot claim below A_H boundary
2,20260921,Fiber-Stratified-Resample,linear,0.449074074074074,A_H,cannot claim below A_H boundary
2,20260921,Fiber-Stratified-Resample,adaptive_mlp,0.47685185185185186,A_H,cannot claim below A_H boundary
