fold,seed,method,attacker,participant,primary_finite_threat_recall,maximizing_feature
0,20260920,RAW,linear,1,0.7222222222222222,A_Z
0,20260920,RAW,linear,2,0.5902777777777778,A_HZ
0,20260920,RAW,linear,3,0.6180555555555556,A_Z
0,20260920,RAW,adaptive_mlp,1,0.7569444444444444,A_Z
0,20260920,RAW,adaptive_mlp,2,0.7013888888888888,A_HZ
0,20260920,RAW,adaptive_mlp,3,0.6076388888888888,A_Z
0,20260920,HEAD_ONLY,linear,1,0.3715277777777778,A_H
0,20260920,HEAD_ONLY,linear,2,0.4791666666666667,A_H
0,20260920,HEAD_ONLY,linear,3,0.4791666666666667,A_H
0,20260920,HEAD_ONLY,adaptive_mlp,1,0.4236111111111111,A_Z
0,20260920,HEAD_ONLY,adaptive_mlp,2,0.6388888888888888,A_H
0,20260920,HEAD_ONLY,adaptive_mlp,3,0.5277777777777778,A_HZ
0,20260920,LEACE,linear,1,0.7118055555555556,A_Z
0,20260920,LEACE,linear,2,0.4930555555555556,A_HZ
0,20260920,LEACE,linear,3,0.625,A_HZ
0,20260920,LEACE,adaptive_mlp,1,0.7604166666666666,A_Z
0,20260920,LEACE,adaptive_mlp,2,0.6388888888888888,A_H
0,20260920,LEACE,adaptive_mlp,3,0.6111111111111112,A_Z
0,20260920,Fiber-OneStep,linear,1,0.3715277777777778,A_H
0,20260920,Fiber-OneStep,linear,2,0.6319444444444444,A_Z
0,20260920,Fiber-OneStep,linear,3,0.5347222222222222,A_Z
0,20260920,Fiber-OneStep,adaptive_mlp,1,0.4236111111111111,A_HZ
0,20260920,Fiber-OneStep,adaptive_mlp,2,0.6388888888888888,A_H
0,20260920,Fiber-OneStep,adaptive_mlp,3,0.5520833333333334,A_Z
0,20260920,Fiber-SANDiff,linear,1,0.4375,A_Z
0,20260920,Fiber-SANDiff,linear,2,0.4791666666666667,A_H
0,20260920,Fiber-SANDiff,linear,3,0.4791666666666667,A_H
0,20260920,Fiber-SANDiff,adaptive_mlp,1,0.3715277777777778,A_HZ
0,20260920,Fiber-SANDiff,adaptive_mlp,2,0.6388888888888888,A_H
0,20260920,Fiber-SANDiff,adaptive_mlp,3,0.4861111111111111,A_HZ
0,20260920,Fiber-Stratified-Resample,linear,1,0.4340277777777778,A_HZ
0,20260920,Fiber-Stratified-Resample,linear,2,0.4791666666666667,A_H
0,20260920,Fiber-Stratified-Resample,linear,3,0.4791666666666667,A_H
0,20260920,Fiber-Stratified-Resample,adaptive_mlp,1,0.3715277777777778,A_Z
0,20260920,Fiber-Stratified-Resample,adaptive_mlp,2,0.6388888888888888,A_H
0,20260920,Fiber-Stratified-Resample,adaptive_mlp,3,0.5034722222222222,A_Z
0,20260921,RAW,linear,1,0.6805555555555556,A_Z
0,20260921,RAW,linear,2,0.7638888888888888,A_Z
0,20260921,RAW,linear,3,0.6805555555555556,A_Z
0,20260921,RAW,adaptive_mlp,1,0.7048611111111112,A_Z
0,20260921,RAW,adaptive_mlp,2,0.7881944444444444,A_H
0,20260921,RAW,adaptive_mlp,3,0.7222222222222222,A_HZ
0,20260921,HEAD_ONLY,linear,1,0.34375,A_H
0,20260921,HEAD_ONLY,linear,2,0.6319444444444444,A_H
0,20260921,HEAD_ONLY,linear,3,0.3958333333333333,A_H
0,20260921,HEAD_ONLY,adaptive_mlp,1,0.4166666666666667,A_HZ
0,20260921,HEAD_ONLY,adaptive_mlp,2,0.7881944444444444,A_H
0,20260921,HEAD_ONLY,adaptive_mlp,3,0.5972222222222222,A_HZ
0,20260921,LEACE,linear,1,0.7013888888888888,A_HZ
0,20260921,LEACE,linear,2,0.6319444444444444,A_H
0,20260921,LEACE,linear,3,0.6736111111111112,A_Z
0,20260921,LEACE,adaptive_mlp,1,0.6736111111111112,A_HZ
0,20260921,LEACE,adaptive_mlp,2,0.7881944444444444,A_H
0,20260921,LEACE,adaptive_mlp,3,0.6770833333333334,A_HZ
0,20260921,Fiber-OneStep,linear,1,0.3784722222222222,A_Z
0,20260921,Fiber-OneStep,linear,2,0.6527777777777778,A_Z
0,20260921,Fiber-OneStep,linear,3,0.3958333333333333,A_H
0,20260921,Fiber-OneStep,adaptive_mlp,1,0.3715277777777778,A_Z
0,20260921,Fiber-OneStep,adaptive_mlp,2,0.7881944444444444,A_H
0,20260921,Fiber-OneStep,adaptive_mlp,3,0.4756944444444444,A_HZ
0,20260921,Fiber-SANDiff,linear,1,0.375,A_Z
0,20260921,Fiber-SANDiff,linear,2,0.6319444444444444,A_H
0,20260921,Fiber-SANDiff,linear,3,0.3993055555555556,A_Z
0,20260921,Fiber-SANDiff,adaptive_mlp,1,0.3819444444444444,A_Z
0,20260921,Fiber-SANDiff,adaptive_mlp,2,0.7881944444444444,A_H
0,20260921,Fiber-SANDiff,adaptive_mlp,3,0.4513888888888889,A_H
0,20260921,Fiber-Stratified-Resample,linear,1,0.3541666666666667,A_HZ
0,20260921,Fiber-Stratified-Resample,linear,2,0.6319444444444444,A_H
0,20260921,Fiber-Stratified-Resample,linear,3,0.4131944444444444,A_HZ
0,20260921,Fiber-Stratified-Resample,adaptive_mlp,1,0.3993055555555556,A_Z
0,20260921,Fiber-Stratified-Resample,adaptive_mlp,2,0.7881944444444444,A_H
0,20260921,Fiber-Stratified-Resample,adaptive_mlp,3,0.4513888888888889,A_H
1,20260920,RAW,linear,4,0.8854166666666666,A_Z
1,20260920,RAW,linear,5,0.9513888888888888,A_Z
1,20260920,RAW,linear,6,0.8854166666666666,A_Z
1,20260920,RAW,adaptive_mlp,4,0.8715277777777778,A_HZ
1,20260920,RAW,adaptive_mlp,5,0.9444444444444444,A_Z
1,20260920,RAW,adaptive_mlp,6,0.8472222222222222,A_HZ
1,20260920,HEAD_ONLY,linear,4,0.6284722222222222,A_H
1,20260920,HEAD_ONLY,linear,5,0.7916666666666666,A_H
1,20260920,HEAD_ONLY,linear,6,0.6805555555555556,A_H
1,20260920,HEAD_ONLY,adaptive_mlp,4,0.6840277777777778,A_H
1,20260920,HEAD_ONLY,adaptive_mlp,5,0.8715277777777778,A_Z
1,20260920,HEAD_ONLY,adaptive_mlp,6,0.6388888888888888,A_Z
1,20260920,LEACE,linear,4,0.8541666666666666,A_HZ
1,20260920,LEACE,linear,5,0.9131944444444444,A_HZ
1,20260920,LEACE,linear,6,0.8611111111111112,A_HZ
