H_recovery_max_abs_error,fixed_head_ba_difference,fixed_head_ece_difference,fold,max_centered_logit_error,max_softmax_probability_error,method,prediction_mismatch_count,seed
6.593566936885509e-08,0.0,9.575640280701236e-11,0,6.593566936885509e-08,1.3257167696956174e-08,HEAD_ONLY,0,20260920
9.907315234869429e-08,0.0,1.3659218200956502e-10,0,9.907315234869429e-08,3.220130773140539e-08,Fiber-OneStep,0,20260920
1.8057805606375155e-07,0.0,1.6919143863702857e-10,0,1.8057805606375155e-07,4.497546318704693e-08,Fiber-SANDiff,0,20260920
1.8838655169162166e-07,0.0,-6.258970008943265e-10,0,1.8838655169162166e-07,4.4400707499558933e-08,Fiber-Stratified-Resample,0,20260920
7.157806880542239e-08,0.0,9.864292715988654e-11,0,7.157806880542239e-08,1.5329927771645657e-08,HEAD_ONLY,0,20260921
1.7616055547620135e-07,0.0,2.477665295153031e-10,0,1.7616055547620135e-07,3.332144404843973e-08,Fiber-OneStep,0,20260921
1.8562830073065584e-07,0.0,4.940619025006754e-10,0,1.8562830073065584e-07,7.702138205001319e-08,Fiber-SANDiff,0,20260921
2.624605403567237e-07,0.0,4.656597329955048e-11,0,2.624605403567237e-07,5.612124259757323e-08,Fiber-Stratified-Resample,0,20260921
6.214440784191311e-08,0.0,-7.974454430126343e-12,1,6.214440784191311e-08,9.48320644234002e-09,HEAD_ONLY,0,20260920
9.541891010655945e-08,0.0,-1.3240847307471881e-10,1,9.541891010655945e-08,2.3931307990832096e-08,Fiber-OneStep,0,20260920
1.1077581252294522e-07,0.0,-1.3797413211946719e-10,1,1.1077581252294522e-07,3.298600914636296e-08,Fiber-SANDiff,0,20260920
1.2580660069261285e-07,0.0,2.839821711120294e-10,1,1.2580660069261285e-07,3.205543852580206e-08,Fiber-Stratified-Resample,0,20260920
8.785466576455292e-08,0.0,1.9003887352653237e-10,1,8.785466576455292e-08,2.1796448423927473e-08,HEAD_ONLY,0,20260921
1.6090948440350417e-07,0.0,5.160442628771023e-10,1,1.6090948440350417e-07,2.363060536136885e-08,Fiber-OneStep,0,20260921
1.838859109426494e-07,0.0,-1.5406459441535958e-10,1,1.838859109426494e-07,5.00625660926346e-08,Fiber-SANDiff,0,20260921
1.9874193668556472e-07,0.0,4.707154110938916e-10,1,1.9874193668556472e-07,5.0763580006218945e-08,Fiber-Stratified-Resample,0,20260921
2.2353435102928643e-08,0.0,-1.7573595356701333e-11,2,2.2353435102928643e-08,6.884620429303823e-09,HEAD_ONLY,0,20260920
3.933801195898923e-08,0.0,-9.772166409405258e-11,2,3.933801195898923e-08,9.514214305283986e-09,Fiber-OneStep,0,20260920
3.497547063080475e-08,0.0,1.617974781931153e-10,2,3.497547063080475e-08,9.752618934655288e-09,Fiber-SANDiff,0,20260920
3.282390936831803e-08,0.0,4.809669329475241e-11,2,3.282390936831803e-08,1.0081217527435626e-08,Fiber-Stratified-Resample,0,20260920
6.257983065083295e-08,0.0,1.548020045483156e-11,2,6.257983065083295e-08,9.645425680382402e-09,HEAD_ONLY,0,20260921
1.4402405579261313e-07,0.0,-1.1650508335847576e-10,2,1.4402405579261313e-07,2.038679280946809e-08,Fiber-OneStep,0,20260921
1.4765299560792755e-07,0.0,-4.0178507743071634e-10,2,1.4765299560792755e-07,4.796175168131356e-08,Fiber-SANDiff,0,20260921
1.5103362394075504e-07,0.0,-3.956023286733057e-10,2,1.5103362394075504e-07,4.305683709571184e-08,Fiber-Stratified-Resample,0,20260921
