method,strength,fixed_head_balanced_accuracy,retrained_head_balanced_accuracy,calibration_error,worst_participant_accuracy,between_participant_variance
RAW,na,0.3586033950617284,0.35455246913580246,0.29655864426613227,0.2615740740740741,0.008801788623113855
HEAD_ONLY,na,0.3586033950617284,0.35648148148148145,0.29655864573210294,0.2615740740740741,0.008801788623113855
LEACE,na,0.355516975308642,0.349729938271605,0.2988012074377894,0.27777777777777773,0.006103180727023319
Fiber-OneStep,strong,0.3586033950617284,0.3591820987654321,0.2965586400809295,0.2615740740740741,0.008801788623113855
Fiber-SANDiff,strong,0.3586033950617284,0.35011574074074076,0.29655865015301075,0.2615740740740741,0.008801788623113855
Fiber-Stratified-Resample,strong,0.3586033950617284,0.3526234567901234,0.29655864032238355,0.2615740740740741,0.008801788623113855
