class_fallback,donor_pool,exact_stratum,fold,global_fallback,queries,seed,set,strata_statistics
0,outer_training_Session_T,1728,0,0,1728,20260920,train,outer_training_only
0,outer_training_Session_T,864,0,0,864,20260920,gallery,outer_training_only
0,outer_training_Session_T,864,0,0,864,20260920,query,outer_training_only
0,outer_training_Session_T,1728,0,0,1728,20260921,train,outer_training_only
0,outer_training_Session_T,864,0,0,864,20260921,gallery,outer_training_only
0,outer_training_Session_T,864,0,0,864,20260921,query,outer_training_only
0,outer_training_Session_T,1728,1,0,1728,20260920,train,outer_training_only
0,outer_training_Session_T,864,1,0,864,20260920,gallery,outer_training_only
0,outer_training_Session_T,864,1,0,864,20260920,query,outer_training_only
0,outer_training_Session_T,1728,1,0,1728,20260921,train,outer_training_only
0,outer_training_Session_T,864,1,0,864,20260921,gallery,outer_training_only
0,outer_training_Session_T,864,1,0,864,20260921,query,outer_training_only
0,outer_training_Session_T,1728,2,0,1728,20260920,train,outer_training_only
0,outer_training_Session_T,864,2,0,864,20260920,gallery,outer_training_only
0,outer_training_Session_T,864,2,0,864,20260920,query,outer_training_only
0,outer_training_Session_T,1728,2,0,1728,20260921,train,outer_training_only
0,outer_training_Session_T,864,2,0,864,20260921,gallery,outer_training_only
0,outer_training_Session_T,864,2,0,864,20260921,query,outer_training_only
