fold,model,path,seed,sha256
0,V34P_EEGNet,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_0_seed_20260920/eegnet_full_pool.pt,20260920,a88a80787af433b827cea70ea518995adc8ab4a534ed10a0c896ec6599339daa
0,V34P_Fiber-OneStep,/home/infres/yinwang/denoiseNet_fiber_sandiff_v34p/results/fiber_sandiff_v34p/runtime/fold_0_seed_20260920/stage_b/Fiber-OneStep.pt,20260920,866d92a73992cf669b142471ab0eb87cd14c62992e7bbebaefce3e7f72e54c2d
0,V34P_Fiber-SANDiff,/home/infres/yinwang/denoiseNet_fiber_sandiff_v34p/results/fiber_sandiff_v34p/runtime/fold_0_seed_20260920/stage_b/Fiber-SANDiff.pt,20260920,ee9a98f825606f71c913de0021d5956d7796259cb6bdf8513baecbce26b5a148
0,V34P_EEGNet,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_0_seed_20260921/eegnet_full_pool.pt,20260921,ddc6f4a71b1b4a8412932e06e5824d478300e7ad3bf1793632c04a40b9b629c3
0,V34P_Fiber-OneStep,/home/infres/yinwang/denoiseNet_fiber_sandiff_v34p/results/fiber_sandiff_v34p/runtime/fold_0_seed_20260921/stage_b/Fiber-OneStep.pt,20260921,01b7a19b14228a9b1c504fcde91f7628c39ab5269bc1dbe87d55a9417295102a
0,V34P_Fiber-SANDiff,/home/infres/yinwang/denoiseNet_fiber_sandiff_v34p/results/fiber_sandiff_v34p/runtime/fold_0_seed_20260921/stage_b/Fiber-SANDiff.pt,20260921,ee2bd0233f77500e4af7188f17d540284220c29d9bd9e49eb15b163e96fb92b7
1,V34P_EEGNet,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_1_seed_20260920/eegnet_full_pool.pt,20260920,5cd1a25c8adb2d3a48e4ba05119a18416bc4151fdc3a75d14e8155168ebc3d3d
1,V34P_Fiber-OneStep,/home/infres/yinwang/denoiseNet_fiber_sandiff_v34p/results/fiber_sandiff_v34p/runtime/fold_1_seed_20260920/stage_b/Fiber-OneStep.pt,20260920,b2bf9baac129665bb3a0201c507d8b98ffc24187488844416e60870a2dd28db2
1,V34P_Fiber-SANDiff,/home/infres/yinwang/denoiseNet_fiber_sandiff_v34p/results/fiber_sandiff_v34p/runtime/fold_1_seed_20260920/stage_b/Fiber-SANDiff.pt,20260920,d83c6be3e22b49efb8839251ee23d98e1459fc187870340b2069cc84f4349240
1,V34P_EEGNet,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_1_seed_20260921/eegnet_full_pool.pt,20260921,d7feabca014442cd5b8b45ff15ec76d720d171379d036237e0da3562e42f5c3d
1,V34P_Fiber-OneStep,/home/infres/yinwang/denoiseNet_fiber_sandiff_v34p/results/fiber_sandiff_v34p/runtime/fold_1_seed_20260921/stage_b/Fiber-OneStep.pt,20260921,6ad31d28773a4c7c9f19a707471cba8876bf601b7cd9925ece8b46dbcfb0d72d
1,V34P_Fiber-SANDiff,/home/infres/yinwang/denoiseNet_fiber_sandiff_v34p/results/fiber_sandiff_v34p/runtime/fold_1_seed_20260921/stage_b/Fiber-SANDiff.pt,20260921,884e3c5577bb70a3652fdcbaf6242be28ab6c82ce503cbab390253784c279a03
2,V34P_EEGNet,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_2_seed_20260920/eegnet_full_pool.pt,20260920,f642645473649dac3847fca0e9c995379a054f1f60ea1324816b771e794888aa
2,V34P_Fiber-OneStep,/home/infres/yinwang/denoiseNet_fiber_sandiff_v34p/results/fiber_sandiff_v34p/runtime/fold_2_seed_20260920/stage_b/Fiber-OneStep.pt,20260920,1bdcf65845f200f1380fd67a69e3a4b871c52cf4eded3b857880bc34bada0fe5
2,V34P_Fiber-SANDiff,/home/infres/yinwang/denoiseNet_fiber_sandiff_v34p/results/fiber_sandiff_v34p/runtime/fold_2_seed_20260920/stage_b/Fiber-SANDiff.pt,20260920,99da0adb969a94b29df7df1b9169f3f78f8107a27af1c23ad3184501f9900c9c
2,V34P_EEGNet,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_2_seed_20260921/eegnet_full_pool.pt,20260921,392643cdc77eafa0fb7c3fd3dd22753b7a14fec27e8de06d7b1ce372a3f41519
2,V34P_Fiber-OneStep,/home/infres/yinwang/denoiseNet_fiber_sandiff_v34p/results/fiber_sandiff_v34p/runtime/fold_2_seed_20260921/stage_b/Fiber-OneStep.pt,20260921,b3a6efe3347b40ac2f9aa09dae25c7270800540d4cc637cd7ba2c75b076d409c
2,V34P_Fiber-SANDiff,/home/infres/yinwang/denoiseNet_fiber_sandiff_v34p/results/fiber_sandiff_v34p/runtime/fold_2_seed_20260921/stage_b/Fiber-SANDiff.pt,20260921,ad1b488c97d66e5030652f0e28a7077c6217960119b5c172bf352147b6df2cff
