correlation_mean,rrmse_mean,snr_db,source_records
0.8453331922783571,0.5343545776956221,-5.0,340
0.8547830001396292,0.5171066102736136,-4.0,340
0.8500601118101793,0.5253394259249463,-3.0,340
0.857254878913655,0.5130836799302522,-2.0,340
0.8591283978784785,0.5105485104462679,-1.0,340
0.8618722543996923,0.5053525528048768,0.0,340
0.8641739529721877,0.5015644029659383,1.0,340
0.8644251337822746,0.5023946043761337,2.0,340
0.8670580806101069,0.4966903036569848,3.0,340
0.864117387287757,0.5021368447033798,4.0,340
0.86607586776509,0.49874044525272704,5.0,340
