fold,participant,view,arm,donor,beta,distance,morphology_distance,topography_distance,dynamics_distance
0,1,primary,WRONG_DONOR,6,0.25,4.867663125197093,12.332417488098145,0.8835318684577942,1.3870400190353394
0,1,primary,WRONG_DONOR,11,0.25,5.1990532875061035,13.253697395324707,0.936327338218689,1.4071351289749146
0,1,primary,POP,,0.25,5.077986101309459,12.832115173339844,0.9578370451927185,1.444006085395813
0,1,primary,MATCH,,0.25,4.524170955022176,11.338481903076172,0.9479995965957642,1.2860313653945923
0,1,primary,WRONG_MEAN,,0.25,5.033358206351599,12.793057441711426,0.9099296033382416,1.397087574005127
0,6,primary,WRONG_DONOR,1,0.25,2.9465200901031494,6.7837395668029785,1.0315974950790405,1.0242232084274292
0,6,primary,WRONG_DONOR,11,0.25,3.2459792693456015,7.709094047546387,1.0398136377334595,0.989030122756958
0,6,primary,POP,,0.25,2.9593000411987305,6.855326175689697,1.0134282112121582,1.009145736694336
0,6,primary,MATCH,,0.25,2.7058270374933877,6.326085567474365,0.8938011527061462,0.8975943922996521
0,6,primary,WRONG_MEAN,,0.25,3.0962496797243757,7.246416807174683,1.03570556640625,1.0066266655921936
0,11,primary,WRONG_DONOR,1,0.25,2.4805222352345786,5.057223796844482,1.119771122932434,1.2645717859268188
0,11,primary,WRONG_DONOR,6,0.25,2.4401522080103555,5.06919002532959,1.0683881044387817,1.1828784942626953
0,11,primary,POP,,0.25,2.91928497950236,6.4247565269470215,1.101979374885559,1.2311190366744995
0,11,primary,MATCH,,0.25,2.703406890233358,5.895542621612549,1.0850493907928467,1.1296286582946777
0,11,primary,WRONG_MEAN,,0.25,2.460337221622467,5.063206911087036,1.094079613685608,1.223725140094757
0,1,prestim,WRONG_DONOR,6,0.0,1.1257702509562175,1.24388587474823,1.061320185661316,1.0721046924591064
0,1,prestim,WRONG_DONOR,11,0.0,1.1257702509562175,1.24388587474823,1.061320185661316,1.0721046924591064
0,1,prestim,POP,,0.0,1.1257702509562175,1.24388587474823,1.061320185661316,1.0721046924591064
0,1,prestim,MATCH,,0.0,1.1257702509562175,1.24388587474823,1.061320185661316,1.0721046924591064
0,1,prestim,WRONG_MEAN,,0.0,1.1257702509562175,1.24388587474823,1.061320185661316,1.0721046924591064
0,6,prestim,WRONG_DONOR,1,0.0,1.265311559041341,1.596435785293579,1.1939607858657837,1.0055381059646606
0,6,prestim,WRONG_DONOR,11,0.0,1.265311559041341,1.596435785293579,1.1939607858657837,1.0055381059646606
0,6,prestim,POP,,0.0,1.265311559041341,1.596435785293579,1.1939607858657837,1.0055381059646606
0,6,prestim,MATCH,,0.0,1.265311559041341,1.596435785293579,1.1939607858657837,1.0055381059646606
0,6,prestim,WRONG_MEAN,,0.0,1.265311559041341,1.596435785293579,1.1939607858657837,1.0055381059646606
0,11,prestim,WRONG_DONOR,1,0.0,1.165984034538269,0.892648458480835,1.3486441373825073,1.2566595077514648
0,11,prestim,WRONG_DONOR,6,0.0,1.165984034538269,0.892648458480835,1.3486441373825073,1.2566595077514648
0,11,prestim,POP,,0.0,1.165984034538269,0.892648458480835,1.3486441373825073,1.2566595077514648
0,11,prestim,MATCH,,0.0,1.165984034538269,0.892648458480835,1.3486441373825073,1.2566595077514648
0,11,prestim,WRONG_MEAN,,0.0,1.165984034538269,0.892648458480835,1.3486441373825073,1.2566595077514648
0,1,hf_art,WRONG_DONOR,6,0.25,1.4161157806714375,2.0693442821502686,1.192459225654602,0.9865438342094421
0,1,hf_art,WRONG_DONOR,11,0.25,1.4262065291404724,2.022343873977661,1.2618887424468994,0.9943869709968567
0,1,hf_art,POP,,0.25,1.4237349033355713,2.0470187664031982,1.2123347520828247,1.011851191520691
0,1,hf_art,MATCH,,0.25,1.4396541913350422,2.078669786453247,1.2268003225326538,1.013492465019226
0,1,hf_art,WRONG_MEAN,,0.25,1.4211611549059548,2.045844078063965,1.2271739840507507,0.9904654026031494
0,6,hf_art,WRONG_DONOR,1,0.25,1.4014313220977783,1.552140235900879,1.5092889070510864,1.1428648233413696
0,6,hf_art,WRONG_DONOR,11,0.25,1.3572795788447063,1.4597856998443604,1.5055320262908936,1.1065210103988647
0,6,hf_art,POP,,0.25,1.3682094017664592,1.468861699104309,1.499474048614502,1.1362924575805664
0,6,hf_art,MATCH,,0.25,1.3939346075057983,1.4886912107467651,1.5384372472763062,1.1546753644943237
0,6,hf_art,WRONG_MEAN,,0.25,1.3793554504712424,1.5059629678726196,1.50741046667099,1.1246929168701172
0,11,hf_art,WRONG_DONOR,1,0.25,1.1825573245684307,0.920245349407196,1.4370156526565552,1.1904109716415405
0,11,hf_art,WRONG_DONOR,6,0.25,1.1266985535621643,0.8361757397651672,1.4183886051177979,1.1255313158035278
0,11,hf_art,POP,,0.25,1.134104351202647,0.7884122729301453,1.4423913955688477,1.1715093851089478
0,11,hf_art,MATCH,,0.25,1.1207875609397888,0.7658913731575012,1.4213398694992065,1.1751314401626587
0,11,hf_art,WRONG_MEAN,,0.25,1.1546279390652976,0.8782105445861816,1.4277021288871765,1.1579711437225342
0,1,label_shuffle,WRONG_DONOR,6,0.0,1.1545624732971191,1.2883211374282837,1.0183539390563965,1.1570123434066772
0,1,label_shuffle,WRONG_DONOR,11,0.0,1.1545624732971191,1.2883211374282837,1.0183539390563965,1.1570123434066772
0,1,label_shuffle,POP,,0.0,1.1545624732971191,1.2883211374282837,1.0183539390563965,1.1570123434066772
0,1,label_shuffle,MATCH,,0.0,1.1545624732971191,1.2883211374282837,1.0183539390563965,1.1570123434066772
0,1,label_shuffle,WRONG_MEAN,,0.0,1.1545624732971191,1.2883211374282837,1.0183539390563965,1.1570123434066772
0,6,label_shuffle,WRONG_DONOR,1,0.0,1.2535858949025471,1.4109247922897339,1.13532555103302,1.2145073413848877
0,6,label_shuffle,WRONG_DONOR,11,0.0,1.2535858949025471,1.4109247922897339,1.13532555103302,1.2145073413848877
0,6,label_shuffle,POP,,0.0,1.2535858949025471,1.4109247922897339,1.13532555103302,1.2145073413848877
0,6,label_shuffle,MATCH,,0.0,1.2535858949025471,1.4109247922897339,1.13532555103302,1.2145073413848877
0,6,label_shuffle,WRONG_MEAN,,0.0,1.2535858949025471,1.4109247922897339,1.13532555103302,1.2145073413848877
0,11,label_shuffle,WRONG_DONOR,1,0.0,1.0228576064109802,0.780504047870636,1.0714542865753174,1.2166144847869873
0,11,label_shuffle,WRONG_DONOR,6,0.0,1.0228576064109802,0.780504047870636,1.0714542865753174,1.2166144847869873
0,11,label_shuffle,POP,,0.0,1.0228576064109802,0.780504047870636,1.0714542865753174,1.2166144847869873
0,11,label_shuffle,MATCH,,0.0,1.0228576064109802,0.780504047870636,1.0714542865753174,1.2166144847869873
0,11,label_shuffle,WRONG_MEAN,,0.0,1.0228576064109802,0.780504047870636,1.0714542865753174,1.2166144847869873
0,1,time_shuffle,WRONG_DONOR,6,0.25,1.2809557914733887,1.5909297466278076,0.9418576955795288,1.3100799322128296
0,1,time_shuffle,WRONG_DONOR,11,0.25,1.3334907293319702,1.57821524143219,1.0237677097320557,1.398489236831665
0,1,time_shuffle,POP,,0.25,1.2704789241154988,1.5808080434799194,0.9436529874801636,1.2869757413864136
0,1,time_shuffle,MATCH,,0.25,1.3547734419504802,1.602845549583435,1.0452642440795898,1.4162105321884155
0,1,time_shuffle,WRONG_MEAN,,0.25,1.3072232604026794,1.5845724940299988,0.9828127026557922,1.3542845845222473
