effective_operator_source,latency_seconds,method_id,network_calls_total,operator_source,partition,peak_memory_mb,seed,source_record,status
population_projector,17.672975528985262,M1_observation_warm_start_sdedit,200,population_projector,development,1533.525390625,20260801,sim36,success
population_projector,17.29153872281313,M1_observation_warm_start_sdedit,200,population_projector,development,1541.650390625,20260802,sim36,success
population_projector,17.205222133547068,M1_observation_warm_start_sdedit,200,population_projector,development,1541.650390625,20260803,sim36,success
population_projector,17.37674454972148,M1_observation_warm_start_sdedit,200,population_projector,development,1541.650390625,20260804,sim36,success
population_projector,16.58016931731254,M1_observation_warm_start_sdedit,200,population_projector,development,1541.650390625,20260805,sim36,success
population_projector,15.410154937766492,M2_final_hard_q_consistency,200,population_projector,development,1541.650390625,20260801,sim36,success
population_projector,15.391095604747534,M2_final_hard_q_consistency,200,population_projector,development,1541.650390625,20260802,sim36,success
population_projector,15.37313124909997,M2_final_hard_q_consistency,200,population_projector,development,1541.650390625,20260803,sim36,success
population_projector,15.338931775651872,M2_final_hard_q_consistency,200,population_projector,development,1541.650390625,20260804,sim36,success
population_projector,15.321584105491638,M2_final_hard_q_consistency,200,population_projector,development,1541.650390625,20260805,sim36,success
population_projector,15.345039926469326,M4_per_step_quadratic_proximal_q_consistency,200,population_projector,development,1541.650390625,20260801,sim36,success
population_projector,15.332076504826546,M4_per_step_quadratic_proximal_q_consistency,200,population_projector,development,1541.650390625,20260802,sim36,success
population_projector,15.357256733812392,M4_per_step_quadratic_proximal_q_consistency,200,population_projector,development,1541.650390625,20260803,sim36,success
population_projector,15.308666476979852,M4_per_step_quadratic_proximal_q_consistency,200,population_projector,development,1541.650390625,20260804,sim36,success
population_projector,15.339985448867083,M4_per_step_quadratic_proximal_q_consistency,200,population_projector,development,1541.650390625,20260805,sim36,success
matching_p0,15.234679894521832,M1_observation_warm_start_sdedit,200,matching_p0,development,1541.650390625,20260801,sim36,success
matching_p0,15.149537784047425,M1_observation_warm_start_sdedit,200,matching_p0,development,1541.650390625,20260802,sim36,success
matching_p0,15.171859597787261,M1_observation_warm_start_sdedit,200,matching_p0,development,1541.650390625,20260803,sim36,success
matching_p0,15.301311141811311,M1_observation_warm_start_sdedit,200,matching_p0,development,1541.650390625,20260804,sim36,success
matching_p0,15.22335157636553,M1_observation_warm_start_sdedit,200,matching_p0,development,1541.650390625,20260805,sim36,success
matching_p0,15.231305100955069,M2_final_hard_q_consistency,200,matching_p0,development,1541.650390625,20260801,sim36,success
matching_p0,15.159404938109219,M2_final_hard_q_consistency,200,matching_p0,development,1541.650390625,20260802,sim36,success
matching_p0,15.263660686090589,M2_final_hard_q_consistency,200,matching_p0,development,1541.650390625,20260803,sim36,success
matching_p0,15.241462437435985,M2_final_hard_q_consistency,200,matching_p0,development,1541.650390625,20260804,sim36,success
matching_p0,15.219134740531445,M2_final_hard_q_consistency,200,matching_p0,development,1541.650390625,20260805,sim36,success
matching_p0,15.207156663760543,M4_per_step_quadratic_proximal_q_consistency,200,matching_p0,development,1541.650390625,20260801,sim36,success
matching_p0,16.72184341121465,M4_per_step_quadratic_proximal_q_consistency,200,matching_p0,development,1541.650390625,20260802,sim36,success
matching_p0,17.568266801536083,M4_per_step_quadratic_proximal_q_consistency,200,matching_p0,development,1541.650390625,20260803,sim36,success
matching_p0,17.51469656638801,M4_per_step_quadratic_proximal_q_consistency,200,matching_p0,development,1541.650390625,20260804,sim36,success
matching_p0,17.496586702764034,M4_per_step_quadratic_proximal_q_consistency,200,matching_p0,development,1541.650390625,20260805,sim36,success
query_derived_oracle_projector,17.1935285422951,M1_observation_warm_start_sdedit,200,query_derived_oracle_projector,development,1541.650390625,20260801,sim36,success
