kind,restoration_validation_mse,step,training_loss
deterministic,0.13057878883555532,500,0.09991838783025742
deterministic,0.12646134821698068,1000,0.13317503035068512
deterministic,0.1310905309394002,1500,0.052061259746551514
deterministic,0.12281837910413743,2000,0.08611039817333221
deterministic,0.12139224484562874,2500,0.0792669802904129
deterministic,0.1259765300899744,3000,0.06354808062314987
deterministic,0.13287509232759476,3500,0.07255660742521286
deterministic,0.1319873057305813,4000,0.05692790448665619
deterministic,0.1278651266358793,4500,0.06093061715364456
deterministic,0.12576610622927548,5000,0.08259081840515137
deterministic,0.12965064086019992,5500,0.058723513036966324
deterministic,0.1320844290778041,6000,0.07477185130119324
deterministic,0.12731699384748935,6500,0.04949137195944786
