recording_key,study,old_builder_eligible,blocked_builder_eligible,adapt_unique_clean,adapt_unique_artifact,validation_unique_clean,validation_unique_artifact
study02/study02_p02,study02,1,1,1,5,3,4
study02/study02_p03,study02,1,1,4,4,4,5
study02/study02_p06,study02,1,1,3,5,2,5
study02/study02_p07,study02,0,0,0,0,0,0
study02/study02_p08,study02,1,1,4,3,3,5
study03/study03_p20,study03,1,1,1,4,5,5
study03/study03_p21,study03,1,1,3,5,3,5
study03/study03_p22,study03,1,1,4,5,4,5
study03/study03_p23,study03,1,1,4,5,3,5
study04/study04_p03,study04,1,1,4,5,4,4
study04/study04_p08,study04,1,1,5,3,5,5
study04/study04_p24,study04,1,1,4,5,3,4
study04/study04_p30,study04,1,1,4,5,4,4
study04/study04_p31,study04,1,1,4,5,1,4
study05/study05_p40,study05,0,0,0,0,0,0
study05/study05_p41,study05,0,0,0,0,0,0
study05/study05_p43,study05,0,0,0,0,0,0
study05/study05_p44,study05,0,0,0,0,0,0
