recording_key,study,strict_support_diversity,G,A,C,I,U_W,U_S,wrong_specificity_available
study02/study02_p02,study02,0,-0.08516891797383626,0.0,-0.11111267407735188,-0.025943756103515625,0.035432557264963783,0.005479017893473308,1
study02/study02_p03,study02,1,-0.14744328459103903,0.0018832584222157796,-0.1448012888431549,0.000758737325668335,-0.023436158895492554,-0.023613860209782917,1
study02/study02_p06,study02,0,-0.08162981271743774,-0.014350612958272299,-0.1702725092569987,-0.07429208358128865,-0.12552444140116373,-0.12829809387524924,1
study02/study02_p07,study02,0,0.0,0.0,0.0,0.0,nan,0.0,0
study02/study02_p08,study02,0,-0.11002301176389058,-0.004908770322799683,-0.11085836092631023,0.004073421160380046,nan,0.025715192159016926,0
study03/study03_p20,study03,0,-0.601145605246226,-0.12922618786493936,-0.6193152864774069,0.11105650663375854,-0.4777003924051921,-0.08511179685592651,1
study03/study03_p21,study03,0,-0.03556872407595316,0.005496025085449219,-0.034554362297058105,-0.004481663306554158,0.25219328204790753,0.027199586232503254,1
study03/study03_p22,study03,1,-0.014791329701741537,-0.014500409364700317,-0.027926971515019734,0.0013647675514221191,0.16211851437886557,0.16226744651794434,1
study03/study03_p23,study03,0,-0.004246075948079427,-0.12165517608324687,-0.12299769123395284,0.0029035607973734536,-0.11018950740496318,-0.020123918851216633,1
study04/study04_p03,study04,1,-0.04274917642275492,0.0,-0.05034326513608297,-0.007594088713328044,-0.012949153780937195,-0.0003433823585510254,1
study04/study04_p08,study04,0,-0.006382554769515991,0.0009889006614685059,-0.006561170021692912,-0.0011675159136454265,0.0016554494698842366,0.06658068299293518,1
study04/study04_p24,study04,0,-0.007040083408355713,0.0,-0.007040083408355713,0.0,0.0036559502283732095,0.008118818203608194,1
study04/study04_p30,study04,1,-0.006311466296513875,-0.036155243714650474,-0.057123164335886635,-0.01465645432472229,0.013597269852956137,0.13400491078694662,1
study04/study04_p31,study04,0,-0.014285723368326822,-0.001123666763305664,-0.014281084140141806,0.001128305991490682,0.009627928336461386,0.3512231409549713,1
study05/study05_p40,study05,0,0.0,0.0,0.0,0.0,nan,0.0,0
study05/study05_p41,study05,0,0.0,0.0,0.0,0.0,nan,0.0,0
study05/study05_p43,study05,0,0.0,0.0,0.0,0.0,nan,0.0,0
study05/study05_p44,study05,0,0.0,0.0,0.0,0.0,nan,0.0,0
