artifact_reconstruction_relative_error,clean_waveform_RRMSE,clean_waveform_correlation,clipping_fraction,dataset,delta_SNR_db,exact_cell,function_evaluations_per_window,latency_seconds_per_window,method,observation_change_ratio,output_input_RMS_ratio,participant_claim,peak_memory_mb,statistical_unit,status,training_seed,unit_id
0.9999999998929755,0.8946235246870498,0.7577200653831089,0.0,klados,9.296010700557468e-10,19ch_native_linked_mastoid_256hz,0,0.0,RAW,2.5996206127298573e-08,0.9999999999838465,False,0.0,source_record,success,20260812,sim37
0.3591144715821551,0.32127225436733897,0.9497402242281019,0.0,klados,8.895341866755187,19ch_native_linked_mastoid_256hz,1,0.11573199945401443,POP,0.6572417259984257,0.7424488541860889,False,43.34033203125,source_record,success,20260812,sim37
0.35568618821207265,0.3182052314148416,0.9514708818045009,0.0030184658244252205,klados,8.978659974875526,19ch_native_linked_mastoid_256hz,2,0.12980600554543675,ONE-STEP-MATCH,0.6532892519527439,0.7412497200737934,False,43.34033203125,source_record,success,20260812,sim37
0.35013536951938595,0.3132393384305599,0.9525650593275153,0.0005513606010936201,klados,9.115280320476396,19ch_native_linked_mastoid_256hz,401,1.1436584143626864,DIFF-POP,0.6547178952538543,0.7401995492115713,False,43.34033203125,source_record,success,20260812,sim37
0.34999374104101777,0.3131126342620326,0.9526312177787463,0.0005513606010936201,klados,9.11879444188897,19ch_native_linked_mastoid_256hz,401,1.2201391591820125,DIFF-MATCH,0.6546409053406661,0.7401671882825493,False,43.34033203125,source_record,success,20260812,sim37
0.3500873366033302,0.31319636705389253,0.9526287488306682,0.0005420155357569456,klados,9.116471965948218,19ch_native_linked_mastoid_256hz,401,1.2161506279993441,DIFF-SHUFFLED,0.6545015924520409,0.7401899279697901,False,43.34033203125,source_record,success,20260812,sim37
1.000000000017382,1.235039329338653,0.6169158701411066,0.0,klados,-1.5097848331233987e-10,19ch_native_linked_mastoid_256hz,0,0.0,RAW,2.5195257349614627e-08,1.000000000089846,False,0.0,source_record,success,20260812,sim38
0.2544604003246638,0.3142686021547553,0.950336235868456,0.0,klados,11.88759587822248,19ch_native_linked_mastoid_256hz,1,0.008207031111750338,POP,0.773480542108242,0.6336955526039766,False,38.54345703125,source_record,success,20260812,sim38
0.25641798346878486,0.3166862943281532,0.9495555701630218,0.0009137426968663931,klados,11.821030390601292,19ch_native_linked_mastoid_256hz,2,0.012918745555604497,ONE-STEP-MATCH,0.7544003351674571,0.630263489816018,False,38.54345703125,source_record,success,20260812,sim38
0.25165565000499385,0.31080462520104796,0.9516498909501462,0.0005939327529631555,klados,11.983866293340315,19ch_native_linked_mastoid_256hz,401,1.3553048885563233,DIFF-POP,0.7601950762902999,0.6328368014867685,False,38.54345703125,source_record,success,20260812,sim38
0.25121615652038015,0.31026183346257136,0.9518079911020548,0.0005825109547004104,klados,11.99904866318647,19ch_native_linked_mastoid_256hz,401,1.350835678222615,DIFF-MATCH,0.7599959843317997,0.632743436688676,False,38.54345703125,source_record,success,20260812,sim38
0.2519455961540284,0.31116272009848966,0.9515454115553634,0.0006053545512259007,klados,11.973864568567086,19ch_native_linked_mastoid_256hz,401,1.3477321783349099,DIFF-SHUFFLED,0.7601076083278062,0.6328859913945666,False,38.54345703125,source_record,success,20260812,sim38
0.9999999998311213,1.2139872989978597,0.644197444059803,0.0,klados,1.4668626173131469e-09,19ch_native_linked_mastoid_256hz,0,0.0,RAW,2.525883434906286e-08,0.9999999998589217,False,0.0,source_record,success,20260812,sim39
0.23854408090599283,0.2895894845198987,0.9598190997163204,0.0,klados,12.44862710603805,19ch_native_linked_mastoid_256hz,1,0.00469949511009165,POP,0.7146700593846147,0.6502697186757848,False,38.54345703125,source_record,success,20260812,sim39
0.2391750634958962,0.2903554893700595,0.9595682637986115,0.0022843568585813046,klados,12.42568204138741,19ch_native_linked_mastoid_256hz,2,0.009494740443187766,ONE-STEP-MATCH,0.7019729644225533,0.6490411274857838,False,38.54345703125,source_record,success,20260812,sim39
0.2375194826392424,0.2883456352372784,0.9601360869019939,0.0006053545512259007,klados,12.486015227671599,19ch_native_linked_mastoid_256hz,401,1.3600589726653805,DIFF-POP,0.7045854055881595,0.6492770379902377,False,38.54345703125,source_record,success,20260812,sim39
0.237484774583217,0.28830350009808353,0.9601436106478356,0.0006053545512259007,klados,12.487284565114962,19ch_native_linked_mastoid_256hz,401,1.361230072442494,DIFF-MATCH,0.7049001409768338,0.6492218021206653,False,38.54345703125,source_record,success,20260812,sim39
0.23754821912946733,0.2883805209714351,0.9601322890392955,0.0006053545512259007,klados,12.484964421725186,19ch_native_linked_mastoid_256hz,401,1.3608033407767328,DIFF-SHUFFLED,0.704191132429069,0.6493665183943667,False,38.54345703125,source_record,success,20260812,sim39
1.000000000083088,1.0412809581555724,0.697866187434576,0.0,klados,-7.216930327537784e-10,19ch_native_linked_mastoid_256hz,0,0.0,RAW,2.5374272585562344e-08,0.9999999999756323,False,0.0,source_record,success,20260812,sim40
0.2297466116070775,0.23923077184733663,0.9720565375325372,0.0,klados,12.775017700791345,19ch_native_linked_mastoid_256hz,1,0.007262759200239088,POP,0.6739792551969147,0.6999800108385061,False,41.146484375,source_record,success,20260812,sim40
0.2274501807183213,0.23683954209135322,0.9727378368205665,0.001469983602873981,klados,12.862274275388934,19ch_native_linked_mastoid_256hz,2,0.011478650900244247,ONE-STEP-MATCH,0.6683227798382883,0.699452377254026,False,41.146484375,source_record,success,20260812,sim40
0.22727210445437576,0.23665411466862266,0.9726965260745698,0.0005756579339504242,klados,12.86907733257481,19ch_native_linked_mastoid_256hz,401,1.2297425708005902,DIFF-POP,0.66744457268059,0.6987922573222369,False,41.146484375,source_record,success,20260812,sim40
0.22732644325507362,0.23671069662707364,0.9726892845220192,0.0005756579339504242,klados,12.867000859473201,19ch_native_linked_mastoid_256hz,401,1.0586368978998508,DIFF-MATCH,0.6675419729020786,0.6988036303306682,False,41.146484375,source_record,success,20260812,sim40
0.2274105920439108,0.23679831915853436,0.9726971359403861,0.0005756579339504242,klados,12.86378622312462,19ch_native_linked_mastoid_256hz,401,1.0785804191007629,DIFF-SHUFFLED,0.6674655818507629,0.6988031327878584,False,41.146484375,source_record,success,20260812,sim40
1.0000000005672254,0.8295341261576039,0.7650207808920013,0.0,klados,-4.9268560697641685e-09,19ch_native_linked_mastoid_256hz,0,0.0,RAW,2.5237222657892268e-08,1.0000000001819425,False,0.0,source_record,success,20260812,sim41
0.4275405091358997,0.35465944244185377,0.9388363144537185,0.0,klados,7.3804545983323155,19ch_native_linked_mastoid_256hz,1,0.004243838399997912,POP,0.6166449113895032,0.7892165881516813,False,41.146484375,source_record,success,20260812,sim41
0.4295317034129086,0.3563112060455055,0.9388307333901785,0.00018503289902582765,klados,7.340095513993752,19ch_native_linked_mastoid_256hz,2,0.008543867099797353,ONE-STEP-MATCH,0.605888993894641,0.7895097299606962,False,41.146484375,source_record,success,20260812,sim41
