conditioning,effect,estimand,exact_cell,route,training_seed,unit_id
structured,1.118240903986921,diffusion_vs_deterministic,19ch_native_linked_mastoid_256hz,R2_FIR_residual,20260811,sim37
structured,0.503028298660718,diffusion_vs_deterministic,19ch_native_linked_mastoid_256hz,R2_FIR_residual,20260812,sim37
structured,1.7111047942684205,diffusion_vs_deterministic,19ch_native_linked_mastoid_256hz,R2_FIR_residual,20260813,sim37
structured,0.15464610832150605,diffusion_vs_deterministic,19ch_native_linked_mastoid_256hz,R2_FIR_residual,20260811,sim38
structured,0.695057295214891,diffusion_vs_deterministic,19ch_native_linked_mastoid_256hz,R2_FIR_residual,20260812,sim38
structured,0.15246245711218798,diffusion_vs_deterministic,19ch_native_linked_mastoid_256hz,R2_FIR_residual,20260813,sim38
structured,2.100632607582056,diffusion_vs_deterministic,19ch_native_linked_mastoid_256hz,R2_FIR_residual,20260811,sim39
structured,0.5698436638529794,diffusion_vs_deterministic,19ch_native_linked_mastoid_256hz,R2_FIR_residual,20260812,sim39
structured,2.015719650461187,diffusion_vs_deterministic,19ch_native_linked_mastoid_256hz,R2_FIR_residual,20260813,sim39
structured,0.5962679707013985,diffusion_vs_deterministic,19ch_native_linked_mastoid_256hz,R2_FIR_residual,20260811,sim40
structured,0.3327352298962838,diffusion_vs_deterministic,19ch_native_linked_mastoid_256hz,R2_FIR_residual,20260812,sim40
structured,0.6792176452683343,diffusion_vs_deterministic,19ch_native_linked_mastoid_256hz,R2_FIR_residual,20260813,sim40
structured,-0.0,diffusion_vs_deterministic,19ch_native_linked_mastoid_256hz,R2_FIR_residual,20260811,sim41
structured,-0.0,diffusion_vs_deterministic,19ch_native_linked_mastoid_256hz,R2_FIR_residual,20260812,sim41
structured,-0.0,diffusion_vs_deterministic,19ch_native_linked_mastoid_256hz,R2_FIR_residual,20260813,sim41
structured,-0.0,diffusion_vs_deterministic,19ch_native_linked_mastoid_256hz,R2_FIR_residual,20260811,sim42
structured,-0.0,diffusion_vs_deterministic,19ch_native_linked_mastoid_256hz,R2_FIR_residual,20260812,sim42
structured,-0.0,diffusion_vs_deterministic,19ch_native_linked_mastoid_256hz,R2_FIR_residual,20260813,sim42
structured,0.833319651973123,diffusion_vs_deterministic,19ch_native_linked_mastoid_256hz,R2_FIR_residual,20260811,sim43
structured,0.8423533605902098,diffusion_vs_deterministic,19ch_native_linked_mastoid_256hz,R2_FIR_residual,20260812,sim43
structured,0.28768839273417157,diffusion_vs_deterministic,19ch_native_linked_mastoid_256hz,R2_FIR_residual,20260813,sim43
structured,1.0657995611833746,diffusion_vs_deterministic,19ch_native_linked_mastoid_256hz,R2_FIR_residual,20260811,sim46
structured,0.7692219748877926,diffusion_vs_deterministic,19ch_native_linked_mastoid_256hz,R2_FIR_residual,20260812,sim46
structured,0.9497667039900133,diffusion_vs_deterministic,19ch_native_linked_mastoid_256hz,R2_FIR_residual,20260813,sim46
structured,0.9064430898224058,diffusion_vs_deterministic,19ch_native_linked_mastoid_256hz,R2_FIR_residual,20260811,sim47
structured,0.8106756226037906,diffusion_vs_deterministic,19ch_native_linked_mastoid_256hz,R2_FIR_residual,20260812,sim47
structured,1.965432350824453,diffusion_vs_deterministic,19ch_native_linked_mastoid_256hz,R2_FIR_residual,20260813,sim47
structured,3.91708249902063,diffusion_vs_deterministic,19ch_native_linked_mastoid_256hz,R2_FIR_residual,20260811,sim48
structured,3.282129573192117,diffusion_vs_deterministic,19ch_native_linked_mastoid_256hz,R2_FIR_residual,20260812,sim48
structured,4.715743336326489,diffusion_vs_deterministic,19ch_native_linked_mastoid_256hz,R2_FIR_residual,20260813,sim48
