conditioning,equal_attenuation_preservation_minus_POP,pareto_AUC,route,training_seed,unit_id
structured,0.0,0.061910213260101224,R2_FIR_residual,20260811,study01/study01_p01
structured,0.0,0.1104150492533002,R2_FIR_residual,20260812,study01/study01_p01
structured,0.0,0.09317210265596829,R2_FIR_residual,20260813,study01/study01_p01
structured,0.0,-0.006395252710124637,R2_FIR_residual,20260811,study01/study01_p02
structured,0.0,-0.004028980885371285,R2_FIR_residual,20260812,study01/study01_p02
structured,0.0,-0.0038867785585220433,R2_FIR_residual,20260813,study01/study01_p02
structured,0.0,0.03826522683908258,R2_FIR_residual,20260811,study01/study01_p03
structured,0.0,0.005478180131309877,R2_FIR_residual,20260812,study01/study01_p03
structured,0.0,0.04039675494746256,R2_FIR_residual,20260813,study01/study01_p03
structured,0.0,0.03558471598835609,R2_FIR_residual,20260811,study01/study01_p04
structured,0.0,0.037168717382143446,R2_FIR_residual,20260812,study01/study01_p04
structured,0.0,0.104395774559298,R2_FIR_residual,20260813,study01/study01_p04
structured,0.0,0.10651354303840538,R2_FIR_residual,20260811,study01/study01_p05
structured,0.0,0.09230023169634485,R2_FIR_residual,20260812,study01/study01_p05
structured,0.0,0.11980617485736933,R2_FIR_residual,20260813,study01/study01_p05
structured,0.0,0.02829556514879547,R2_FIR_residual,20260811,study03/study03_p03
structured,0.0,0.07497716142547553,R2_FIR_residual,20260811,study03/study03_p19
structured,0.0,0.0721014543635207,R2_FIR_residual,20260812,study03/study03_p03
structured,0.0,0.05956110190087738,R2_FIR_residual,20260812,study03/study03_p19
structured,0.0,0.119790682285811,R2_FIR_residual,20260813,study03/study03_p03
structured,0.0,0.08676713853591449,R2_FIR_residual,20260813,study03/study03_p19
structured,0.0,0.03206374030185648,R2_FIR_residual,20260811,study03/study03_p20
structured,0.0,0.050170742357528615,R2_FIR_residual,20260811,study03/study03_p21
structured,0.0,0.044801184871947536,R2_FIR_residual,20260812,study03/study03_p20
structured,0.0,0.11567566111284744,R2_FIR_residual,20260812,study03/study03_p21
structured,0.0,0.04923134256975819,R2_FIR_residual,20260813,study03/study03_p20
structured,0.0,0.05790560349592738,R2_FIR_residual,20260813,study03/study03_p21
structured,0.0,0.10442355802110151,R2_FIR_residual,20260811,study03/study03_p22
structured,0.0,0.08037106636418052,R2_FIR_residual,20260811,study03/study03_p23
structured,0.0,0.06602475884332072,R2_FIR_residual,20260812,study03/study03_p22
structured,0.0,0.07921235665500076,R2_FIR_residual,20260812,study03/study03_p23
structured,0.0,0.11282930957730634,R2_FIR_residual,20260813,study03/study03_p22
structured,0.0,0.07669094636606259,R2_FIR_residual,20260813,study03/study03_p23
structured,0.0,0.1065145472184011,R2_FIR_residual,20260811,study03/study03_p24
structured,0.0,0.07563883022251207,R2_FIR_residual,20260811,study03/study03_p25
structured,0.0,0.08685698153141994,R2_FIR_residual,20260812,study03/study03_p24
structured,0.0,0.07872579568583507,R2_FIR_residual,20260812,study03/study03_p25
structured,0.0,0.13373246852424964,R2_FIR_residual,20260813,study03/study03_p24
structured,0.0,0.14527626105659294,R2_FIR_residual,20260813,study03/study03_p25
structured,0.0,0.19931004824814613,R2_FIR_residual,20260811,study03/study03_p26
structured,0.0,0.10004526133376786,R2_FIR_residual,20260811,study03/study03_p27
structured,0.0,0.13943522890652657,R2_FIR_residual,20260812,study03/study03_p26
structured,0.0,0.0831065456838948,R2_FIR_residual,20260812,study03/study03_p27
structured,0.0,0.16649327910381853,R2_FIR_residual,20260813,study03/study03_p26
structured,0.0,0.09330797264345268,R2_FIR_residual,20260813,study03/study03_p27
structured,0.0,0.16334212968408837,R2_FIR_residual,20260811,study02/study02_p02
structured,0.0,0.1354053824650398,R2_FIR_residual,20260811,study02/study02_p03
structured,0.0,0.2810529913423614,R2_FIR_residual,20260811,study02/study02_p06
structured,0.0,0.12832378848222184,R2_FIR_residual,20260812,study02/study02_p02
structured,0.0,0.12481566677650541,R2_FIR_residual,20260812,study02/study02_p03
structured,0.0,0.28097261563199016,R2_FIR_residual,20260812,study02/study02_p06
structured,0.0,0.16973182795893332,R2_FIR_residual,20260813,study02/study02_p02
structured,0.0,0.17269631599827515,R2_FIR_residual,20260813,study02/study02_p03
structured,0.0,0.3021863398199052,R2_FIR_residual,20260813,study02/study02_p06
structured,0.0,0.23247816445992675,R2_FIR_residual,20260811,study02/study02_p07
structured,0.0,0.330302284081648,R2_FIR_residual,20260811,study02/study02_p08
