FIR_population_residual_norm,calibration_samples,calibration_seconds,dataset,effective_rank,full_C_cosine_distance,full_C_frobenius_distance,layout_id,projector_frobenius_distance,projector_principal_angle_deg,recording_key,rho_legacy,sampling_rate_hz,selected_alpha,singular_1,singular_2,split_half_projector_distance,state_active_quiet_C_distance,study,transfer_column_scale_mean,unified_fold,within_subject_half_distance
1.7112906912370582,6000,30.0,sgeyesub,2,0.14466783125376503,2.6407843734193293,layout_01,0.5910138487815857,23.02047496282687,study01/study01_p01,nan,200.0,1.0,2.3405344923751317,1.3811458437998116,0.5925707221031189,0.7078708554759602,study01,1.9181177739241602,0,0.7271177080853714
6.396293915935635,6000,30.0,sgeyesub,2,0.06135115887662368,3.0380965942393634,layout_01,0.6234352588653564,22.036309418303276,study01/study01_p02,nan,200.0,0.5,6.8273638239288745,1.0139910876916447,0.9365818500518799,1.394838622832448,study01,3.959337462801322,1,3.2600607894067615
3.7924517453160593,6000,30.0,sgeyesub,2,0.2622750249400221,3.4916186236416995,layout_01,0.8579970598220825,36.56351626997345,study01/study01_p03,nan,200.0,0.75,1.298007723726086,0.9352939783766093,0.6096163988113403,1.1605266761002742,study01,1.1291913149198956,2,1.775871242147475
5.766203260277319,6000,30.0,sgeyesub,2,0.09868233843293672,2.260268935233775,layout_01,0.8719943165779114,34.632960422636735,study01/study01_p04,nan,200.0,0.0,2.62743923942678,1.2191981947439798,0.2747463583946228,0.9178059944514385,study01,1.9358628892746688,3,7.2117255314199955
5.773012675322561,6000,30.0,sgeyesub,2,0.008966352795242938,0.6403991791100454,layout_01,0.31844618916511536,11.25803528368787,study01/study01_p05,nan,200.0,0.0,4.56409676616276,1.2194481091165288,0.8348991274833679,0.8227844456276452,study01,2.9287453698824124,4,23.889091688537672
5.177880027105199,6000,30.0,sgeyesub,2,0.24970414694837317,3.8561052411976506,layout_03,0.384843647480011,13.797140051885043,study03/study03_p03,nan,200.0,0.0,4.829512903615752,2.426602297294932,1.1969640254974365,3.2131612086374726,study03,3.7930826562898012,5,12.990669155309053
10.174917838055102,6000,30.0,sgeyesub,2,0.11701384761091405,12.360631464051563,layout_03,0.3125038146972656,9.401412666346259,study03/study03_p19,nan,200.0,0.75,16.341822024629003,4.493720909454383,1.1475666761398315,18.597366979979597,study03,11.727087020289026,5,17.127933510643388
5.612580826498438,6000,30.0,sgeyesub,2,0.017686326561977994,3.1890988459023974,layout_03,0.2702689468860626,9.212965247097344,study03/study03_p20,nan,200.0,0.75,7.61466093937443,2.2528352654460035,0.8009182214736938,1.094955117713948,study03,5.004824188354865,6,1.6628018736291599
7.381403673678868,6000,30.0,sgeyesub,2,0.017390572403391702,2.4063017564465508,layout_03,0.38841912150382996,13.41171158536062,study03/study03_p21,nan,200.0,0.25,6.591968473650942,2.675451025907429,0.8542195558547974,0.8542889284108484,study03,4.778312973784656,6,6.744281360886854
4.439815905972544,6000,30.0,sgeyesub,2,0.02360215787844422,1.1583486858911982,layout_03,0.3489797115325928,12.427988052154257,study03/study03_p22,nan,200.0,0.0,4.5932184687007585,1.7626721323398742,0.820225179195404,1.6001383279419106,study03,3.317916019170598,7,3.1492760759797696
