kind,restoration_validation_mse,step,training_loss
population,0.13769016666337847,500,0.17490477859973907
population,0.13453783141449094,1000,0.11520966142416
population,0.13097797362133862,1500,0.13171011209487915
population,0.12954368079081177,2000,0.09660817682743073
population,0.12840749798342585,2500,0.11809732764959335
population,0.12689613392576576,3000,0.07842075824737549
population,0.12717572366818786,3500,0.10503237694501877
population,0.1283893972635269,4000,0.08117837458848953
population,0.126926947850734,4500,0.10867512226104736
population,0.13273320365697144,5000,0.06605161726474762
population,0.12984838001430035,5500,0.09519520401954651
population,0.1282595724798739,6000,0.08180845528841019
population,0.13198075955733657,6500,0.07757292687892914
population,0.1299816070124507,7000,0.09535449743270874
