# M10 t* sweep (x0+EMA), CC vs clean
t_star,RRMSE_temporal,RRMSE_spectral,CC
full,0.4169,0.4081,0.9009
950,0.4190,0.4118,0.9001
800,0.4201,0.4150,0.8998
600,0.4723,0.5009,0.8792
400,0.7862,1.4022,0.7605
200,1.4591,5.7959,0.5877
