# M10 t* sweep (x0+EMA), CC vs clean
t_star,RRMSE_temporal,RRMSE_spectral,CC
full,0.8098,0.7814,0.6802
950,0.8133,0.7901,0.6804
800,0.8194,0.8103,0.6808
600,0.8384,0.8857,0.6841
400,0.9124,1.2293,0.6878
200,1.1185,2.3213,0.6768
