successful_update,pair_indices,pair_keys
1,15;16;47;140;4;94;40;3,study03/study03_p03:target_t10_1200:source_t2_400;study03/study03_p03:target_t18_0:source_t2_800;study03/study03_p19:target_t16_1200:source_t9_800;study03/study03_p26:target_t5_800:source_t7_800;study03/study03_p03:target_t6_0:source_t21_800;study03/study03_p22:target_t4_0:source_t3_800;study03/study03_p19:target_t8_0:source_t4_1200;study03/study03_p03:target_t3_1200:source_t21_400
2,56;14;42;44;50;78;61;82,study03/study03_p19:target_t20_0:source_t12_1200;study03/study03_p03:target_t10_800:source_t2_0;study03/study03_p19:target_t8_800:source_t7_400;study03/study03_p19:target_t16_0:source_t7_1200;study03/study03_p19:target_t17_800:source_t11_400;study03/study03_p21:target_t3_800:source_t15_1200;study03/study03_p20:target_t6_400:source_t20_0;study03/study03_p21:target_t9_0:source_t18_0
3,33;121;117;131;80;30;32;22,study03/study03_p19:target_t3_400:source_t0_1200;study03/study03_p23:target_t4_1200:source_t3_400;study03/study03_p23:target_t2_1200:source_t1_400;study03/study03_p23:target_t16_400:source_t9_1200;study03/study03_p21:target_t6_0:source_t16_800;study03/study03_p03:target_t25_800:source_t13_0;study03/study03_p19:target_t3_0:source_t0_800;study03/study03_p03:target_t22_800:source_t8_400
4,76;52;142;26;87;135;31;92,study03/study03_p21:target_t3_0:source_t15_400;study03/study03_p19:target_t19_0:source_t11_1200;study03/study03_p26:target_t13_0:source_t8_0;study03/study03_p03:target_t24_800:source_t12_0;study03/study03_p21:target_t17_400:source_t0_800;study03/study03_p26:target_t2_400:source_t1_800;study03/study03_p03:target_t25_1200:source_t13_400;study03/study03_p22:target_t1_800:source_t3_0
5,148;62;147;124;118;114;17;9,study03/study03_p27:target_t16_400:source_t1_400;study03/study03_p20:target_t9_0:source_t20_400;study03/study03_p27:target_t11_400:source_t1_0;study03/study03_p23:target_t5_800:source_t6_0;study03/study03_p23:target_t4_0:source_t1_800;study03/study03_p23:target_t2_0:source_t0_800;study03/study03_p03:target_t18_400:source_t2_1200;study03/study03_p03:target_t9_400:source_t23_1200
6,23;122;66;103;99;63;108;46,study03/study03_p03:target_t22_1200:source_t8_800;study03/study03_p23:target_t5_0:source_t3_800;study03/study03_p20:target_t10_0:source_t21_800;study03/study03_p22:target_t8_400:source_t6_1200;study03/study03_p22:target_t7_400:source_t5_1200;study03/study03_p20:target_t9_400:source_t20_800;study03/study03_p22:target_t12_800:source_t11_0;study03/study03_p19:target_t16_800:source_t9_400
7,55;84;57;116;107;41;113;5,study03/study03_p19:target_t19_1200:source_t12_800;study03/study03_p21:target_t9_800:source_t18_800;study03/study03_p19:target_t20_1200:source_t13_0;study03/study03_p23:target_t2_800:source_t1_0;study03/study03_p22:target_t12_400:source_t9_1200;study03/study03_p19:target_t8_400:source_t7_0;study03/study03_p22:target_t13_1200:source_t14_400;study03/study03_p03:target_t6_400:source_t21_1200
8,95;75;69;48;77;37;11;129,study03/study03_p22:target_t4_400:source_t3_1200;study03/study03_p20:target_t17_400:source_t4_1200;study03/study03_p20:target_t10_1200:source_t0_400;study03/study03_p19:target_t17_0:source_t9_1200;study03/study03_p21:target_t3_400:source_t15_800;study03/study03_p19:target_t6_400:source_t4_0;study03/study03_p03:target_t9_1200:source_t1_400;study03/study03_p23:target_t8_1200:source_t9_400
9,90;123;136;100;18;35;1;149,study03/study03_p22:target_t1_0:source_t2_800;study03/study03_p23:target_t5_400:source_t3_1200;study03/study03_p26:target_t2_800:source_t1_1200;study03/study03_p22:target_t7_800:source_t6_0;study03/study03_p03:target_t18_800:source_t7_400;study03/study03_p19:target_t3_1200:source_t2_0;study03/study03_p03:target_t3_400:source_t20_1200;study03/study03_p27:target_t16_1200:source_t1_800
10,104;60;59;134;138;93;85;0,study03/study03_p22:target_t8_800:source_t9_0;study03/study03_p20:target_t6_0:source_t19_1200;study03/study03_p20:target_t3_1200:source_t19_800;study03/study03_p26:target_t2_0:source_t1_400;study03/study03_p26:target_t5_0:source_t7_0;study03/study03_p22:target_t1_1200:source_t3_400;study03/study03_p21:target_t9_1200:source_t18_1200;study03/study03_p03:target_t3_0:source_t20_800
