participant,condition,identity_margin,auroc,positive_similarity,impostor_median,rank1,tar_at_far5,trials,fold,verifier
1,1,0.36498087644577026,0.935,0.3331572115421295,0.030289677903056145,0.9,0.6,20,0,A
1,2,0.46921077370643616,0.9562499999999999,0.3646414577960968,-0.09682994335889816,1.0,0.8,20,0,A
6,1,-0.013815904036164284,0.45875,0.1291039139032364,0.20548801124095917,0.0,0.05,20,0,A
6,2,0.0070849196054041386,0.49874999999999997,0.12587964534759521,0.1530895233154297,0.0,0.1,20,0,A
11,1,0.4300163686275482,1.0,0.47155705094337463,0.049643374979496,1.0,1.0,19,0,A
11,2,0.3994652032852173,0.9930747922437674,0.3915215730667114,-0.01322925090789795,1.0,0.8947368421052632,19,0,A
1,1,0.36498087644577026,0.935,0.3331572115421295,0.030289677903056145,0.9,0.6,20,0,A
1,2,0.46921077370643616,0.9562499999999999,0.3646414577960968,-0.09682994335889816,1.0,0.8,20,0,A
6,1,-0.013815904036164284,0.45875,0.1291039139032364,0.20548801124095917,0.0,0.05,20,0,A
6,2,0.0070849196054041386,0.49874999999999997,0.12587964534759521,0.1530895233154297,0.0,0.1,20,0,A
11,1,0.4300163686275482,1.0,0.47155705094337463,0.049643374979496,1.0,1.0,19,0,A
11,2,0.3994652032852173,0.9930747922437674,0.3915215730667114,-0.01322925090789795,1.0,0.8947368421052632,19,0,A
1,1,0.36498087644577026,0.935,0.3331572115421295,0.030289677903056145,0.9,0.6,20,0,A
1,2,0.46921077370643616,0.9562499999999999,0.3646414577960968,-0.09682994335889816,1.0,0.8,20,0,A
6,1,-0.013815904036164284,0.45875,0.1291039139032364,0.20548801124095917,0.0,0.05,20,0,A
6,2,0.0070849196054041386,0.49874999999999997,0.12587964534759521,0.1530895233154297,0.0,0.1,20,0,A
11,1,0.4300163686275482,1.0,0.47155705094337463,0.049643374979496,1.0,1.0,19,0,A
11,2,0.3994652032852173,0.9930747922437674,0.3915215730667114,-0.01322925090789795,1.0,0.8947368421052632,19,0,A
1,1,0.36498087644577026,0.935,0.3331572115421295,0.030289677903056145,0.9,0.6,20,0,A
1,2,0.46921077370643616,0.9562499999999999,0.3646414577960968,-0.09682994335889816,1.0,0.8,20,0,A
6,1,-0.013815904036164284,0.45875,0.1291039139032364,0.20548801124095917,0.0,0.05,20,0,A
6,2,0.0070849196054041386,0.49874999999999997,0.12587964534759521,0.1530895233154297,0.0,0.1,20,0,A
11,1,0.4300163686275482,1.0,0.47155705094337463,0.049643374979496,1.0,1.0,19,0,A
11,2,0.3994652032852173,0.9930747922437674,0.3915215730667114,-0.01322925090789795,1.0,0.8947368421052632,19,0,A
1,1,0.36498087644577026,0.935,0.3331572115421295,0.030289677903056145,0.9,0.6,20,0,A
1,2,0.46921077370643616,0.9562499999999999,0.3646414577960968,-0.09682994335889816,1.0,0.8,20,0,A
6,1,-0.013815904036164284,0.45875,0.1291039139032364,0.20548801124095917,0.0,0.05,20,0,A
6,2,0.0070849196054041386,0.49874999999999997,0.12587964534759521,0.1530895233154297,0.0,0.1,20,0,A
11,1,0.4300163686275482,1.0,0.47155705094337463,0.049643374979496,1.0,1.0,19,0,A
11,2,0.3994652032852173,0.9930747922437674,0.3915215730667114,-0.01322925090789795,1.0,0.8947368421052632,19,0,A
1,1,0.36498087644577026,0.935,0.3331572115421295,0.030289677903056145,0.9,0.6,20,0,A
1,2,0.46921077370643616,0.9562499999999999,0.3646414577960968,-0.09682994335889816,1.0,0.8,20,0,A
6,1,-0.013815904036164284,0.45875,0.1291039139032364,0.20548801124095917,0.0,0.05,20,0,A
6,2,0.0070849196054041386,0.49874999999999997,0.12587964534759521,0.1530895233154297,0.0,0.1,20,0,A
