method,attacker,feature,balanced_accuracy,cross_entropy,same_different_verification_auroc
RAW,linear,A_H,0.13240740740740742,2.1914485577099656,0.501636550128615
RAW,linear,A_Z,0.3914814814814815,2.422400150339914,0.5383615525016456
RAW,linear,A_HZ,0.3912962962962963,2.424067047174096,0.5378009467319188
RAW,linear,A_HU,0.390462962962963,2.4378960067134194,0.5403185952561977
RAW,adaptive_mlp,A_H,0.15166666666666667,2.185495790389273,0.501636550128615
RAW,adaptive_mlp,A_Z,0.34981481481481486,2.2620889464474554,0.5383615525016456
RAW,adaptive_mlp,A_HZ,0.3462962962962963,2.2356737906549724,0.5378009467319188
RAW,adaptive_mlp,A_HU,0.34675925925925927,2.2413531590073528,0.5403185952561977
HEAD_ONLY,linear,A_H,0.13240740740740742,2.1914485577099656,0.501636550128615
HEAD_ONLY,linear,A_Z,0.13166666666666668,2.1915137283451585,0.5031634087771248
HEAD_ONLY,linear,A_HZ,0.13166666666666668,2.1915161577657782,0.5030249868068907
HEAD_ONLY,linear,A_HU,0.11231481481481481,4.2373411511648635,0.5009030353708824
HEAD_ONLY,adaptive_mlp,A_H,0.15166666666666667,2.185495790389273,0.501636550128615
HEAD_ONLY,adaptive_mlp,A_Z,0.13814814814814816,2.2031314347908304,0.5031634087771248
HEAD_ONLY,adaptive_mlp,A_HZ,0.14509259259259258,2.18996277573545,0.5030249868068907
HEAD_ONLY,adaptive_mlp,A_HU,0.12509259259259262,2.4606403960521708,0.5009030353708824
LEACE,linear,A_H,0.13240740740740742,2.1914485577099656,0.501636550128615
LEACE,linear,A_Z,0.2427777777777778,2.695742284383875,0.51482345266178
LEACE,linear,A_HZ,0.24444444444444444,2.7116178340294756,0.5147493309889088
LEACE,linear,A_HU,0.2446296296296296,2.7168443503055735,0.5152951744462141
LEACE,adaptive_mlp,A_H,0.15166666666666667,2.185495790389273,0.501636550128615
LEACE,adaptive_mlp,A_Z,0.22805555555555554,2.5860728729749214,0.51482345266178
LEACE,adaptive_mlp,A_HZ,0.2321296296296296,2.624167148845973,0.5147493309889088
LEACE,adaptive_mlp,A_HU,0.23203703703703704,2.411125312604569,0.5152951744462141
Fiber-OneStep,linear,A_H,0.13240740740740742,2.1914485577099656,0.501636550128615
Fiber-OneStep,linear,A_Z,0.14268518518518516,2.225283145321597,0.5094249353300326
Fiber-OneStep,linear,A_HZ,0.14287037037037037,2.225243271475611,0.5093909678590939
Fiber-OneStep,linear,A_HU,0.14407407407407408,2.2273552539515538,0.5098652686713321
Fiber-OneStep,adaptive_mlp,A_H,0.15166666666666667,2.185495790389273,0.501636550128615
Fiber-OneStep,adaptive_mlp,A_Z,0.1351851851851852,2.217335820626806,0.5094249353300326
Fiber-OneStep,adaptive_mlp,A_HZ,0.14537037037037034,2.220917156925939,0.5093909678590939
Fiber-OneStep,adaptive_mlp,A_HU,0.14148148148148149,2.2166780676621762,0.5098652686713321
Fiber-SANDiff,linear,A_H,0.13240740740740742,2.1914485577099656,0.501636550128615
Fiber-SANDiff,linear,A_Z,0.12824074074074074,2.4516201900949834,0.5049686941964592
Fiber-SANDiff,linear,A_HZ,0.1286111111111111,2.4517998245141324,0.5050494548921304
Fiber-SANDiff,linear,A_HU,0.12601851851851853,2.4545561030731604,0.5050003537326679
Fiber-SANDiff,adaptive_mlp,A_H,0.15166666666666667,2.185495790389273,0.501636550128615
Fiber-SANDiff,adaptive_mlp,A_Z,0.12212962962962966,2.396956650297932,0.5049686941964592
Fiber-SANDiff,adaptive_mlp,A_HZ,0.12490740740740743,2.2951804771256574,0.5050494548921304
Fiber-SANDiff,adaptive_mlp,A_HU,0.12972222222222224,2.41895471003648,0.5050003537326679
Fiber-Gaussian,linear,A_H,0.13240740740740742,2.1914485577099656,0.501636550128615
Fiber-Gaussian,linear,A_Z,0.12564814814814818,3.0604093552185048,0.5013975534498285
Fiber-Gaussian,linear,A_HZ,0.125462962962963,3.061038841888975,0.5015824197746291
Fiber-Gaussian,linear,A_HU,0.1240740740740741,3.0628372360107803,0.5012326139440025
Fiber-Gaussian,adaptive_mlp,A_H,0.15166666666666667,2.185495790389273,0.501636550128615
Fiber-Gaussian,adaptive_mlp,A_Z,0.125,2.397285653854203,0.5013975534498285
Fiber-Gaussian,adaptive_mlp,A_HZ,0.12333333333333334,2.3422012075848215,0.5015824197746291
Fiber-Gaussian,adaptive_mlp,A_HU,0.12509259259259262,2.487092988342158,0.5012326139440025
Fiber-Stratified-Resample,linear,A_H,0.13240740740740742,2.1914485577099656,0.501636550128615
Fiber-Stratified-Resample,linear,A_Z,0.11851851851851854,3.0148543484512977,0.5039097287534168
Fiber-Stratified-Resample,linear,A_HZ,0.11824074074074076,3.0154483761156032,0.5040977384034879
Fiber-Stratified-Resample,linear,A_HU,0.11833333333333336,3.0172661650591497,0.5038865316026732
Fiber-Stratified-Resample,adaptive_mlp,A_H,0.15166666666666667,2.185495790389273,0.501636550128615
Fiber-Stratified-Resample,adaptive_mlp,A_Z,0.12481481481481482,2.3447893633229446,0.5039097287534168
Fiber-Stratified-Resample,adaptive_mlp,A_HZ,0.1212037037037037,2.3445399163655547,0.5040977384034879
Fiber-Stratified-Resample,adaptive_mlp,A_HU,0.11379629629629628,2.357709629376709,0.5038865316026732
