CE_A_H,CE_A_HU,attacker,conditional_fiber_leakage,fold,interpretation,method,seed
2.2016298265298957,2.2147942176989814,linear,-0.013164391169085743,0,"finite cross-session closure diagnostic, not CMI",Fiber-OneStep,20260940
2.1891490132189797,2.1989934389867165,adaptive_mlp,-0.009844425767736809,0,"finite cross-session closure diagnostic, not CMI",Fiber-OneStep,20260940
2.2016298265298957,3.078669449236412,linear,-0.8770396227065165,0,"finite cross-session closure diagnostic, not CMI",Fiber-Gaussian,20260940
2.1891490132189797,2.309452792700335,adaptive_mlp,-0.12030377948135529,0,"finite cross-session closure diagnostic, not CMI",Fiber-Gaussian,20260940
2.2016298265298957,3.0048090442716835,linear,-0.8031792177417878,0,"finite cross-session closure diagnostic, not CMI",Fiber-Stratified-Resample,20260940
2.1891490132189797,2.2926007429868394,adaptive_mlp,-0.10345172976785966,0,"finite cross-session closure diagnostic, not CMI",Fiber-Stratified-Resample,20260940
2.2016298265298957,2.442141458378958,linear,-0.2405116318490621,0,"finite cross-session closure diagnostic, not CMI",Fiber-SANDiff,20260940
2.1891490132189797,2.6465446991009585,adaptive_mlp,-0.45739568588197876,0,"finite cross-session closure diagnostic, not CMI",Fiber-SANDiff,20260940
2.2015346266509606,2.2477309337282683,linear,-0.04619630707730771,0,"finite cross-session closure diagnostic, not CMI",Fiber-OneStep,20260941
2.1823633254945793,2.259857169664877,adaptive_mlp,-0.0774938441702977,0,"finite cross-session closure diagnostic, not CMI",Fiber-OneStep,20260941
2.2015346266509606,3.217237025817376,linear,-1.0157023991664156,0,"finite cross-session closure diagnostic, not CMI",Fiber-Gaussian,20260941
2.1823633254945793,3.1421971085381264,adaptive_mlp,-0.959833783043547,0,"finite cross-session closure diagnostic, not CMI",Fiber-Gaussian,20260941
2.2015346266509606,3.22379041990087,linear,-1.0222557932499092,0,"finite cross-session closure diagnostic, not CMI",Fiber-Stratified-Resample,20260941
2.1823633254945793,2.2866063451951066,adaptive_mlp,-0.1042430197005273,0,"finite cross-session closure diagnostic, not CMI",Fiber-Stratified-Resample,20260941
2.2015346266509606,2.4794149901793743,linear,-0.2778803635284137,0,"finite cross-session closure diagnostic, not CMI",Fiber-SANDiff,20260941
2.1823633254945793,2.335103170679679,adaptive_mlp,-0.15273984518509964,0,"finite cross-session closure diagnostic, not CMI",Fiber-SANDiff,20260941
2.173710859995616,2.293476926800846,linear,-0.11976606680523005,1,"finite cross-session closure diagnostic, not CMI",Fiber-OneStep,20260940
2.1937047000239316,2.2686004748435393,adaptive_mlp,-0.07489577481960774,1,"finite cross-session closure diagnostic, not CMI",Fiber-OneStep,20260940
2.173710859995616,2.959782405653367,linear,-0.7860715456577512,1,"finite cross-session closure diagnostic, not CMI",Fiber-Gaussian,20260940
2.1937047000239316,3.129985642453445,adaptive_mlp,-0.9362809424295135,1,"finite cross-session closure diagnostic, not CMI",Fiber-Gaussian,20260940
2.173710859995616,3.04247341292509,linear,-0.868762552929474,1,"finite cross-session closure diagnostic, not CMI",Fiber-Stratified-Resample,20260940
2.1937047000239316,2.823634376969754,adaptive_mlp,-0.6299296769458222,1,"finite cross-session closure diagnostic, not CMI",Fiber-Stratified-Resample,20260940
2.173710859995616,2.451413730795937,linear,-0.2777028708003213,1,"finite cross-session closure diagnostic, not CMI",Fiber-SANDiff,20260940
2.1937047000239316,2.3149588246971216,adaptive_mlp,-0.12125412467318997,1,"finite cross-session closure diagnostic, not CMI",Fiber-SANDiff,20260940
2.1812578297103897,2.250949961659584,linear,-0.0696921319491941,1,"finite cross-session closure diagnostic, not CMI",Fiber-OneStep,20260941
2.1945024695028725,2.2508516982912488,adaptive_mlp,-0.05634922878837623,1,"finite cross-session closure diagnostic, not CMI",Fiber-OneStep,20260941
2.1812578297103897,3.2512849650419127,linear,-1.070027135331523,1,"finite cross-session closure diagnostic, not CMI",Fiber-Gaussian,20260941
2.1945024695028725,2.2574587856228123,adaptive_mlp,-0.06295631611993979,1,"finite cross-session closure diagnostic, not CMI",Fiber-Gaussian,20260941
2.1812578297103897,3.1644430814230406,linear,-0.9831852517126509,1,"finite cross-session closure diagnostic, not CMI",Fiber-Stratified-Resample,20260941
2.1945024695028725,2.2604289790063348,adaptive_mlp,-0.06592650950346224,1,"finite cross-session closure diagnostic, not CMI",Fiber-Stratified-Resample,20260941
2.1812578297103897,2.498840581124247,linear,-0.31758275141385717,1,"finite cross-session closure diagnostic, not CMI",Fiber-SANDiff,20260941
2.1945024695028725,2.2663145351292253,adaptive_mlp,-0.07181206562635278,1,"finite cross-session closure diagnostic, not CMI",Fiber-SANDiff,20260941
2.2022335562085615,2.167852791646855,linear,0.03438076456170647,2,"finite cross-session closure diagnostic, not CMI",Fiber-OneStep,20260940
2.171184572270879,2.1682249947110326,adaptive_mlp,0.002959577559846327,2,"finite cross-session closure diagnostic, not CMI",Fiber-OneStep,20260940
2.2022335562085615,2.9515709387767255,linear,-0.749337382568164,2,"finite cross-session closure diagnostic, not CMI",Fiber-Gaussian,20260940
2.171184572270879,2.3077429427224283,adaptive_mlp,-0.1365583704515494,2,"finite cross-session closure diagnostic, not CMI",Fiber-Gaussian,20260940
2.2022335562085615,2.859851180604495,linear,-0.6576176243959333,2,"finite cross-session closure diagnostic, not CMI",Fiber-Stratified-Resample,20260940
2.171184572270879,2.324722852562033,adaptive_mlp,-0.15353828029115402,2,"finite cross-session closure diagnostic, not CMI",Fiber-Stratified-Resample,20260940
2.2022335562085615,2.3669632319234117,linear,-0.1647296757148502,2,"finite cross-session closure diagnostic, not CMI",Fiber-SANDiff,20260940
2.171184572270879,2.337172855449738,adaptive_mlp,-0.16598828317885905,2,"finite cross-session closure diagnostic, not CMI",Fiber-SANDiff,20260940
2.198668749045351,2.1403581523798616,linear,0.058310596665489545,2,"finite cross-session closure diagnostic, not CMI",Fiber-OneStep,20260941
2.1425569055015807,2.1533272914295423,adaptive_mlp,-0.010770385927961534,2,"finite cross-session closure diagnostic, not CMI",Fiber-OneStep,20260941
2.198668749045351,3.035210153042325,linear,-0.8365414039969741,2,"finite cross-session closure diagnostic, not CMI",Fiber-Gaussian,20260941
2.1425569055015807,2.6278134980716996,adaptive_mlp,-0.4852565925701189,2,"finite cross-session closure diagnostic, not CMI",Fiber-Gaussian,20260941
2.198668749045351,3.0240516874482277,linear,-0.8253829384028766,2,"finite cross-session closure diagnostic, not CMI",Fiber-Stratified-Resample,20260941
2.1425569055015807,2.2585587127450526,adaptive_mlp,-0.11600180724347187,2,"finite cross-session closure diagnostic, not CMI",Fiber-Stratified-Resample,20260941
2.198668749045351,2.4414799779437617,linear,-0.24281122889841056,2,"finite cross-session closure diagnostic, not CMI",Fiber-SANDiff,20260941
2.1425569055015807,3.0660012489218116,adaptive_mlp,-0.9234443434202309,2,"finite cross-session closure diagnostic, not CMI",Fiber-SANDiff,20260941
2.202946955910023,2.2789182973401156,linear,-0.07597134143009265,3,"finite cross-session closure diagnostic, not CMI",Fiber-OneStep,20260940
2.195488882859121,2.228475320820444,adaptive_mlp,-0.032986437961322945,3,"finite cross-session closure diagnostic, not CMI",Fiber-OneStep,20260940
2.202946955910023,2.946470901165569,linear,-0.743523945255546,3,"finite cross-session closure diagnostic, not CMI",Fiber-Gaussian,20260940
2.195488882859121,2.2719473023601817,adaptive_mlp,-0.07645841950106069,3,"finite cross-session closure diagnostic, not CMI",Fiber-Gaussian,20260940
2.202946955910023,3.047175308255364,linear,-0.8442283523453411,3,"finite cross-session closure diagnostic, not CMI",Fiber-Stratified-Resample,20260940
2.195488882859121,2.4561137864628733,adaptive_mlp,-0.26062490360375223,3,"finite cross-session closure diagnostic, not CMI",Fiber-Stratified-Resample,20260940
2.202946955910023,2.442878841381479,linear,-0.23993188547145605,3,"finite cross-session closure diagnostic, not CMI",Fiber-SANDiff,20260940
2.195488882859121,2.4209607413725593,adaptive_mlp,-0.22547185851343832,3,"finite cross-session closure diagnostic, not CMI",Fiber-SANDiff,20260940
2.200823241123318,2.2185835497707127,linear,-0.01776030864739475,3,"finite cross-session closure diagnostic, not CMI",Fiber-OneStep,20260941
2.1660835122057436,2.1848541983144982,adaptive_mlp,-0.018770686108754653,3,"finite cross-session closure diagnostic, not CMI",Fiber-OneStep,20260941
2.200823241123318,3.0755467115495043,linear,-0.8747234704261864,3,"finite cross-session closure diagnostic, not CMI",Fiber-Gaussian,20260941
2.1660835122057436,2.3770077296835694,adaptive_mlp,-0.21092421747782586,3,"finite cross-session closure diagnostic, not CMI",Fiber-Gaussian,20260941
2.200823241123318,3.0571997425279998,linear,-0.8563765014046818,3,"finite cross-session closure diagnostic, not CMI",Fiber-Stratified-Resample,20260941
2.1660835122057436,2.467822527582096,adaptive_mlp,-0.3017390153763526,3,"finite cross-session closure diagnostic, not CMI",Fiber-Stratified-Resample,20260941
2.200823241123318,2.508520633991046,linear,-0.30769739286772824,3,"finite cross-session closure diagnostic, not CMI",Fiber-SANDiff,20260941
2.1660835122057436,2.3069700913454088,adaptive_mlp,-0.14088657913966518,3,"finite cross-session closure diagnostic, not CMI",Fiber-SANDiff,20260941
2.1795086554559786,2.202770543992557,linear,-0.02326188853657829,4,"finite cross-session closure diagnostic, not CMI",Fiber-OneStep,20260940
