H_recovery_max_abs_error,fixed_head_ba_difference,fixed_head_ece_difference,fold,max_centered_logit_error,max_softmax_probability_error,method,prediction_mismatch_count,seed
7.821404324204195e-08,0.0,1.6294660065696576e-11,0,7.821404324204195e-08,2.8833946341677574e-09,HEAD_ONLY,0,20260940
1.2032795559946408e-07,0.0,-8.444295263032586e-11,0,1.2032795559946408e-07,1.2368866486589525e-08,Fiber-OneStep,0,20260940
1.9851418642247154e-07,0.0,-4.3113346226419935e-10,0,1.9851418642247154e-07,6.469624180827083e-08,Fiber-SANDiff,0,20260940
1.8356959330390055e-07,0.0,3.8185138384605466e-10,0,1.8356959330390055e-07,4.185305957360441e-08,Fiber-Gaussian,0,20260940
3.0011040497157637e-07,0.0,-2.832868939428579e-10,0,3.0011040497157637e-07,6.84826516605952e-08,Fiber-Stratified-Resample,0,20260940
7.258661316456028e-08,0.0,-3.14611670049203e-11,0,7.258661316456028e-08,2.4449930413616983e-09,HEAD_ONLY,0,20260941
7.903724430491366e-08,0.0,-3.9861169920385464e-12,0,7.903724430491366e-08,6.989726353268111e-09,Fiber-OneStep,0,20260941
1.1187884219054922e-07,0.0,6.249284423276436e-11,0,1.1187884219054922e-07,5.244752926403251e-08,Fiber-SANDiff,0,20260941
1.2099650614771917e-07,0.0,-1.2395559578770587e-10,0,1.2099650614771917e-07,4.293823718803935e-08,Fiber-Gaussian,0,20260941
1.1042446579345722e-07,0.0,-2.980987678924407e-11,0,1.1042446579345722e-07,5.187283491636663e-08,Fiber-Stratified-Resample,0,20260941
4.027728817135312e-08,0.0,-1.375127789415842e-11,1,4.027728817135312e-08,2.7613987624297565e-09,HEAD_ONLY,0,20260940
4.994926516843634e-08,0.0,9.104592080255713e-12,1,4.994926516843634e-08,4.387946672679277e-09,Fiber-OneStep,0,20260940
6.292317200617958e-08,0.0,5.232371480534681e-11,1,6.292317200617958e-08,1.6851241513293758e-08,Fiber-SANDiff,0,20260940
5.8703477634480805e-08,0.0,2.985732217020143e-10,1,5.8703477634480805e-08,1.991011316926361e-08,Fiber-Gaussian,0,20260940
5.446697270983236e-08,0.0,-3.1279256962335467e-10,1,5.446697270983236e-08,1.885237022047903e-08,Fiber-Stratified-Resample,0,20260940
