fold,seed,method,attacker,primary_finite_threat_balanced_accuracy,maximizing_feature,A_H_balanced_accuracy,privacy_semantics
0,20260940,RAW,linear,0.4322222222222223,A_Z,0.12444444444444445,cannot claim below H-visible boundary
0,20260940,RAW,adaptive_mlp,0.3877777777777778,A_Z,0.14,cannot claim below H-visible boundary
0,20260940,HEAD_ONLY,linear,0.12555555555555556,A_Z,0.12444444444444445,cannot claim below H-visible boundary
0,20260940,HEAD_ONLY,adaptive_mlp,0.14,A_H,0.14,cannot claim below H-visible boundary
0,20260940,LEACE,linear,0.2588888888888889,A_HZ,0.12444444444444445,cannot claim below H-visible boundary
0,20260940,LEACE,adaptive_mlp,0.2711111111111111,A_HZ,0.14,cannot claim below H-visible boundary
0,20260940,Fiber-OneStep,linear,0.1322222222222222,A_HZ,0.12444444444444445,cannot claim below H-visible boundary
0,20260940,Fiber-OneStep,adaptive_mlp,0.14,A_H,0.14,cannot claim below H-visible boundary
0,20260940,Fiber-SANDiff,linear,0.12555555555555553,A_Z,0.12444444444444445,cannot claim below H-visible boundary
0,20260940,Fiber-SANDiff,adaptive_mlp,0.14,A_H,0.14,cannot claim below H-visible boundary
0,20260940,Fiber-Gaussian,linear,0.1411111111111111,A_Z,0.12444444444444445,cannot claim below H-visible boundary
0,20260940,Fiber-Gaussian,adaptive_mlp,0.14,A_H,0.14,cannot claim below H-visible boundary
0,20260940,Fiber-Stratified-Resample,linear,0.12444444444444445,A_H,0.12444444444444445,cannot claim below H-visible boundary
0,20260940,Fiber-Stratified-Resample,adaptive_mlp,0.14,A_H,0.14,cannot claim below H-visible boundary
0,20260941,RAW,linear,0.41333333333333333,A_Z,0.12333333333333335,cannot claim below H-visible boundary
0,20260941,RAW,adaptive_mlp,0.37444444444444447,A_HZ,0.1522222222222222,cannot claim below H-visible boundary
0,20260941,HEAD_ONLY,linear,0.12333333333333335,A_H,0.12333333333333335,cannot claim below H-visible boundary
0,20260941,HEAD_ONLY,adaptive_mlp,0.1522222222222222,A_H,0.1522222222222222,cannot claim below H-visible boundary
0,20260941,LEACE,linear,0.22999999999999998,A_Z,0.12333333333333335,cannot claim below H-visible boundary
0,20260941,LEACE,adaptive_mlp,0.23000000000000004,A_HZ,0.1522222222222222,cannot claim below H-visible boundary
0,20260941,Fiber-OneStep,linear,0.15111111111111108,A_HZ,0.12333333333333335,cannot claim below H-visible boundary
0,20260941,Fiber-OneStep,adaptive_mlp,0.15888888888888889,A_HZ,0.1522222222222222,cannot claim below H-visible boundary
0,20260941,Fiber-SANDiff,linear,0.14555555555555555,A_HZ,0.12333333333333335,cannot claim below H-visible boundary
0,20260941,Fiber-SANDiff,adaptive_mlp,0.1522222222222222,A_H,0.1522222222222222,cannot claim below H-visible boundary
0,20260941,Fiber-Gaussian,linear,0.12333333333333335,A_H,0.12333333333333335,cannot claim below H-visible boundary
0,20260941,Fiber-Gaussian,adaptive_mlp,0.1522222222222222,A_H,0.1522222222222222,cannot claim below H-visible boundary
0,20260941,Fiber-Stratified-Resample,linear,0.12333333333333335,A_H,0.12333333333333335,cannot claim below H-visible boundary
0,20260941,Fiber-Stratified-Resample,adaptive_mlp,0.1522222222222222,A_H,0.1522222222222222,cannot claim below H-visible boundary
1,20260940,RAW,linear,0.33666666666666667,A_Z,0.14222222222222222,cannot claim below H-visible boundary
1,20260940,RAW,adaptive_mlp,0.29666666666666663,A_HZ,0.14777777777777779,cannot claim below H-visible boundary
1,20260940,HEAD_ONLY,linear,0.14222222222222222,A_H,0.14222222222222222,cannot claim below H-visible boundary
1,20260940,HEAD_ONLY,adaptive_mlp,0.14777777777777779,A_H,0.14777777777777779,cannot claim below H-visible boundary
1,20260940,LEACE,linear,0.22,A_Z,0.14222222222222222,cannot claim below H-visible boundary
1,20260940,LEACE,adaptive_mlp,0.19888888888888887,A_Z,0.14777777777777779,cannot claim below H-visible boundary
1,20260940,Fiber-OneStep,linear,0.14222222222222222,A_H,0.14222222222222222,cannot claim below H-visible boundary
1,20260940,Fiber-OneStep,adaptive_mlp,0.14777777777777779,A_H,0.14777777777777779,cannot claim below H-visible boundary
1,20260940,Fiber-SANDiff,linear,0.14222222222222222,A_H,0.14222222222222222,cannot claim below H-visible boundary
1,20260940,Fiber-SANDiff,adaptive_mlp,0.14777777777777779,A_H,0.14777777777777779,cannot claim below H-visible boundary
1,20260940,Fiber-Gaussian,linear,0.14222222222222222,A_H,0.14222222222222222,cannot claim below H-visible boundary
1,20260940,Fiber-Gaussian,adaptive_mlp,0.14777777777777779,A_H,0.14777777777777779,cannot claim below H-visible boundary
1,20260940,Fiber-Stratified-Resample,linear,0.14222222222222222,A_H,0.14222222222222222,cannot claim below H-visible boundary
1,20260940,Fiber-Stratified-Resample,adaptive_mlp,0.14777777777777779,A_H,0.14777777777777779,cannot claim below H-visible boundary
1,20260941,RAW,linear,0.3177777777777778,A_HZ,0.14111111111111113,cannot claim below H-visible boundary
1,20260941,RAW,adaptive_mlp,0.3622222222222222,A_HZ,0.14,cannot claim below H-visible boundary
1,20260941,HEAD_ONLY,linear,0.14111111111111113,A_H,0.14111111111111113,cannot claim below H-visible boundary
1,20260941,HEAD_ONLY,adaptive_mlp,0.14,A_H,0.14,cannot claim below H-visible boundary
1,20260941,LEACE,linear,0.23777777777777778,A_HZ,0.14111111111111113,cannot claim below H-visible boundary
1,20260941,LEACE,adaptive_mlp,0.22999999999999998,A_HZ,0.14,cannot claim below H-visible boundary
1,20260941,Fiber-OneStep,linear,0.14111111111111113,A_H,0.14111111111111113,cannot claim below H-visible boundary
1,20260941,Fiber-OneStep,adaptive_mlp,0.14,A_H,0.14,cannot claim below H-visible boundary
1,20260941,Fiber-SANDiff,linear,0.14111111111111113,A_H,0.14111111111111113,cannot claim below H-visible boundary
1,20260941,Fiber-SANDiff,adaptive_mlp,0.14,A_H,0.14,cannot claim below H-visible boundary
1,20260941,Fiber-Gaussian,linear,0.14111111111111113,A_H,0.14111111111111113,cannot claim below H-visible boundary
1,20260941,Fiber-Gaussian,adaptive_mlp,0.14,A_H,0.14,cannot claim below H-visible boundary
1,20260941,Fiber-Stratified-Resample,linear,0.14111111111111113,A_H,0.14111111111111113,cannot claim below H-visible boundary
1,20260941,Fiber-Stratified-Resample,adaptive_mlp,0.14,A_H,0.14,cannot claim below H-visible boundary
2,20260940,RAW,linear,0.3411111111111111,A_Z,0.14,cannot claim below H-visible boundary
2,20260940,RAW,adaptive_mlp,0.35,A_Z,0.17888888888888888,cannot claim below H-visible boundary
2,20260940,HEAD_ONLY,linear,0.14,A_H,0.14,cannot claim below H-visible boundary
2,20260940,HEAD_ONLY,adaptive_mlp,0.18555555555555556,A_HZ,0.17888888888888888,cannot claim below H-visible boundary
2,20260940,LEACE,linear,0.24555555555555555,A_HZ,0.14,cannot claim below H-visible boundary
2,20260940,LEACE,adaptive_mlp,0.26,A_HZ,0.17888888888888888,cannot claim below H-visible boundary
2,20260940,Fiber-OneStep,linear,0.16444444444444445,A_Z,0.14,cannot claim below H-visible boundary
