fold,model,path,seed,sha256,training_subjects
0,OpenBMI_EEGNet,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_0_seed_20260940/eegnet_full_pool.pt,20260940,a2c3fcf950daf48a281d2495f04e0e8e72e4f38fc6f68c60f83e0cfe3b0bff05,9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
0,Fiber-OneStep,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_0_seed_20260940/stage_b/Fiber-OneStep.pt,20260940,c3e7227d6b46d1a6e6f5b3a5877a862c90b3f4a8ad43c7fb58b15fa495b38126,9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
0,Fiber-Gaussian,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_0_seed_20260940/stage_b/Fiber-Gaussian.npz,20260940,3345f388b7627360006af770c9d085888b57b3c9bc35c1b9cd34bfb6f4615c53,9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
0,Fiber-SANDiff,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_0_seed_20260940/stage_b/Fiber-SANDiff.pt,20260940,922bd2e06e73269365bf85d730ff5307a958a705c9ae55106610879d7faa29fd,9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
0,OpenBMI_EEGNet,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_0_seed_20260941/eegnet_full_pool.pt,20260941,7c93f246eebfd39beaf7e9adf15f06b013f80f7c2beac7d6afbbc2944d354f38,9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
0,Fiber-OneStep,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_0_seed_20260941/stage_b/Fiber-OneStep.pt,20260941,9b0203ffb5c37a57641b1f1279e4cbf15b82310905319ef5f5f120ea83941329,9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
0,Fiber-Gaussian,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_0_seed_20260941/stage_b/Fiber-Gaussian.npz,20260941,3eaa6730cd7a7f790dba47654a3a46592fe2ff712cfcad846bde07aeaaff6f1e,9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
0,Fiber-SANDiff,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_0_seed_20260941/stage_b/Fiber-SANDiff.pt,20260941,2ee7035b33ba2af4077d4e35309c7e13bf63133a133665a07ebc4c39dcb2859e,9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
1,OpenBMI_EEGNet,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_1_seed_20260940/eegnet_full_pool.pt,20260940,1ae56b463507538ee8d7823dc2f4f84d3ca1eb2957a757ecc7940c47791cfe0b,0;1;2;3;4;5;6;7;8;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
1,Fiber-OneStep,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_1_seed_20260940/stage_b/Fiber-OneStep.pt,20260940,360087a7b45a21bc257bcc3dc46c58643ba194f9b3e0f422d72cc6134111123f,0;1;2;3;4;5;6;7;8;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
1,Fiber-Gaussian,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_1_seed_20260940/stage_b/Fiber-Gaussian.npz,20260940,269ac3de7b6de9f2cd12b18661c482108104d077eaff6a974ee99348c2f266d6,0;1;2;3;4;5;6;7;8;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
1,Fiber-SANDiff,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_1_seed_20260940/stage_b/Fiber-SANDiff.pt,20260940,8e61671df96daa455d780d08a21da8c69be4d54bdfeb781d9267be7ae4cec8e4,0;1;2;3;4;5;6;7;8;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
1,OpenBMI_EEGNet,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_1_seed_20260941/eegnet_full_pool.pt,20260941,2f51775ebf02af5c6e3889119ebfdb33189807e35ec66b9081b2bd0d6214eec1,0;1;2;3;4;5;6;7;8;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
1,Fiber-OneStep,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_1_seed_20260941/stage_b/Fiber-OneStep.pt,20260941,00c45cfb79dc5875dfe4d25c1fe001ae2bee22be1a53a3ed2fcc1d945818eee4,0;1;2;3;4;5;6;7;8;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
