method,strength,fixed_head_balanced_accuracy,retrained_head_balanced_accuracy,calibration_error,worst_participant_accuracy,between_participant_variance,adaptive_subject_attack_balanced_accuracy,cross_session_same_different_auroc,worst_participant_retrained_head_balanced_accuracy,between_participant_retrained_variance,worst_participant_accuracy_legacy_semantics
RAW,na,0.734537037037037,0.7221296296296296,0.12174877536517602,0.5966666666666667,0.009799768518518518,0.3382407407407408,0.5383615525016456,0.5824999999999999,0.009930787037037038,fixed_head; superseded for retrained utility
HEAD_ONLY,na,0.734537037037037,0.7335185185185186,0.12174877902975789,0.5966666666666667,0.009799768518518518,0.14083333333333334,0.5031634087771248,0.5924999999999999,0.010327083333333332,fixed_head; superseded for retrained utility
LEACE,na,0.697962962962963,0.6890740740740742,0.1402182761993673,0.5591666666666667,0.00899212962962963,0.2240740740740741,0.51482345266178,0.5516666666666666,0.008798842592592592,fixed_head; superseded for retrained utility
Fiber-OneStep,strong,0.734537037037037,0.7329629629629629,0.1217487782571051,0.5966666666666667,0.009799768518518518,0.14083333333333334,0.5094249353300326,0.5933333333333333,0.010198842592592591,fixed_head; superseded for retrained utility
Fiber-SANDiff,strong,0.734537037037037,0.732037037037037,0.12174877505059595,0.5966666666666667,0.009799768518518518,0.12268518518518519,0.5049686941964592,0.5875,0.010132175925925926,fixed_head; superseded for retrained utility
Fiber-Gaussian,strong,0.734537037037037,0.7299074074074073,0.12174877502852018,0.5966666666666667,0.009799768518518518,0.1285185185185185,0.5013975534498285,0.5925000000000001,0.009838657407407405,fixed_head; superseded for retrained utility
Fiber-Stratified-Resample,strong,0.734537037037037,0.7304629629629629,0.12174877830125667,0.5966666666666667,0.009799768518518518,0.12268518518518519,0.5039097287534168,0.5866666666666668,0.010643518518518517,fixed_head; superseded for retrained utility
