attacker,balanced_accuracy,cross_entropy,feature,fold,gallery_session,method,query_session,same_different_verification_auroc,seed
linear,0.12444444444444445,2.2016298265298957,A_H,0,T,RAW,E,0.49951507920811233,20260940
linear,0.4322222222222223,2.2317403780229386,A_Z,0,T,RAW,E,0.5501816471357727,20260940
linear,0.4322222222222223,2.2317064209368453,A_HZ,0,T,RAW,E,0.5492434989951376,20260940
linear,0.43555555555555553,2.238785354921335,A_HU,0,T,RAW,E,0.5493323134802288,20260940
adaptive_mlp,0.14,2.1891490132189797,A_H,0,T,RAW,E,0.49951507920811233,20260940
adaptive_mlp,0.3877777777777778,1.8359100285792866,A_Z,0,T,RAW,E,0.5501816471357727,20260940
adaptive_mlp,0.38000000000000006,1.871327883261298,A_HZ,0,T,RAW,E,0.5492434989951376,20260940
adaptive_mlp,0.41111111111111115,2.2837357380742223,A_HU,0,T,RAW,E,0.5493323134802288,20260940
linear,0.12444444444444445,2.2016298265298957,A_H,0,T,HEAD_ONLY,E,0.49951507920811233,20260940
linear,0.12555555555555556,2.201697622533013,A_Z,0,T,HEAD_ONLY,E,0.5006373258803657,20260940
linear,0.12555555555555556,2.2016979445196627,A_HZ,0,T,HEAD_ONLY,E,0.5012722812344037,20260940
linear,0.09888888888888889,4.461536022660426,A_HU,0,T,HEAD_ONLY,E,0.49957299042550596,20260940
adaptive_mlp,0.14,2.1891490132189797,A_H,0,T,HEAD_ONLY,E,0.49951507920811233,20260940
adaptive_mlp,0.1211111111111111,2.20124370339321,A_Z,0,T,HEAD_ONLY,E,0.5006373258803657,20260940
adaptive_mlp,0.12777777777777777,2.1885282918023594,A_HZ,0,T,HEAD_ONLY,E,0.5012722812344037,20260940
adaptive_mlp,0.12111111111111111,2.2993983777343097,A_HU,0,T,HEAD_ONLY,E,0.49957299042550596,20260940
linear,0.12444444444444445,2.2016298265298957,A_H,0,T,LEACE,E,0.49951507920811233,20260940
linear,0.2555555555555556,2.724483821942505,A_Z,0,T,LEACE,E,0.5172413009739862,20260940
linear,0.2588888888888889,2.733623830744825,A_HZ,0,T,LEACE,E,0.5166580835916971,20260940
linear,0.2611111111111111,2.724109808100699,A_HU,0,T,LEACE,E,0.515407217346435,20260940
adaptive_mlp,0.14,2.1891490132189797,A_H,0,T,LEACE,E,0.49951507920811233,20260940
adaptive_mlp,0.24555555555555555,2.7701292192303146,A_Z,0,T,LEACE,E,0.5172413009739862,20260940
adaptive_mlp,0.2711111111111111,2.9050972767971674,A_HZ,0,T,LEACE,E,0.5166580835916971,20260940
adaptive_mlp,0.25,2.175397454923487,A_HU,0,T,LEACE,E,0.515407217346435,20260940
linear,0.12444444444444445,2.2016298265298957,A_H,0,T,Fiber-OneStep,E,0.49951507920811233,20260940
linear,0.1311111111111111,2.2153099384592427,A_Z,0,T,Fiber-OneStep,E,0.5026049306379676,20260940
linear,0.1322222222222222,2.215435994475361,A_HZ,0,T,Fiber-OneStep,E,0.502542482085025,20260940
linear,0.13555555555555554,2.2147942176989814,A_HU,0,T,Fiber-OneStep,E,0.5025974548374916,20260940
adaptive_mlp,0.14,2.1891490132189797,A_H,0,T,Fiber-OneStep,E,0.49951507920811233,20260940
adaptive_mlp,0.11222222222222222,2.213376778512744,A_Z,0,T,Fiber-OneStep,E,0.5026049306379676,20260940
adaptive_mlp,0.13777777777777778,2.204611322446414,A_HZ,0,T,Fiber-OneStep,E,0.502542482085025,20260940
adaptive_mlp,0.13666666666666666,2.1989934389867165,A_HU,0,T,Fiber-OneStep,E,0.5025974548374916,20260940
linear,0.12444444444444445,2.2016298265298957,A_H,0,T,Fiber-SANDiff,E,0.49951507920811233,20260940
linear,0.12555555555555553,2.443472970549623,A_Z,0,T,Fiber-SANDiff,E,0.5024452411196287,20260940
linear,0.12555555555555553,2.443886627538386,A_HZ,0,T,Fiber-SANDiff,E,0.5023683842113513,20260940
linear,0.12333333333333335,2.442141458378958,A_HU,0,T,Fiber-SANDiff,E,0.5007252020321189,20260940
adaptive_mlp,0.14,2.1891490132189797,A_H,0,T,Fiber-SANDiff,E,0.49951507920811233,20260940
adaptive_mlp,0.10111111111111112,2.2576602155944334,A_Z,0,T,Fiber-SANDiff,E,0.5024452411196287,20260940
adaptive_mlp,0.10444444444444444,2.2967701061745345,A_HZ,0,T,Fiber-SANDiff,E,0.5023683842113513,20260940
adaptive_mlp,0.12888888888888891,2.6465446991009585,A_HU,0,T,Fiber-SANDiff,E,0.5007252020321189,20260940
linear,0.12444444444444445,2.2016298265298957,A_H,0,T,Fiber-Gaussian,E,0.49951507920811233,20260940
linear,0.1411111111111111,3.084020871600454,A_Z,0,T,Fiber-Gaussian,E,0.4907351188573875,20260940
linear,0.1411111111111111,3.083710703686152,A_HZ,0,T,Fiber-Gaussian,E,0.49073426077624294,20260940
linear,0.13888888888888892,3.078669449236412,A_HU,0,T,Fiber-Gaussian,E,0.4904824417399017,20260940
adaptive_mlp,0.14,2.1891490132189797,A_H,0,T,Fiber-Gaussian,E,0.49951507920811233,20260940
adaptive_mlp,0.12444444444444445,2.2720837083075898,A_Z,0,T,Fiber-Gaussian,E,0.4907351188573875,20260940
adaptive_mlp,0.11777777777777779,2.283692524028307,A_HZ,0,T,Fiber-Gaussian,E,0.49073426077624294,20260940
adaptive_mlp,0.11555555555555556,2.309452792700335,A_HU,0,T,Fiber-Gaussian,E,0.4904824417399017,20260940
linear,0.12444444444444445,2.2016298265298957,A_H,0,T,Fiber-Stratified-Resample,E,0.49951507920811233,20260940
linear,0.11666666666666667,3.013078013978045,A_Z,0,T,Fiber-Stratified-Resample,E,0.5031212794234327,20260940
linear,0.11555555555555556,3.013438681168214,A_HZ,0,T,Fiber-Stratified-Resample,E,0.5027156601450977,20260940
linear,0.11666666666666667,3.0048090442716835,A_HU,0,T,Fiber-Stratified-Resample,E,0.5038399686813964,20260940
adaptive_mlp,0.14,2.1891490132189797,A_H,0,T,Fiber-Stratified-Resample,E,0.49951507920811233,20260940
adaptive_mlp,0.11666666666666667,2.313931312041316,A_Z,0,T,Fiber-Stratified-Resample,E,0.5031212794234327,20260940
adaptive_mlp,0.10666666666666666,2.338781096428925,A_HZ,0,T,Fiber-Stratified-Resample,E,0.5027156601450977,20260940
adaptive_mlp,0.0988888888888889,2.2926007429868394,A_HU,0,T,Fiber-Stratified-Resample,E,0.5038399686813964,20260940
linear,0.12333333333333335,2.2015346266509606,A_H,0,T,RAW,E,0.4995410173121144,20260941
linear,0.41333333333333333,2.333842102461937,A_Z,0,T,RAW,E,0.5409726311818412,20260941
linear,0.41111111111111115,2.33669494379504,A_HZ,0,T,RAW,E,0.5403124423161939,20260941
linear,0.4166666666666667,2.331638359202014,A_HU,0,T,RAW,E,0.5420054903840991,20260941
adaptive_mlp,0.1522222222222222,2.1823633254945793,A_H,0,T,RAW,E,0.4995410173121144,20260941
adaptive_mlp,0.3711111111111111,2.044682864624611,A_Z,0,T,RAW,E,0.5409726311818412,20260941
adaptive_mlp,0.37444444444444447,2.213397792437348,A_HZ,0,T,RAW,E,0.5403124423161939,20260941
adaptive_mlp,0.3877777777777778,2.2647396099392982,A_HU,0,T,RAW,E,0.5420054903840991,20260941
linear,0.12333333333333335,2.2015346266509606,A_H,0,T,HEAD_ONLY,E,0.4995410173121144,20260941
linear,0.12222222222222223,2.2017172563387115,A_Z,0,T,HEAD_ONLY,E,0.4985317455432869,20260941
linear,0.12222222222222223,2.2017162971961826,A_HZ,0,T,HEAD_ONLY,E,0.5013566632412931,20260941
linear,0.10333333333333333,4.6487427434542665,A_HU,0,T,HEAD_ONLY,E,0.4969291025951374,20260941
adaptive_mlp,0.1522222222222222,2.1823633254945793,A_H,0,T,HEAD_ONLY,E,0.4995410173121144,20260941
adaptive_mlp,0.13999999999999999,2.219726697617154,A_Z,0,T,HEAD_ONLY,E,0.4985317455432869,20260941
adaptive_mlp,0.12555555555555556,2.187464268920288,A_HZ,0,T,HEAD_ONLY,E,0.5013566632412931,20260941
adaptive_mlp,0.12333333333333335,2.268750718927008,A_HU,0,T,HEAD_ONLY,E,0.4969291025951374,20260941
linear,0.12333333333333335,2.2015346266509606,A_H,0,T,LEACE,E,0.4995410173121144,20260941
linear,0.22999999999999998,2.788332199524596,A_Z,0,T,LEACE,E,0.5187137610197792,20260941
linear,0.22666666666666668,2.818445133217467,A_HZ,0,T,LEACE,E,0.5184070750003466,20260941
linear,0.22444444444444445,2.8100887845606484,A_HU,0,T,LEACE,E,0.5169481974898206,20260941
adaptive_mlp,0.1522222222222222,2.1823633254945793,A_H,0,T,LEACE,E,0.4995410173121144,20260941
adaptive_mlp,0.2033333333333333,2.365860719946583,A_Z,0,T,LEACE,E,0.5187137610197792,20260941
adaptive_mlp,0.23000000000000004,3.254973027160783,A_HZ,0,T,LEACE,E,0.5184070750003466,20260941
adaptive_mlp,0.22666666666666668,2.4539353574447644,A_HU,0,T,LEACE,E,0.5169481974898206,20260941
linear,0.12333333333333335,2.2015346266509606,A_H,0,T,Fiber-OneStep,E,0.4995410173121144,20260941
linear,0.15,2.2471720760294636,A_Z,0,T,Fiber-OneStep,E,0.5039635653971747,20260941
linear,0.15111111111111108,2.2473636524624645,A_HZ,0,T,Fiber-OneStep,E,0.5039267613463734,20260941
linear,0.16,2.2477309337282683,A_HU,0,T,Fiber-OneStep,E,0.5045230585773692,20260941
