class_fallback,deployment_requires_training_fiber_bank,exact_stratum,fold,global_fallback,queries,seed,set
0,True,4500,0,0,4500,20260940,train
0,True,4500,0,0,4500,20260940,nontraining
0,True,900,0,0,900,20260940,gallery
0,True,900,0,0,900,20260940,query
0,True,4500,0,0,4500,20260941,train
0,True,4500,0,0,4500,20260941,nontraining
0,True,900,0,0,900,20260941,gallery
0,True,900,0,0,900,20260941,query
0,True,4500,1,0,4500,20260940,train
0,True,4500,1,0,4500,20260940,nontraining
0,True,900,1,0,900,20260940,gallery
0,True,900,1,0,900,20260940,query
0,True,4500,1,0,4500,20260941,train
0,True,4500,1,0,4500,20260941,nontraining
0,True,900,1,0,900,20260941,gallery
0,True,900,1,0,900,20260941,query
0,True,4500,2,0,4500,20260940,train
0,True,4500,2,0,4500,20260940,nontraining
0,True,900,2,0,900,20260940,gallery
0,True,900,2,0,900,20260940,query
0,True,4500,2,0,4500,20260941,train
0,True,4500,2,0,4500,20260941,nontraining
0,True,900,2,0,900,20260941,gallery
0,True,900,2,0,900,20260941,query
0,True,4500,3,0,4500,20260940,train
0,True,4500,3,0,4500,20260940,nontraining
0,True,900,3,0,900,20260940,gallery
0,True,900,3,0,900,20260940,query
0,True,4500,3,0,4500,20260941,train
0,True,4500,3,0,4500,20260941,nontraining
0,True,900,3,0,900,20260941,gallery
0,True,900,3,0,900,20260941,query
0,True,4500,4,0,4500,20260940,train
0,True,4500,4,0,4500,20260940,nontraining
0,True,900,4,0,900,20260940,gallery
0,True,900,4,0,900,20260940,query
0,True,4500,4,0,4500,20260941,train
0,True,4500,4,0,4500,20260941,nontraining
0,True,900,4,0,900,20260941,gallery
0,True,900,4,0,900,20260941,query
0,True,4500,5,0,4500,20260940,train
0,True,4500,5,0,4500,20260940,nontraining
0,True,900,5,0,900,20260940,gallery
0,True,900,5,0,900,20260940,query
0,True,4500,5,0,4500,20260941,train
0,True,4500,5,0,4500,20260941,nontraining
0,True,900,5,0,900,20260941,gallery
0,True,900,5,0,900,20260941,query
