fold,model_only,queries,seed,set
0,True,4500,20260940,train
0,True,4500,20260940,nontraining
0,True,900,20260940,gallery
0,True,900,20260940,query
0,True,4500,20260941,train
0,True,4500,20260941,nontraining
0,True,900,20260941,gallery
0,True,900,20260941,query
1,True,4500,20260940,train
1,True,4500,20260940,nontraining
1,True,900,20260940,gallery
1,True,900,20260940,query
1,True,4500,20260941,train
1,True,4500,20260941,nontraining
1,True,900,20260941,gallery
1,True,900,20260941,query
2,True,4500,20260940,train
2,True,4500,20260940,nontraining
2,True,900,20260940,gallery
2,True,900,20260940,query
2,True,4500,20260941,train
2,True,4500,20260941,nontraining
2,True,900,20260941,gallery
2,True,900,20260941,query
3,True,4500,20260940,train
3,True,4500,20260940,nontraining
3,True,900,20260940,gallery
3,True,900,20260940,query
3,True,4500,20260941,train
3,True,4500,20260941,nontraining
3,True,900,20260941,gallery
3,True,900,20260941,query
4,True,4500,20260940,train
4,True,4500,20260940,nontraining
4,True,900,20260940,gallery
4,True,900,20260940,query
4,True,4500,20260941,train
4,True,4500,20260941,nontraining
4,True,900,20260941,gallery
4,True,900,20260941,query
5,True,4500,20260940,train
5,True,4500,20260940,nontraining
5,True,900,20260940,gallery
5,True,900,20260940,query
5,True,4500,20260941,train
5,True,4500,20260941,nontraining
5,True,900,20260941,gallery
5,True,900,20260941,query
