fold,seed,participant,method,family,metric,value
0,20260940,1,RAW,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.72
0,20260940,1,RAW,task_or_legacy_privacy,linear_subject_probe_recall,0.32
0,20260940,1,RAW,task_or_legacy_privacy,adaptive_subject_attack_recall,0.24
0,20260940,1,RAW,task_or_legacy_privacy,cross_session_same_different_auroc,0.5110053851993108
0,20260940,2,RAW,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.74
0,20260940,2,RAW,task_or_legacy_privacy,linear_subject_probe_recall,0.33
0,20260940,2,RAW,task_or_legacy_privacy,adaptive_subject_attack_recall,0.21
0,20260940,2,RAW,task_or_legacy_privacy,cross_session_same_different_auroc,0.4956703470186015
0,20260940,3,RAW,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.77
0,20260940,3,RAW,task_or_legacy_privacy,linear_subject_probe_recall,0.33
0,20260940,3,RAW,task_or_legacy_privacy,adaptive_subject_attack_recall,0.18
0,20260940,3,RAW,task_or_legacy_privacy,cross_session_same_different_auroc,0.5079005238128533
0,20260940,4,RAW,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.9099999999999999
0,20260940,4,RAW,task_or_legacy_privacy,linear_subject_probe_recall,0.45
0,20260940,4,RAW,task_or_legacy_privacy,adaptive_subject_attack_recall,0.37
0,20260940,4,RAW,task_or_legacy_privacy,cross_session_same_different_auroc,0.5330172266757632
0,20260940,5,RAW,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.76
0,20260940,5,RAW,task_or_legacy_privacy,linear_subject_probe_recall,0.49
0,20260940,5,RAW,task_or_legacy_privacy,adaptive_subject_attack_recall,0.43
0,20260940,5,RAW,task_or_legacy_privacy,cross_session_same_different_auroc,0.5591441483852744
0,20260940,6,RAW,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.8400000000000001
0,20260940,6,RAW,task_or_legacy_privacy,linear_subject_probe_recall,0.45
0,20260940,6,RAW,task_or_legacy_privacy,adaptive_subject_attack_recall,0.48
0,20260940,6,RAW,task_or_legacy_privacy,cross_session_same_different_auroc,0.5666612868109406
0,20260940,7,RAW,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.69
0,20260940,7,RAW,task_or_legacy_privacy,linear_subject_probe_recall,0.28
0,20260940,7,RAW,task_or_legacy_privacy,adaptive_subject_attack_recall,0.23
0,20260940,7,RAW,task_or_legacy_privacy,cross_session_same_different_auroc,0.557864657243123
0,20260940,8,RAW,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.6
0,20260940,8,RAW,task_or_legacy_privacy,linear_subject_probe_recall,0.5
0,20260940,8,RAW,task_or_legacy_privacy,adaptive_subject_attack_recall,0.4
0,20260940,8,RAW,task_or_legacy_privacy,cross_session_same_different_auroc,0.5929185043144775
0,20260940,9,RAW,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.61
0,20260940,9,RAW,task_or_legacy_privacy,linear_subject_probe_recall,0.74
0,20260940,9,RAW,task_or_legacy_privacy,adaptive_subject_attack_recall,0.62
0,20260940,9,RAW,task_or_legacy_privacy,cross_session_same_different_auroc,0.6259953709506263
0,20260940,1,HEAD_ONLY,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.72
0,20260940,1,HEAD_ONLY,task_or_legacy_privacy,linear_subject_probe_recall,0.01
0,20260940,1,HEAD_ONLY,task_or_legacy_privacy,adaptive_subject_attack_recall,0.21
0,20260940,1,HEAD_ONLY,task_or_legacy_privacy,cross_session_same_different_auroc,0.463008564556877
0,20260940,2,HEAD_ONLY,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.74
0,20260940,2,HEAD_ONLY,task_or_legacy_privacy,linear_subject_probe_recall,0.01
0,20260940,2,HEAD_ONLY,task_or_legacy_privacy,adaptive_subject_attack_recall,0.29
0,20260940,2,HEAD_ONLY,task_or_legacy_privacy,cross_session_same_different_auroc,0.5119689784917805
0,20260940,3,HEAD_ONLY,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.77
0,20260940,3,HEAD_ONLY,task_or_legacy_privacy,linear_subject_probe_recall,0.0
0,20260940,3,HEAD_ONLY,task_or_legacy_privacy,adaptive_subject_attack_recall,0.0
0,20260940,3,HEAD_ONLY,task_or_legacy_privacy,cross_session_same_different_auroc,0.5141052293638514
0,20260940,4,HEAD_ONLY,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.9099999999999999
0,20260940,4,HEAD_ONLY,task_or_legacy_privacy,linear_subject_probe_recall,0.01
0,20260940,4,HEAD_ONLY,task_or_legacy_privacy,adaptive_subject_attack_recall,0.18
0,20260940,4,HEAD_ONLY,task_or_legacy_privacy,cross_session_same_different_auroc,0.4974781316244731
0,20260940,5,HEAD_ONLY,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.76
0,20260940,5,HEAD_ONLY,task_or_legacy_privacy,linear_subject_probe_recall,0.51
0,20260940,5,HEAD_ONLY,task_or_legacy_privacy,adaptive_subject_attack_recall,0.17
0,20260940,5,HEAD_ONLY,task_or_legacy_privacy,cross_session_same_different_auroc,0.5045513605121928
0,20260940,6,HEAD_ONLY,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.8400000000000001
0,20260940,6,HEAD_ONLY,task_or_legacy_privacy,linear_subject_probe_recall,0.5
0,20260940,6,HEAD_ONLY,task_or_legacy_privacy,adaptive_subject_attack_recall,0.05
0,20260940,6,HEAD_ONLY,task_or_legacy_privacy,cross_session_same_different_auroc,0.4866090336082115
0,20260940,7,HEAD_ONLY,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.69
0,20260940,7,HEAD_ONLY,task_or_legacy_privacy,linear_subject_probe_recall,0.02
0,20260940,7,HEAD_ONLY,task_or_legacy_privacy,adaptive_subject_attack_recall,0.0
0,20260940,7,HEAD_ONLY,task_or_legacy_privacy,cross_session_same_different_auroc,0.5127011924638847
0,20260940,8,HEAD_ONLY,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.6
0,20260940,8,HEAD_ONLY,task_or_legacy_privacy,linear_subject_probe_recall,0.03
0,20260940,8,HEAD_ONLY,task_or_legacy_privacy,adaptive_subject_attack_recall,0.0
0,20260940,8,HEAD_ONLY,task_or_legacy_privacy,cross_session_same_different_auroc,0.5001524448705656
0,20260940,9,HEAD_ONLY,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.61
0,20260940,9,HEAD_ONLY,task_or_legacy_privacy,linear_subject_probe_recall,0.04
0,20260940,9,HEAD_ONLY,task_or_legacy_privacy,adaptive_subject_attack_recall,0.25
0,20260940,9,HEAD_ONLY,task_or_legacy_privacy,cross_session_same_different_auroc,0.5157186097811646
0,20260940,1,LEACE,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.6799999999999999
0,20260940,1,LEACE,task_or_legacy_privacy,linear_subject_probe_recall,0.15
0,20260940,1,LEACE,task_or_legacy_privacy,adaptive_subject_attack_recall,0.14
0,20260940,1,LEACE,task_or_legacy_privacy,cross_session_same_different_auroc,0.4868607850717467
0,20260940,2,LEACE,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.65
0,20260940,2,LEACE,task_or_legacy_privacy,linear_subject_probe_recall,0.22
0,20260940,2,LEACE,task_or_legacy_privacy,adaptive_subject_attack_recall,0.19
0,20260940,2,LEACE,task_or_legacy_privacy,cross_session_same_different_auroc,0.504675359270119
0,20260940,3,LEACE,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.79
0,20260940,3,LEACE,task_or_legacy_privacy,linear_subject_probe_recall,0.14
0,20260940,3,LEACE,task_or_legacy_privacy,adaptive_subject_attack_recall,0.11
0,20260940,3,LEACE,task_or_legacy_privacy,cross_session_same_different_auroc,0.4942985250714223
0,20260940,4,LEACE,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.88
0,20260940,4,LEACE,task_or_legacy_privacy,linear_subject_probe_recall,0.28
0,20260940,4,LEACE,task_or_legacy_privacy,adaptive_subject_attack_recall,0.3
0,20260940,4,LEACE,task_or_legacy_privacy,cross_session_same_different_auroc,0.522916108281962
0,20260940,5,LEACE,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.74
0,20260940,5,LEACE,task_or_legacy_privacy,linear_subject_probe_recall,0.25
0,20260940,5,LEACE,task_or_legacy_privacy,adaptive_subject_attack_recall,0.24
