method,within_H_sample_variance,between_H_variance,nearest_training_fiber_distance,duplicate_rate,sample_diversity
Fiber-OneStep,0.0,4.623585720856984,4.64145547983823,1.0,0.0
Fiber-Gaussian,66.3330659866333,8.641891558965048,6.808656236598337,0.0,11.322590253116909
Fiber-Stratified-Resample,66.63880189259847,8.541626811027527,1.3671548288023086e-07,0.0010246913580246912,11.33531974027081
Fiber-SANDiff,55.982736905415855,8.62789797782898,5.688412626683712,0.0,10.34093460109324
