fold,method,participant,retrained_head_balanced_accuracy,seed
0,RAW,1,0.7,20260940
0,RAW,2,0.73,20260940
0,RAW,3,0.74,20260940
0,RAW,4,0.88,20260940
0,RAW,5,0.74,20260940
0,RAW,6,0.8600000000000001,20260940
0,RAW,7,0.6399999999999999,20260940
0,RAW,8,0.59,20260940
0,RAW,9,0.6,20260940
0,HEAD_ONLY,1,0.72,20260940
0,HEAD_ONLY,2,0.74,20260940
0,HEAD_ONLY,3,0.77,20260940
0,HEAD_ONLY,4,0.9199999999999999,20260940
0,HEAD_ONLY,5,0.74,20260940
0,HEAD_ONLY,6,0.8400000000000001,20260940
0,HEAD_ONLY,7,0.6499999999999999,20260940
0,HEAD_ONLY,8,0.61,20260940
0,HEAD_ONLY,9,0.62,20260940
0,LEACE,1,0.64,20260940
0,LEACE,2,0.65,20260940
0,LEACE,3,0.8,20260940
0,LEACE,4,0.85,20260940
0,LEACE,5,0.67,20260940
0,LEACE,6,0.79,20260940
0,LEACE,7,0.6699999999999999,20260940
0,LEACE,8,0.6000000000000001,20260940
0,LEACE,9,0.63,20260940
0,Fiber-OneStep,1,0.72,20260940
0,Fiber-OneStep,2,0.75,20260940
0,Fiber-OneStep,3,0.77,20260940
0,Fiber-OneStep,4,0.91,20260940
0,Fiber-OneStep,5,0.74,20260940
0,Fiber-OneStep,6,0.8400000000000001,20260940
0,Fiber-OneStep,7,0.64,20260940
0,Fiber-OneStep,8,0.61,20260940
0,Fiber-OneStep,9,0.62,20260940
0,Fiber-SANDiff,1,0.72,20260940
0,Fiber-SANDiff,2,0.73,20260940
0,Fiber-SANDiff,3,0.77,20260940
0,Fiber-SANDiff,4,0.89,20260940
0,Fiber-SANDiff,5,0.76,20260940
0,Fiber-SANDiff,6,0.8300000000000001,20260940
0,Fiber-SANDiff,7,0.6599999999999999,20260940
0,Fiber-SANDiff,8,0.61,20260940
0,Fiber-SANDiff,9,0.63,20260940
0,Fiber-Gaussian,1,0.71,20260940
0,Fiber-Gaussian,2,0.75,20260940
0,Fiber-Gaussian,3,0.76,20260940
0,Fiber-Gaussian,4,0.91,20260940
0,Fiber-Gaussian,5,0.75,20260940
0,Fiber-Gaussian,6,0.8500000000000001,20260940
0,Fiber-Gaussian,7,0.6499999999999999,20260940
0,Fiber-Gaussian,8,0.61,20260940
0,Fiber-Gaussian,9,0.5700000000000001,20260940
0,Fiber-Stratified-Resample,1,0.7,20260940
0,Fiber-Stratified-Resample,2,0.74,20260940
0,Fiber-Stratified-Resample,3,0.76,20260940
0,Fiber-Stratified-Resample,4,0.91,20260940
0,Fiber-Stratified-Resample,5,0.77,20260940
0,Fiber-Stratified-Resample,6,0.8400000000000001,20260940
0,Fiber-Stratified-Resample,7,0.6699999999999999,20260940
0,Fiber-Stratified-Resample,8,0.63,20260940
0,Fiber-Stratified-Resample,9,0.5800000000000001,20260940
0,RAW,1,0.71,20260941
0,RAW,2,0.7,20260941
0,RAW,3,0.81,20260941
0,RAW,4,0.9199999999999999,20260941
0,RAW,5,0.78,20260941
0,RAW,6,0.87,20260941
0,RAW,7,0.62,20260941
0,RAW,8,0.6799999999999999,20260941
0,RAW,9,0.64,20260941
0,HEAD_ONLY,1,0.73,20260941
0,HEAD_ONLY,2,0.7,20260941
0,HEAD_ONLY,3,0.8,20260941
0,HEAD_ONLY,4,0.9199999999999999,20260941
0,HEAD_ONLY,5,0.76,20260941
0,HEAD_ONLY,6,0.8500000000000001,20260941
0,HEAD_ONLY,7,0.6000000000000001,20260941
0,HEAD_ONLY,8,0.64,20260941
0,HEAD_ONLY,9,0.62,20260941
0,LEACE,1,0.6699999999999999,20260941
0,LEACE,2,0.62,20260941
0,LEACE,3,0.79,20260941
0,LEACE,4,0.92,20260941
0,LEACE,5,0.78,20260941
0,LEACE,6,0.8200000000000001,20260941
0,LEACE,7,0.55,20260941
0,LEACE,8,0.6799999999999999,20260941
0,LEACE,9,0.63,20260941
0,Fiber-OneStep,1,0.72,20260941
0,Fiber-OneStep,2,0.7,20260941
0,Fiber-OneStep,3,0.8,20260941
0,Fiber-OneStep,4,0.9199999999999999,20260941
0,Fiber-OneStep,5,0.76,20260941
0,Fiber-OneStep,6,0.8500000000000001,20260941
0,Fiber-OneStep,7,0.5900000000000001,20260941
0,Fiber-OneStep,8,0.64,20260941
0,Fiber-OneStep,9,0.63,20260941
0,Fiber-SANDiff,1,0.73,20260941
0,Fiber-SANDiff,2,0.71,20260941
0,Fiber-SANDiff,3,0.8,20260941
0,Fiber-SANDiff,4,0.9199999999999999,20260941
0,Fiber-SANDiff,5,0.76,20260941
0,Fiber-SANDiff,6,0.87,20260941
0,Fiber-SANDiff,7,0.6,20260941
0,Fiber-SANDiff,8,0.6799999999999999,20260941
0,Fiber-SANDiff,9,0.64,20260941
0,Fiber-Gaussian,1,0.76,20260941
0,Fiber-Gaussian,2,0.7,20260941
0,Fiber-Gaussian,3,0.8,20260941
0,Fiber-Gaussian,4,0.9199999999999999,20260941
0,Fiber-Gaussian,5,0.75,20260941
0,Fiber-Gaussian,6,0.8400000000000001,20260941
0,Fiber-Gaussian,7,0.59,20260941
0,Fiber-Gaussian,8,0.6100000000000001,20260941
0,Fiber-Gaussian,9,0.62,20260941
0,Fiber-Stratified-Resample,1,0.73,20260941
0,Fiber-Stratified-Resample,2,0.6599999999999999,20260941
0,Fiber-Stratified-Resample,3,0.8,20260941
0,Fiber-Stratified-Resample,4,0.9199999999999999,20260941
0,Fiber-Stratified-Resample,5,0.74,20260941
0,Fiber-Stratified-Resample,6,0.87,20260941
0,Fiber-Stratified-Resample,7,0.6,20260941
0,Fiber-Stratified-Resample,8,0.62,20260941
0,Fiber-Stratified-Resample,9,0.6699999999999999,20260941
1,RAW,10,0.55,20260940
1,RAW,11,0.66,20260940
1,RAW,12,0.62,20260940
1,RAW,13,0.71,20260940
1,RAW,14,0.76,20260940
1,RAW,15,0.6799999999999999,20260940
1,RAW,16,0.87,20260940
1,RAW,17,0.6799999999999999,20260940
1,RAW,18,0.5700000000000001,20260940
1,HEAD_ONLY,10,0.5700000000000001,20260940
1,HEAD_ONLY,11,0.63,20260940
1,HEAD_ONLY,12,0.6799999999999999,20260940
1,HEAD_ONLY,13,0.74,20260940
1,HEAD_ONLY,14,0.8,20260940
1,HEAD_ONLY,15,0.69,20260940
1,HEAD_ONLY,16,0.9099999999999999,20260940
1,HEAD_ONLY,17,0.76,20260940
1,HEAD_ONLY,18,0.5700000000000001,20260940
1,LEACE,10,0.51,20260940
1,LEACE,11,0.63,20260940
1,LEACE,12,0.5,20260940
1,LEACE,13,0.6599999999999999,20260940
1,LEACE,14,0.77,20260940
1,LEACE,15,0.64,20260940
1,LEACE,16,0.81,20260940
1,LEACE,17,0.6799999999999999,20260940
1,LEACE,18,0.62,20260940
1,Fiber-OneStep,10,0.5700000000000001,20260940
1,Fiber-OneStep,11,0.63,20260940
1,Fiber-OneStep,12,0.6799999999999999,20260940
1,Fiber-OneStep,13,0.74,20260940
1,Fiber-OneStep,14,0.8,20260940
1,Fiber-OneStep,15,0.7,20260940
1,Fiber-OneStep,16,0.9099999999999999,20260940
1,Fiber-OneStep,17,0.76,20260940
1,Fiber-OneStep,18,0.5700000000000001,20260940
1,Fiber-SANDiff,10,0.5800000000000001,20260940
1,Fiber-SANDiff,11,0.64,20260940
1,Fiber-SANDiff,12,0.6699999999999999,20260940
1,Fiber-SANDiff,13,0.74,20260940
1,Fiber-SANDiff,14,0.76,20260940
1,Fiber-SANDiff,15,0.72,20260940
1,Fiber-SANDiff,16,0.9099999999999999,20260940
1,Fiber-SANDiff,17,0.77,20260940
1,Fiber-SANDiff,18,0.56,20260940
1,Fiber-Gaussian,10,0.5800000000000001,20260940
1,Fiber-Gaussian,11,0.63,20260940
1,Fiber-Gaussian,12,0.73,20260940
1,Fiber-Gaussian,13,0.73,20260940
1,Fiber-Gaussian,14,0.77,20260940
1,Fiber-Gaussian,15,0.69,20260940
1,Fiber-Gaussian,16,0.8999999999999999,20260940
1,Fiber-Gaussian,17,0.7,20260940
1,Fiber-Gaussian,18,0.56,20260940
1,Fiber-Stratified-Resample,10,0.5900000000000001,20260940
1,Fiber-Stratified-Resample,11,0.63,20260940
1,Fiber-Stratified-Resample,12,0.69,20260940
1,Fiber-Stratified-Resample,13,0.78,20260940
1,Fiber-Stratified-Resample,14,0.79,20260940
1,Fiber-Stratified-Resample,15,0.69,20260940
1,Fiber-Stratified-Resample,16,0.8999999999999999,20260940
1,Fiber-Stratified-Resample,17,0.75,20260940
1,Fiber-Stratified-Resample,18,0.6,20260940
1,RAW,10,0.5900000000000001,20260941
1,RAW,11,0.6699999999999999,20260941
1,RAW,12,0.64,20260941
1,RAW,13,0.72,20260941
1,RAW,14,0.74,20260941
1,RAW,15,0.5700000000000001,20260941
1,RAW,16,0.87,20260941
1,RAW,17,0.6799999999999999,20260941
1,RAW,18,0.61,20260941
1,HEAD_ONLY,10,0.63,20260941
1,HEAD_ONLY,11,0.72,20260941
1,HEAD_ONLY,12,0.66,20260941
1,HEAD_ONLY,13,0.69,20260941
1,HEAD_ONLY,14,0.73,20260941
1,HEAD_ONLY,15,0.5700000000000001,20260941
1,HEAD_ONLY,16,0.89,20260941
1,HEAD_ONLY,17,0.71,20260941
1,HEAD_ONLY,18,0.62,20260941
1,LEACE,10,0.55,20260941
1,LEACE,11,0.66,20260941
1,LEACE,12,0.5900000000000001,20260941
