donor,method,recipient,risk
sub-02,V25_SET_CALIB_DET_MATCH,sub-02,0.7821100364089943
sub-03,V25_SET_CALIB_DET_MATCH,sub-02,0.7814771358454083
sub-05,V25_SET_CALIB_DET_MATCH,sub-02,0.7814708527552687
sub-06,V25_SET_CALIB_DET_MATCH,sub-02,0.7812835154020124
sub-07,V25_SET_CALIB_DET_MATCH,sub-02,0.7814385848857152
sub-09,V25_SET_CALIB_DET_MATCH,sub-02,0.7825741621458696
sub-11,V25_SET_CALIB_DET_MATCH,sub-02,0.7823245244217105
sub-12,V25_SET_CALIB_DET_MATCH,sub-02,0.7850682372162635
sub-14,V25_SET_CALIB_DET_MATCH,sub-02,0.7813275884448861
sub-15,V25_SET_CALIB_DET_MATCH,sub-02,0.7844131179865346
sub-17,V25_SET_CALIB_DET_MATCH,sub-02,0.782049139819315
sub-18,V25_SET_CALIB_DET_MATCH,sub-02,0.7820212505175732
sub-19,V25_SET_CALIB_DET_MATCH,sub-02,0.7814316160899276
sub-21,V25_SET_CALIB_DET_MATCH,sub-02,0.7816095698379083
sub-23,V25_SET_CALIB_DET_MATCH,sub-02,0.7812307790025241
sub-02,V25_SET_CALIB_DET_MATCH,sub-03,0.3748176461861779
sub-03,V25_SET_CALIB_DET_MATCH,sub-03,0.3738582191549034
sub-05,V25_SET_CALIB_DET_MATCH,sub-03,0.37346194075265277
sub-06,V25_SET_CALIB_DET_MATCH,sub-03,0.3736789896696185
sub-07,V25_SET_CALIB_DET_MATCH,sub-03,0.37370187002751565
sub-09,V25_SET_CALIB_DET_MATCH,sub-03,0.3743803218110568
sub-11,V25_SET_CALIB_DET_MATCH,sub-03,0.375450603896752
sub-12,V25_SET_CALIB_DET_MATCH,sub-03,0.38441583838882964
sub-14,V25_SET_CALIB_DET_MATCH,sub-03,0.373409497538685
sub-15,V25_SET_CALIB_DET_MATCH,sub-03,0.3821304332620154
sub-17,V25_SET_CALIB_DET_MATCH,sub-03,0.37379185782952445
sub-18,V25_SET_CALIB_DET_MATCH,sub-03,0.37419533456623966
sub-19,V25_SET_CALIB_DET_MATCH,sub-03,0.37723968964484
sub-21,V25_SET_CALIB_DET_MATCH,sub-03,0.373916620737873
sub-23,V25_SET_CALIB_DET_MATCH,sub-03,0.373540348192263
sub-02,V25_SET_CALIB_DET_MATCH,sub-05,0.3614767089796563
sub-03,V25_SET_CALIB_DET_MATCH,sub-05,0.3620237476037194
sub-05,V25_SET_CALIB_DET_MATCH,sub-05,0.36103956145234406
sub-06,V25_SET_CALIB_DET_MATCH,sub-05,0.36095926029762876
sub-07,V25_SET_CALIB_DET_MATCH,sub-05,0.36164074882658
sub-09,V25_SET_CALIB_DET_MATCH,sub-05,0.36288754989962196
sub-11,V25_SET_CALIB_DET_MATCH,sub-05,0.3616651641075603
sub-12,V25_SET_CALIB_DET_MATCH,sub-05,0.36593092482588774
sub-14,V25_SET_CALIB_DET_MATCH,sub-05,0.3615020220167935
sub-15,V25_SET_CALIB_DET_MATCH,sub-05,0.366763458858865
sub-17,V25_SET_CALIB_DET_MATCH,sub-05,0.36246848601796144
sub-18,V25_SET_CALIB_DET_MATCH,sub-05,0.36262808879837394
sub-19,V25_SET_CALIB_DET_MATCH,sub-05,0.36215451821529615
sub-21,V25_SET_CALIB_DET_MATCH,sub-05,0.36130739870067274
sub-23,V25_SET_CALIB_DET_MATCH,sub-05,0.36176156235807055
sub-02,V25_SET_CALIB_DET_MATCH,sub-06,0.49616928150256473
sub-03,V25_SET_CALIB_DET_MATCH,sub-06,0.4542643723414383
sub-05,V25_SET_CALIB_DET_MATCH,sub-06,0.44656595450619024
sub-06,V25_SET_CALIB_DET_MATCH,sub-06,0.4525290285625185
sub-07,V25_SET_CALIB_DET_MATCH,sub-06,0.4424528564041894
sub-09,V25_SET_CALIB_DET_MATCH,sub-06,0.46094599467081326
sub-11,V25_SET_CALIB_DET_MATCH,sub-06,0.4608305124695309
sub-12,V25_SET_CALIB_DET_MATCH,sub-06,0.4556293704081327
sub-14,V25_SET_CALIB_DET_MATCH,sub-06,0.46164858126495445
sub-15,V25_SET_CALIB_DET_MATCH,sub-06,0.49270427276173395
sub-17,V25_SET_CALIB_DET_MATCH,sub-06,0.4476970302639529
sub-18,V25_SET_CALIB_DET_MATCH,sub-06,0.46287615130293286
sub-19,V25_SET_CALIB_DET_MATCH,sub-06,0.5149892174975118
sub-21,V25_SET_CALIB_DET_MATCH,sub-06,0.463967444607988
sub-23,V25_SET_CALIB_DET_MATCH,sub-06,0.4660082403829114
sub-02,V25_SET_CALIB_DET_MATCH,sub-07,0.3253009711560379
sub-03,V25_SET_CALIB_DET_MATCH,sub-07,0.32807348030878025
sub-05,V25_SET_CALIB_DET_MATCH,sub-07,0.33342094221087687
sub-06,V25_SET_CALIB_DET_MATCH,sub-07,0.3332011315441276
sub-07,V25_SET_CALIB_DET_MATCH,sub-07,0.3304927381298815
sub-09,V25_SET_CALIB_DET_MATCH,sub-07,0.3341743845279173
sub-11,V25_SET_CALIB_DET_MATCH,sub-07,0.3266200855206181
sub-12,V25_SET_CALIB_DET_MATCH,sub-07,0.33109830480922636
