checkpoint_files,checkpoint_size_bytes,hardware,method,parameter_count
3,15360289,NVIDIA A100-PCIE-40GB,V26_CALIB_SDEDIT,1894911
3,13788335,NVIDIA A100-PCIE-40GB,V29_PA_SC_CDM,1700767
1,15536527,NVIDIA A100-PCIE-40GB,EEGDFUS,956430
