clean_source,content_digest,fold,gain,generating_operator,ocular_source,panel,participant,query_block,seed,session,severity,source_index,support_block,task
sub-12,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.6738232268086091,sub-02,sub-18,paired,sub-02,300s-end,20260930,ses-04,medium,0,0-120s,ERP
sub-19,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.3854214880621428,sub-05,sub-11,paired,sub-05,300s-end,20260930,ses-03,mild,1,0-120s,SSVEP
sub-21,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.4011058409378706,sub-03,sub-11,paired,sub-03,300s-end,20260930,ses-03,mild,2,0-120s,ERP
sub-19,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,1.017014728876673,sub-03,sub-12,paired,sub-03,300s-end,20260930,ses-03,severe,3,0-120s,ERP
sub-18,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,1.0736444691858247,sub-03,sub-23,paired,sub-03,300s-end,20260930,ses-02,severe,4,0-120s,SSVEP
sub-23,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.6386343196781358,sub-02,sub-12,paired,sub-02,300s-end,20260930,ses-04,medium,5,0-120s,ERP
sub-19,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.34846900054471663,sub-03,sub-11,paired,sub-03,300s-end,20260930,ses-03,mild,6,0-120s,SSVEP
sub-23,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,1.147065344255406,sub-05,sub-19,paired,sub-05,300s-end,20260930,ses-04,severe,7,0-120s,SSVEP
sub-11,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.7825489573000916,sub-03,sub-21,paired,sub-03,300s-end,20260930,ses-03,medium,8,0-120s,ERP
sub-17,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.3981282006412509,sub-05,sub-21,paired,sub-05,300s-end,20260930,ses-04,mild,9,0-120s,SSVEP
sub-15,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.5992919008030544,sub-05,sub-12,paired,sub-05,300s-end,20260930,ses-02,medium,10,0-120s,ERP
sub-17,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.3403753614773254,sub-05,sub-21,paired,sub-05,300s-end,20260930,ses-03,mild,11,0-120s,ERP
sub-23,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,1.279830605562522,sub-02,sub-12,paired,sub-02,300s-end,20260930,ses-02,severe,12,0-120s,SSVEP
sub-11,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.33291259711856935,sub-03,sub-15,paired,sub-03,300s-end,20260930,ses-03,mild,13,0-120s,SSVEP
sub-12,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.7534628470587079,sub-05,sub-17,paired,sub-05,300s-end,20260930,ses-02,medium,14,0-120s,SSVEP
sub-11,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.3503352221040577,sub-05,sub-21,paired,sub-05,300s-end,20260930,ses-02,mild,15,0-120s,SSVEP
sub-17,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.37250804443365804,sub-03,sub-12,paired,sub-03,300s-end,20260930,ses-03,mild,16,0-120s,SSVEP
sub-11,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.7166329004144042,sub-02,sub-21,paired,sub-02,300s-end,20260930,ses-04,medium,17,0-120s,ERP
sub-21,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.6085127691192843,sub-03,sub-15,paired,sub-03,300s-end,20260930,ses-02,medium,18,0-120s,SSVEP
sub-12,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.6711241750175542,sub-05,sub-17,paired,sub-05,300s-end,20260930,ses-03,medium,19,0-120s,ERP
sub-14,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,1.2075853109662948,sub-03,sub-11,paired,sub-03,300s-end,20260930,ses-03,severe,20,0-120s,SSVEP
sub-23,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,1.0015257839239118,sub-02,sub-17,paired,sub-02,300s-end,20260930,ses-03,severe,21,0-120s,ERP
sub-17,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,1.0833165120871497,sub-05,sub-21,paired,sub-05,300s-end,20260930,ses-04,severe,22,0-120s,SSVEP
sub-19,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,1.2977519643410889,sub-02,sub-15,paired,sub-02,300s-end,20260930,ses-02,severe,23,0-120s,SSVEP
sub-21,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.2982353234551299,sub-02,sub-12,paired,sub-02,300s-end,20260930,ses-04,mild,24,0-120s,SSVEP
sub-14,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.33027352862375325,sub-05,sub-17,paired,sub-05,300s-end,20260930,ses-03,mild,25,0-120s,SSVEP
sub-19,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.30114763435698855,sub-03,sub-21,paired,sub-03,300s-end,20260930,ses-04,mild,26,0-120s,ERP
sub-11,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,1.0665931271068225,sub-02,sub-21,paired,sub-02,300s-end,20260930,ses-04,severe,27,0-120s,ERP
sub-19,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.36635728042521726,sub-02,sub-17,paired,sub-02,300s-end,20260930,ses-04,mild,28,0-120s,SSVEP
sub-14,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.7576038307029371,sub-03,sub-17,paired,sub-03,300s-end,20260930,ses-04,medium,29,0-120s,SSVEP
sub-11,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.388034799237755,sub-05,sub-21,paired,sub-05,300s-end,20260930,ses-03,mild,30,0-120s,ERP
sub-14,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.6468035308571507,sub-05,sub-23,paired,sub-05,300s-end,20260930,ses-04,medium,31,0-120s,ERP
sub-18,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,1.0990837763205745,sub-05,sub-23,paired,sub-05,300s-end,20260930,ses-03,severe,32,0-120s,SSVEP
sub-12,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.360925116844589,sub-03,sub-17,paired,sub-03,300s-end,20260930,ses-02,mild,33,0-120s,ERP
sub-23,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,1.0558888014135146,sub-05,sub-21,paired,sub-05,300s-end,20260930,ses-02,severe,34,0-120s,ERP
sub-14,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.2999254717843143,sub-05,sub-21,paired,sub-05,300s-end,20260930,ses-03,zero,35,0-120s,SSVEP
sub-12,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.6712022688763172,sub-02,sub-14,paired,sub-02,300s-end,20260930,ses-04,medium,36,0-120s,SSVEP
sub-14,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,1.1773199961110008,sub-02,sub-18,paired,sub-02,300s-end,20260930,ses-04,severe,37,0-120s,SSVEP
sub-21,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.7045654117901581,sub-02,sub-11,paired,sub-02,300s-end,20260930,ses-03,medium,39,0-120s,ERP
sub-11,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,1.2172301483336112,sub-05,sub-17,paired,sub-05,300s-end,20260930,ses-03,severe,42,0-120s,ERP
sub-11,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.6894364890260937,sub-03,sub-14,paired,sub-03,300s-end,20260930,ses-02,medium,43,0-120s,SSVEP
sub-11,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.680267056396302,sub-02,sub-15,paired,sub-02,300s-end,20260930,ses-03,medium,44,0-120s,ERP
sub-15,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.3789513235929652,sub-03,sub-21,paired,sub-03,300s-end,20260930,ses-02,zero,45,0-120s,SSVEP
sub-17,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.7855243411375201,sub-05,sub-21,paired,sub-05,300s-end,20260930,ses-04,medium,47,0-120s,SSVEP
sub-15,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.7815462847792516,sub-05,sub-21,paired,sub-05,300s-end,20260930,ses-02,medium,50,0-120s,ERP
sub-17,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.32911479626904155,sub-05,sub-14,paired,sub-05,300s-end,20260930,ses-04,mild,53,0-120s,ERP
sub-14,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,1.1469055660836789,sub-03,sub-23,paired,sub-03,300s-end,20260930,ses-02,severe,54,0-120s,ERP
